task,type,start,end,duration_ms
kworker/1:2,RUN,7330.394082,7330.394093,0.011000
kworker/1:2,RUN,7330.583994,7330.583999,0.005000
kworker/1:2,RUN,7331.224011,7331.224017,0.006000
kworker/1:2,RUN,7331.416014,7331.416023,0.009000
kworker/1:2,RUN,7331.736022,7331.736025,0.003000
kworker/1:2,RUN,7332.440040,7332.440050,0.010000
kworker/1:2,RUN,7332.632044,7332.632048,0.004000
kworker/1:2,RUN,7333.208058,7333.208064,0.006000
kworker/1:2,RUN,7333.464063,7333.464072,0.009000
kworker/1:2,RUN,7333.784072,7333.784077,0.005000
kworker/1:2,RUN,7334.488089,7334.488098,0.009000
kworker/1:2,RUN,7334.616092,7334.616095,0.003000
Activity_2,RUN,7329.444061,7329.444066,0.005000
Activity_2,RUN,7329.444083,7329.444175,0.092000
Activity_2,RUN,7335.063431,7335.063441,0.010000
Activity_2,SLEEP,7329.444066,7329.444083,0.017000
Activity_2,PREEMPT,7329.444175,7335.063431,5619.256000
Activity_2,MARKER_PERIOD_START_Activity_2,7329.444090,7329.444090,0.0
Activity_2,MARKER_FUNCTION_START_Activity_2,7329.444091,7329.444091,0.0
Activity_3,RUN,7329.444116,7329.444122,0.006000
Activity_3,RUN,7329.532359,7329.643981,111.622000
Activity_3,RUN,7329.708758,7329.843986,135.228000
Activity_3,RUN,7329.908743,7330.043991,135.248000
Activity_3,RUN,7330.108917,7330.243995,135.078000
Activity_3,RUN,7330.308742,7330.393688,84.946000
Activity_3,RUN,7330.393719,7330.444000,50.281000
Activity_3,RUN,7330.508775,7330.520991,12.216000
Activity_3,RUN,7330.520995,7330.602994,81.999000
Activity_3,RUN,7330.603001,7330.644005,41.004000
Activity_3,RUN,7330.708791,7330.777001,68.210000
Activity_3,RUN,7330.777006,7330.844010,67.004000
Activity_3,RUN,7330.908788,7330.968003,59.215000
Activity_3,RUN,7330.968011,7331.044015,76.004000
Activity_3,RUN,7331.108796,7331.244020,135.224000
Activity_3,RUN,7331.308783,7331.352013,43.230000
Activity_3,RUN,7331.352017,7331.416015,63.998000
Activity_3,RUN,7331.416022,7331.444024,28.002000
Activity_3,RUN,7331.508781,7331.545016,36.235000
Activity_3,RUN,7331.545019,7331.597675,52.656000
Activity_3,RUN,7331.597678,7331.609018,11.340000
Activity_3,RUN,7331.609022,7331.644029,35.007000
Activity_3,RUN,7331.708800,7331.736024,27.224000
Activity_3,RUN,7331.736030,7331.805025,68.995000
Activity_3,RUN,7331.805039,7331.844034,38.995000
Activity_3,RUN,7331.908840,7331.929026,20.186000
Activity_3,RUN,7331.929029,7331.993027,63.998000
Activity_3,RUN,7331.993035,7331.995760,2.725000
Activity_3,RUN,7331.995762,7332.044039,48.277000
Activity_3,RUN,7332.108938,7332.121033,12.095000
Activity_3,RUN,7332.121040,7332.244044,123.004000
Activity_3,RUN,7332.308789,7332.312037,3.248000
Activity_3,RUN,7332.312040,7332.406038,93.998000
Activity_3,RUN,7332.406046,7332.441038,34.992000
Activity_3,RUN,7332.441045,7332.444049,3.004000
Activity_3,RUN,7332.508843,7332.569042,60.199000
Activity_3,RUN,7332.569045,7332.644054,75.009000
Activity_3,RUN,7332.708814,7332.761049,52.235000
Activity_3,RUN,7332.761056,7332.825048,63.992000
Activity_3,RUN,7332.825051,7332.844058,19.007000
