task,type,start,end,duration_ms
ksoftirqd/1,RUN,65473.964093,65473.964100,0.007000
ksoftirqd/1,RUN,65474.391596,65474.391612,0.016000
ksoftirqd/1,RUN,65475.153912,65475.153918,0.006000
ksoftirqd/1,SLEEP,65473.964100,65474.391596,427.496000
ksoftirqd/1,SLEEP,65474.391612,65475.153912,762.300000
kworker/1:1H,RUN,65473.964045,65473.964054,0.009000
kworker/1:0,RUN,65472.297145,65472.297163,0.018000
kworker/1:0,RUN,65472.299644,65472.299652,0.008000
kworker/1:0,RUN,65472.363613,65472.363632,0.019000
kworker/1:0,RUN,65472.811562,65472.811580,0.018000
kworker/1:0,RUN,65472.939690,65472.939739,0.049000
kworker/1:0,RUN,65473.964054,65473.964093,0.039000
kworker/1:0,RUN,65474.179183,65474.179476,0.293000
kworker/1:0,RUN,65474.340800,65474.340819,0.019000
kworker/1:0,RUN,65474.347607,65474.347633,0.026000
kworker/1:0,RUN,65474.391578,65474.391596,0.018000
kworker/1:0,RUN,65474.391612,65474.391621,0.009000
kworker/1:0,RUN,65475.153902,65475.153912,0.010000
kworker/1:0,RUN,65475.153918,65475.153943,0.025000
kworker/1:0,PREEMPT,65474.391596,65474.391612,0.016000
kworker/1:0,PREEMPT,65475.153912,65475.153918,0.006000
Activity_1,RUN,65471.439594,65472.297145,857.551000
Activity_1,RUN,65473.139930,65473.964045,824.115000
Activity_1,RUN,65474.839737,65475.153902,314.165000
Activity_1,SLEEP,65472.297145,65473.139930,842.785000
Activity_1,SLEEP,65473.964045,65474.839737,875.692000
Activity_1,MARKER_PERIOD_START_Activity_1,65471.439676,65471.439676,0.0
Activity_1,MARKER_FUNCTION_START_Activity_1,65471.439679,65471.439679,0.0
Activity_1,MARKER_FUNCTION_END_Activity_1,65472.297121,65472.297121,0.0
Activity_1,MARKER_SLEEP_START_Activity_1,65472.297140,65472.297140,0.0
Activity_1,MARKER_PERIOD_END_Activity_1,65473.139939,65473.139939,0.0
Activity_1,MARKER_PERIOD_START_Activity_1,65473.139941,65473.139941,0.0
Activity_1,MARKER_FUNCTION_START_Activity_1,65473.139941,65473.139941,0.0
Activity_1,MARKER_FUNCTION_END_Activity_1,65473.964028,65473.964028,0.0
Activity_1,MARKER_SLEEP_START_Activity_1,65473.964042,65473.964042,0.0
Activity_1,MARKER_PERIOD_END_Activity_1,65474.839746,65474.839746,0.0
Activity_1,MARKER_PERIOD_START_Activity_1,65474.839748,65474.839748,0.0
Activity_1,MARKER_FUNCTION_START_Activity_1,65474.839749,65474.839749,0.0
Activity_2,RUN,65471.439641,65471.439654,0.013000
Activity_2,RUN,65471.439671,65471.886290,446.619000
Activity_2,RUN,65472.939764,65473.200308,260.544000
Activity_2,RUN,65473.200363,65473.214755,14.392000
Activity_2,RUN,65473.214789,65473.215678,0.889000
Activity_2,RUN,65473.215721,65473.216287,0.566000
Activity_2,RUN,65473.216330,65473.225909,9.579000
Activity_2,RUN,65473.225942,65473.291204,65.262000
Activity_2,RUN,65473.291241,65473.392791,101.550000
Activity_2,RUN,65474.439917,65474.543280,103.363000
Activity_2,RUN,65474.543283,65474.892034,348.751000
Activity_2,RUN,65475.153963,65475.154154,0.191000
Activity_2,SLEEP,65471.439654,65471.439671,0.017000
Activity_2,SLEEP,65471.886290,65472.939764,1053.474000
Activity_2,PREEMPT,65473.200308,65473.200363,0.055000
Activity_2,PREEMPT,65473.214755,65473.214789,0.034000
Activity_2,PREEMPT,65473.215678,65473.215721,0.043000
Activity_2,PREEMPT,65473.216287,65473.216330,0.043000
Activity_2,PREEMPT,65473.225909,65473.225942,0.033000
Activity_2,PREEMPT,65473.291204,65473.291241,0.037000
Activity_2,SLEEP,65473.392791,65474.439917,1047.126000
Activity_2,PREEMPT,65474.543280,65474.543283,0.003000
Activity_2,SLEEP,65474.892034,65475.153963,261.929000
Activity_2,MARKER_PERIOD_START_Activity_2,65471.439681,65471.439681,0.0
Activity_2,MARKER_FUNCTION_START_Activity_2,65471.439683,65471.439683,0.0
Activity_2,MARKER_FUNCTION_END_Activity_2,65471.886237,65471.886237,0.0
Activity_2,MARKER_SLEEP_START_Activity_2,65471.886286,65471.886286,0.0
Activity_2,MARKER_PERIOD_END_Activity_2,65472.939829,65472.939829,0.0
Activity_2,MARKER_PERIOD_START_Activity_2,65472.939833,65472.939833,0.0
Activity_2,MARKER_FUNCTION_START_Activity_2,65472.939836,65472.939836,0.0
Activity_2,MARKER_FUNCTION_END_Activity_2,65473.392773,65473.392773,0.0
Activity_2,MARKER_SLEEP_START_Activity_2,65473.392788,65473.392788,0.0
Activity_2,MARKER_PERIOD_END_Activity_2,65474.439946,65474.439946,0.0
Activity_2,MARKER_PERIOD_START_Activity_2,65474.439949,65474.439949,0.0
Activity_2,MARKER_FUNCTION_START_Activity_2,65474.439951,65474.439951,0.0
Activity_2,MARKER_FUNCTION_END_Activity_2,65474.892014,65474.892014,0.0
Activity_2,MARKER_SLEEP_START_Activity_2,65474.892030,65474.892030,0.0
