Activity_1-22836          | [003] | 81539.256556 | sched_switch    | app09b:22836 [120] R ==> migration/3:35 [0] 
Activity_2-22837          | [003] | 81539.256782 | sched_switch    | app09b:22837 [120] S ==> migration/3:35 [0] 
irq/171-rtw88_p-605       | [000] | 81539.256812 | sched_switch    | irq/171-rtw88_p:605 [49] S ==> Activity_1:22836 [98] 
Activity_1-22836          | [000] | 81539.256951 | sched_wakeup    | irq/171-rtw88_p:605 [49] CPU:000 
Activity_1-22836          | [000] | 81539.256953 | sched_switch    | Activity_1:22836 [98] R ==> irq/171-rtw88_p:605 [49] 
irq/171-rtw88_p-605       | [000] | 81539.258063 | sched_switch    | irq/171-rtw88_p:605 [49] S ==> Activity_1:22836 [98] 
Activity_1-22836          | [000] | 81539.261453 | sched_wakeup    | irq/171-rtw88_p:605 [49] CPU:000 
Activity_1-22836          | [000] | 81539.261457 | sched_switch    | Activity_1:22836 [98] R ==> irq/171-rtw88_p:605 [49] 
irq/171-rtw88_p-605       | [000] | 81539.261538 | sched_switch    | irq/171-rtw88_p:605 [49] S ==> Activity_1:22836 [98] 
Activity_1-22836          | [000] | 81539.262433 | sched_wakeup    | irq/171-rtw88_p:605 [49] CPU:000 
Activity_1-22836          | [000] | 81539.262434 | sched_switch    | Activity_1:22836 [98] R ==> irq/171-rtw88_p:605 [49] 
irq/171-rtw88_p-605       | [000] | 81539.262665 | sched_switch    | irq/171-rtw88_p:605 [49] S ==> Activity_1:22836 [98] 
Activity_1-22836          | [000] | 81539.262848 | sched_wakeup    | irq/171-rtw88_p:605 [49] CPU:000 
Activity_1-22836          | [000] | 81539.262849 | sched_switch    | Activity_1:22836 [98] R ==> irq/171-rtw88_p:605 [49] 
irq/171-rtw88_p-605       | [000] | 81539.262917 | sched_switch    | irq/171-rtw88_p:605 [49] S ==> Activity_1:22836 [98] 
Activity_1-22836          | [000] | 81539.263414 | sched_wakeup    | irq/171-rtw88_p:605 [49] CPU:000 
Activity_1-22836          | [000] | 81539.263415 | sched_switch    | Activity_1:22836 [98] R ==> irq/171-rtw88_p:605 [49] 
irq/171-rtw88_p-605       | [000] | 81539.263642 | sched_switch    | irq/171-rtw88_p:605 [49] S ==> Activity_1:22836 [98] 
Activity_1-22836          | [000] | 81539.264567 | sched_wakeup    | irq/171-rtw88_p:605 [49] CPU:000 
Activity_1-22836          | [000] | 81539.264568 | sched_switch    | Activity_1:22836 [98] R ==> irq/171-rtw88_p:605 [49] 
irq/171-rtw88_p-605       | [000] | 81539.264902 | sched_switch    | irq/171-rtw88_p:605 [49] S ==> Activity_1:22836 [98] 
Activity_1-22836          | [000] | 81539.265303 | sched_wakeup    | irq/171-rtw88_p:605 [49] CPU:000 
Activity_1-22836          | [000] | 81539.265304 | sched_switch    | Activity_1:22836 [98] R ==> irq/171-rtw88_p:605 [49] 
irq/171-rtw88_p-605       | [000] | 81539.265561 | sched_switch    | irq/171-rtw88_p:605 [49] S ==> Activity_1:22836 [98] 
Activity_1-22836          | [000] | 81539.266416 | sched_wakeup    | irq/171-rtw88_p:605 [49] CPU:000 
Activity_1-22836          | [000] | 81539.266417 | sched_switch    | Activity_1:22836 [98] R ==> irq/171-rtw88_p:605 [49] 
irq/171-rtw88_p-605       | [000] | 81539.266494 | sched_switch    | irq/171-rtw88_p:605 [49] S ==> Activity_1:22836 [98] 
Activity_1-22836          | [000] | 81539.266938 | sched_wakeup    | irq/171-rtw88_p:605 [49] CPU:000 
Activity_1-22836          | [000] | 81539.266940 | sched_switch    | Activity_1:22836 [98] R ==> irq/171-rtw88_p:605 [49] 
irq/171-rtw88_p-605       | [000] | 81539.267166 | sched_switch    | irq/171-rtw88_p:605 [49] S ==> Activity_1:22836 [98] 
Activity_1-22836          | [000] | 81539.273223 | sched_wakeup    | irq/171-rtw88_p:605 [49] CPU:000 
Activity_1-22836          | [000] | 81539.273225 | sched_switch    | Activity_1:22836 [98] R ==> irq/171-rtw88_p:605 [49] 
irq/171-rtw88_p-605       | [000] | 81539.274038 | sched_switch    | irq/171-rtw88_p:605 [49] S ==> Activity_1:22836 [98] 
Activity_1-22836          | [000] | 81539.293792 | sched_wakeup    | irq/171-rtw88_p:605 [49] CPU:000 
Activity_1-22836          | [000] | 81539.293795 | sched_switch    | Activity_1:22836 [98] R ==> irq/171-rtw88_p:605 [49] 
irq/171-rtw88_p-605       | [000] | 81539.293871 | sched_switch    | irq/171-rtw88_p:605 [49] S ==> Activity_1:22836 [98] 
Activity_1-22836          | [000] | 81539.294243 | sched_wakeup    | irq/171-rtw88_p:605 [49] CPU:000 
Activity_1-22836          | [000] | 81539.294244 | sched_switch    | Activity_1:22836 [98] R ==> irq/171-rtw88_p:605 [49] 
irq/171-rtw88_p-605       | [000] | 81539.294474 | sched_switch    | irq/171-rtw88_p:605 [49] S ==> Activity_1:22836 [98] 
Activity_1-22836          | [000] | 81539.296195 | sched_wakeup    | irq/171-rtw88_p:605 [49] CPU:000 
Activity_1-22836          | [000] | 81539.296197 | sched_switch    | Activity_1:22836 [98] R ==> irq/171-rtw88_p:605 [49] 
irq/171-rtw88_p-605       | [000] | 81539.296694 | sched_switch    | irq/171-rtw88_p:605 [49] S ==> Activity_1:22836 [98] 
Activity_1-22836          | [000] | 81539.296727 | sched_wakeup    | irq/171-rtw88_p:605 [49] CPU:000 
Activity_1-22836          | [000] | 81539.296728 | sched_switch    | Activity_1:22836 [98] R ==> irq/171-rtw88_p:605 [49] 
irq/171-rtw88_p-605       | [000] | 81539.296800 | sched_switch    | irq/171-rtw88_p:605 [49] S ==> Activity_1:22836 [98] 
Activity_1-22836          | [000] | 81539.297313 | sched_wakeup    | irq/171-rtw88_p:605 [49] CPU:000 
Activity_1-22836          | [000] | 81539.297315 | sched_switch    | Activity_1:22836 [98] R ==> irq/171-rtw88_p:605 [49] 
irq/171-rtw88_p-605       | [000] | 81539.297545 | sched_switch    | irq/171-rtw88_p:605 [49] S ==> Activity_1:22836 [98] 
Activity_1-22836          | [000] | 81539.314089 | sched_wakeup    | irq/171-rtw88_p:605 [49] CPU:000 
Activity_1-22836          | [000] | 81539.314093 | sched_switch    | Activity_1:22836 [98] R ==> irq/171-rtw88_p:605 [49] 
irq/171-rtw88_p-605       | [000] | 81539.314378 | sched_switch    | irq/171-rtw88_p:605 [49] S ==> Activity_1:22836 [98] 
Activity_1-22836          | [000] | 81539.354876 | sched_wakeup    | ReceiveQueue:18932 [120] CPU:000 
Activity_1-22836          | [000] | 81539.375646 | sched_wakeup    | irq/171-rtw88_p:605 [49] CPU:000 
Activity_1-22836          | [000] | 81539.375650 | sched_switch    | Activity_1:22836 [98] R ==> irq/171-rtw88_p:605 [49] 
irq/171-rtw88_p-605       | [000] | 81539.375900 | sched_switch    | irq/171-rtw88_p:605 [49] S ==> Activity_1:22836 [98] 
Activity_1-22836          | [000] | 81539.376683 | sched_wakeup    | irq/171-rtw88_p:605 [49] CPU:000 
Activity_1-22836          | [000] | 81539.376684 | sched_switch    | Activity_1:22836 [98] R ==> irq/171-rtw88_p:605 [49] 
irq/171-rtw88_p-605       | [000] | 81539.376924 | sched_switch    | irq/171-rtw88_p:605 [49] S ==> Activity_1:22836 [98] 
Activity_1-22836          | [000] | 81539.377456 | sched_wakeup    | irq/171-rtw88_p:605 [49] CPU:000 
Activity_1-22836          | [000] | 81539.377457 | sched_switch    | Activity_1:22836 [98] R ==> irq/171-rtw88_p:605 [49] 
irq/171-rtw88_p-605       | [000] | 81539.377686 | sched_switch    | irq/171-rtw88_p:605 [49] S ==> Activity_1:22836 [98] 
Activity_1-22836          | [000] | 81539.378133 | sched_wakeup    | irq/171-rtw88_p:605 [49] CPU:000 
Activity_1-22836          | [000] | 81539.378135 | sched_switch    | Activity_1:22836 [98] R ==> irq/171-rtw88_p:605 [49] 
irq/171-rtw88_p-605       | [000] | 81539.378631 | sched_switch    | irq/171-rtw88_p:605 [49] S ==> Activity_1:22836 [98] 
Activity_1-22836          | [000] | 81539.415810 | sched_wakeup    | irq/171-rtw88_p:605 [49] CPU:000 
Activity_1-22836          | [000] | 81539.415814 | sched_switch    | Activity_1:22836 [98] R ==> irq/171-rtw88_p:605 [49] 
irq/171-rtw88_p-605       | [000] | 81539.416090 | sched_switch    | irq/171-rtw88_p:605 [49] S ==> Activity_1:22836 [98] 
Activity_1-22836          | [000] | 81539.479307 | sched_wakeup    | irq/171-rtw88_p:605 [49] CPU:000 
Activity_1-22836          | [000] | 81539.479311 | sched_switch    | Activity_1:22836 [98] R ==> irq/171-rtw88_p:605 [49] 
irq/171-rtw88_p-605       | [000] | 81539.479615 | sched_switch    | irq/171-rtw88_p:605 [49] S ==> Activity_1:22836 [98] 
Activity_1-22836          | [000] | 81539.580436 | sched_wakeup    | irq/171-rtw88_p:605 [49] CPU:000 
Activity_1-22836          | [000] | 81539.580440 | sched_switch    | Activity_1:22836 [98] R ==> irq/171-rtw88_p:605 [49] 
