Activity_1-7747           | [003] | 3248.615790  | sched_switch    | app10:7747 [120] R ==> migration/3:47 [0] 
rcuc/1-30                 | [001] | 3248.615821  | sched_switch    | rcuc/1:30 [98] S ==> Activity_1:7747 [120] 
Activity_2-7748           | [003] | 3248.615842  | sched_switch    | app10:7748 [120] R ==> migration/3:47 [0] 
Activity_2-7748           | [000] | 3248.615849  | sched_wakeup    | migration/6:74 [0] CPU:006 
Activity_2-7748           | [000] | 3248.615850  | sched_switch    | app10:7748 [120] S ==> swapper/0:0 [120] 
Activity_1-7747           | [001] | 3248.615864  | sched_wakeup    | irq/9-acpi:103 [49] CPU:001 
Activity_1-7747           | [001] | 3248.615867  | sched_switch    | Activity_1:7747 [120] R ==> irq/9-acpi:103 [49] 
Activity_2-7748           | [000] | 3248.615895  | sched_wakeup    | migration/6:74 [0] CPU:006 
Activity_2-7748           | [000] | 3248.615896  | sched_switch    | app10:7748 [120] D ==> swapper/0:0 [120] 
irq/9-acpi-103            | [001] | 3248.616005  | sched_switch    | irq/9-acpi:103 [49] S ==> Activity_1:7747 [120] 
Activity_1-7747           | [001] | 3248.616009  | sched_wakeup    | Activity_2:7748 [120] CPU:000 
<idle>-0                  | [000] | 3248.616010  | sched_switch    | swapper/0:0 [120] R ==> Activity_2:7748 [120] 
Activity_2-7748           | [000] | 3248.616012  | sched_wakeup    | Activity_1:7747 [120] CPU:001 
Activity_1-7747           | [001] | 3248.616014  | sched_wakeup    | Activity_2:7748 [120] CPU:000 
Activity_1-7747           | [001] | 3248.616017  | sched_wakeup    | Activity_2:7748 [120] CPU:000 
Activity_1-7747           | [001] | 3248.616070  | sched_wakeup    | irq/9-acpi:103 [49] CPU:001 
Activity_1-7747           | [001] | 3248.616071  | sched_switch    | Activity_1:7747 [120] R ==> irq/9-acpi:103 [49] 
irq/9-acpi-103            | [001] | 3248.616199  | sched_switch    | irq/9-acpi:103 [49] S ==> Activity_1:7747 [120] 
Activity_1-7747           | [001] | 3248.616244  | sched_wakeup    | irq/9-acpi:103 [49] CPU:001 
Activity_1-7747           | [001] | 3248.616244  | sched_switch    | Activity_1:7747 [120] R ==> irq/9-acpi:103 [49] 
irq/9-acpi-103            | [001] | 3248.616377  | sched_switch    | irq/9-acpi:103 [49] S ==> Activity_1:7747 [120] 
Activity_1-7747           | [001] | 3248.616423  | sched_wakeup    | irq/9-acpi:103 [49] CPU:001 
Activity_1-7747           | [001] | 3248.616424  | sched_switch    | Activity_1:7747 [120] R ==> irq/9-acpi:103 [49] 
irq/9-acpi-103            | [001] | 3248.616526  | sched_switch    | irq/9-acpi:103 [49] S ==> Activity_1:7747 [120] 
Activity_2-7748           | [000] | 3248.616682  | sched_wakeup    | rcuc/0:21 [98] CPU:000 
Activity_2-7748           | [000] | 3248.616685  | sched_wakeup    | ksoftirqd/0:16 [120] CPU:000 
Activity_2-7748           | [000] | 3248.616686  | sched_switch    | Activity_2:7748 [120] R ==> rcuc/0:21 [98] 
ksoftirqd/0-16            | [000] | 3248.616690  | sched_switch    | ksoftirqd/0:16 [120] S ==> Activity_2:7748 [120] 
Activity_1-7747           | [001] | 3248.616693  | sched_wakeup    | irq/9-acpi:103 [49] CPU:001 
Activity_1-7747           | [001] | 3248.616695  | sched_wakeup    | rcuc/1:30 [98] CPU:001 
Activity_1-7747           | [001] | 3248.616698  | sched_wakeup    | ksoftirqd/1:32 [120] CPU:001 
Activity_1-7747           | [001] | 3248.616699  | sched_switch    | Activity_1:7747 [120] R ==> irq/9-acpi:103 [49] 
ksoftirqd/1-32            | [001] | 3248.616839  | sched_switch    | ksoftirqd/1:32 [120] S ==> Activity_1:7747 [120] 
Activity_1-7747           | [001] | 3248.616880  | sched_wakeup    | irq/9-acpi:103 [49] CPU:001 
Activity_1-7747           | [001] | 3248.616881  | sched_switch    | Activity_1:7747 [120] R ==> irq/9-acpi:103 [49] 
irq/9-acpi-103            | [001] | 3248.617012  | sched_switch    | irq/9-acpi:103 [49] S ==> Activity_1:7747 [120] 
Activity_1-7747           | [001] | 3248.617162  | sched_wakeup    | irq/9-acpi:103 [49] CPU:001 
Activity_1-7747           | [001] | 3248.617163  | sched_switch    | Activity_1:7747 [120] R ==> irq/9-acpi:103 [49] 
irq/9-acpi-103            | [001] | 3248.617289  | sched_switch    | irq/9-acpi:103 [49] S ==> Activity_1:7747 [120] 
Activity_1-7747           | [001] | 3248.617334  | sched_wakeup    | irq/9-acpi:103 [49] CPU:001 
Activity_1-7747           | [001] | 3248.617335  | sched_switch    | Activity_1:7747 [120] R ==> irq/9-acpi:103 [49] 
irq/9-acpi-103            | [001] | 3248.617512  | sched_switch    | irq/9-acpi:103 [49] S ==> Activity_1:7747 [120] 
Activity_1-7747           | [001] | 3248.617556  | sched_wakeup    | irq/9-acpi:103 [49] CPU:001 
Activity_1-7747           | [001] | 3248.617557  | sched_switch    | Activity_1:7747 [120] R ==> irq/9-acpi:103 [49] 
irq/9-acpi-103            | [001] | 3248.617689  | sched_switch    | irq/9-acpi:103 [49] S ==> Activity_1:7747 [120] 
Activity_1-7747           | [001] | 3248.617733  | sched_wakeup    | irq/9-acpi:103 [49] CPU:001 
Activity_1-7747           | [001] | 3248.617734  | sched_switch    | Activity_1:7747 [120] R ==> irq/9-acpi:103 [49] 
irq/9-acpi-103            | [001] | 3248.617861  | sched_switch    | irq/9-acpi:103 [49] S ==> Activity_1:7747 [120] 
Activity_1-7747           | [001] | 3248.617993  | sched_wakeup    | irq/9-acpi:103 [49] CPU:001 
Activity_1-7747           | [001] | 3248.617994  | sched_switch    | Activity_1:7747 [120] R ==> irq/9-acpi:103 [49] 
irq/9-acpi-103            | [001] | 3248.618120  | sched_switch    | irq/9-acpi:103 [49] S ==> Activity_1:7747 [120] 
Activity_1-7747           | [001] | 3248.618165  | sched_wakeup    | irq/9-acpi:103 [49] CPU:001 
Activity_1-7747           | [001] | 3248.618166  | sched_switch    | Activity_1:7747 [120] R ==> irq/9-acpi:103 [49] 
irq/9-acpi-103            | [001] | 3248.618342  | sched_switch    | irq/9-acpi:103 [49] S ==> Activity_1:7747 [120] 
Activity_1-7747           | [001] | 3248.618389  | sched_wakeup    | irq/9-acpi:103 [49] CPU:001 
Activity_1-7747           | [001] | 3248.618389  | sched_switch    | Activity_1:7747 [120] R ==> irq/9-acpi:103 [49] 
irq/9-acpi-103            | [001] | 3248.618516  | sched_switch    | irq/9-acpi:103 [49] S ==> Activity_1:7747 [120] 
Activity_1-7747           | [001] | 3248.618561  | sched_wakeup    | irq/9-acpi:103 [49] CPU:001 
Activity_1-7747           | [001] | 3248.618562  | sched_switch    | Activity_1:7747 [120] R ==> irq/9-acpi:103 [49] 
Activity_2-7748           | [000] | 3248.618682  | sched_wakeup    | rcuc/0:21 [98] CPU:000 
Activity_2-7748           | [000] | 3248.618685  | sched_switch    | Activity_2:7748 [120] R ==> rcuc/0:21 [98] 
rcuc/0-21                 | [000] | 3248.618689  | sched_switch    | rcuc/0:21 [98] S ==> Activity_2:7748 [120] 
rcuc/1-30                 | [001] | 3248.618727  | sched_switch    | rcuc/1:30 [98] S ==> Activity_1:7747 [120] 
Activity_1-7747           | [001] | 3248.618775  | sched_wakeup    | irq/9-acpi:103 [49] CPU:001 
Activity_1-7747           | [001] | 3248.618776  | sched_switch    | Activity_1:7747 [120] R ==> irq/9-acpi:103 [49] 
irq/9-acpi-103            | [001] | 3248.618877  | sched_switch    | irq/9-acpi:103 [49] S ==> Activity_1:7747 [120] 
Activity_2-7748           | [000] | 3248.619253  | sched_wakeup    | ktimers/0:17 [98] CPU:000 
Activity_2-7748           | [000] | 3248.619253  | sched_switch    | Activity_2:7748 [120] R ==> ktimers/0:17 [98] 
ktimers/0-17              | [000] | 3248.619260  | sched_switch    | ktimers/0:17 [98] S ==> Activity_2:7748 [120] 
Activity_1-7747           | [001] | 3248.619301  | sched_wakeup    | irq/9-acpi:103 [49] CPU:001 
Activity_1-7747           | [001] | 3248.619302  | sched_switch    | Activity_1:7747 [120] R ==> irq/9-acpi:103 [49] 
irq/9-acpi-103            | [001] | 3248.619427  | sched_switch    | irq/9-acpi:103 [49] S ==> Activity_1:7747 [120] 
Activity_1-7747           | [001] | 3248.619472  | sched_wakeup    | irq/9-acpi:103 [49] CPU:001 
Activity_1-7747           | [001] | 3248.619473  | sched_switch    | Activity_1:7747 [120] R ==> irq/9-acpi:103 [49] 
irq/9-acpi-103            | [001] | 3248.619615  | sched_switch    | irq/9-acpi:103 [49] S ==> Activity_1:7747 [120] 
Activity_2-7748           | [000] | 3248.619681  | sched_wakeup    | rcuc/0:21 [98] CPU:000 
Activity_1-7747           | [001] | 3248.619681  | sched_wakeup    | rcuc/1:30 [98] CPU:001 
Activity_1-7747           | [001] | 3248.619683  | sched_switch    | Activity_1:7747 [120] R ==> rcuc/1:30 [98] 
Activity_2-7748           | [000] | 3248.619683  | sched_switch    | Activity_2:7748 [120] R ==> rcuc/0:21 [98] 
rcuc/1-30                 | [001] | 3248.619685  | sched_switch    | rcuc/1:30 [98] S ==> Activity_1:7747 [120] 
rcuc/0-21                 | [000] | 3248.619685  | sched_switch    | rcuc/0:21 [98] S ==> Activity_2:7748 [120] 
Activity_1-7747           | [001] | 3248.619747  | sched_wakeup    | irq/9-acpi:103 [49] CPU:001 
Activity_1-7747           | [001] | 3248.619747  | sched_switch    | Activity_1:7747 [120] R ==> irq/9-acpi:103 [49] 
irq/9-acpi-103            | [001] | 3248.619881  | sched_switch    | irq/9-acpi:103 [49] S ==> Activity_1:7747 [120] 
Activity_1-7747           | [001] | 3248.619946  | sched_wakeup    | irq/9-acpi:103 [49] CPU:001 
Activity_1-7747           | [001] | 3248.619947  | sched_switch    | Activity_1:7747 [120] R ==> irq/9-acpi:103 [49] 
irq/9-acpi-103            | [001] | 3248.620073  | sched_switch    | irq/9-acpi:103 [49] S ==> Activity_1:7747 [120] 
Activity_1-7747           | [001] | 3248.620118  | sched_wakeup    | irq/9-acpi:103 [49] CPU:001 
Activity_1-7747           | [001] | 3248.620119  | sched_switch    | Activity_1:7747 [120] R ==> irq/9-acpi:103 [49] 
irq/9-acpi-103            | [001] | 3248.620266  | sched_switch    | irq/9-acpi:103 [49] S ==> Activity_1:7747 [120] 
Activity_1-7747           | [001] | 3248.620314  | sched_wakeup    | irq/9-acpi:103 [49] CPU:001 
Activity_1-7747           | [001] | 3248.620314  | sched_switch    | Activity_1:7747 [120] R ==> irq/9-acpi:103 [49] 
irq/9-acpi-103            | [001] | 3248.620441  | sched_switch    | irq/9-acpi:103 [49] S ==> Activity_1:7747 [120] 
Activity_1-7747           | [001] | 3248.620485  | sched_wakeup    | irq/9-acpi:103 [49] CPU:001 
Activity_1-7747           | [001] | 3248.620486  | sched_switch    | Activity_1:7747 [120] R ==> irq/9-acpi:103 [49] 
irq/9-acpi-103            | [001] | 3248.620632  | sched_switch    | irq/9-acpi:103 [49] S ==> Activity_1:7747 [120] 
Activity_1-7747           | [001] | 3248.620695  | sched_wakeup    | irq/9-acpi:103 [49] CPU:001 
Activity_1-7747           | [001] | 3248.620696  | sched_wakeup    | rcuc/1:30 [98] CPU:001 
Activity_1-7747           | [001] | 3248.620698  | sched_switch    | Activity_1:7747 [120] R ==> irq/9-acpi:103 [49] 
rcuc/1-30                 | [001] | 3248.620800  | sched_switch    | rcuc/1:30 [98] S ==> Activity_1:7747 [120] 
