
[!] Lettura batch da file: trace_results_app09b_20260318_212644/trace_colonne.txt

================== SCHEDULATORE CRONOLOGICO ==================
TEMPO (s)       | EVENTO
--------------------------------------------------------------
1353.442575     | [WAKEUP]   Task Activity_2 Rilasciato (Inizio Percorso 1)
1353.521136     | [WAKEUP]   Task Activity_1 Rilasciato (Inizio Percorso 1)
1353.521225     | [DISPATCH] Task Activity_1 prende la CPU
1353.622815     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 101.590 ms)
1353.622892     | [DISPATCH] Task Activity_1 prende la CPU
1353.725199     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 203.897 ms)
1353.725277     | [DISPATCH] Task Activity_1 prende la CPU
1353.827625     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 306.245 ms)
1353.827688     | [DISPATCH] Task Activity_1 prende la CPU
1353.916784     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 395.341 ms)
1353.916900     | [DISPATCH] Task Activity_1 prende la CPU
1353.916942     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 395.383 ms)
1353.917061     | [DISPATCH] Task Activity_1 prende la CPU
1353.918762     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 397.084 ms)
1353.918865     | [DISPATCH] Task Activity_1 prende la CPU
1353.930020     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 408.239 ms)
1353.930072     | [DISPATCH] Task Activity_1 prende la CPU
1353.934404     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 412.571 ms)
1353.934454     | [DISPATCH] Task Activity_1 prende la CPU
1353.934791     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 412.908 ms)
1353.934824     | [DISPATCH] Task Activity_1 prende la CPU
1353.942962     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 421.046 ms)
1353.943028     | [DISPATCH] Task Activity_1 prende la CPU
1353.943559     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 421.577 ms)
1353.943607     | [DISPATCH] Task Activity_1 prende la CPU
1353.950257     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 428.227 ms)
1353.950304     | [DISPATCH] Task Activity_1 prende la CPU
1353.950350     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 428.273 ms)
1353.950379     | [DISPATCH] Task Activity_1 prende la CPU
1353.976082     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 453.976 ms)
1353.976131     | [DISPATCH] Task Activity_1 prende la CPU
1353.976598     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 454.443 ms)
1353.976642     | [DISPATCH] Task Activity_1 prende la CPU
1354.032399     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 510.200 ms)
1354.032466     | [DISPATCH] Task Activity_1 prende la CPU
1354.072122     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 549.856 ms)
1354.072219     | [DISPATCH] Task Activity_1 prende la CPU
1354.072490     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 550.127 ms)
1354.072540     | [DISPATCH] Task Activity_1 prende la CPU
1354.095283     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 572.870 ms)
1354.095320     | [DISPATCH] Task Activity_1 prende la CPU
1354.103662     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 581.212 ms)
1354.103739     | [DISPATCH] Task Activity_1 prende la CPU
1354.104151     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 581.624 ms)
1354.104221     | [DISPATCH] Task Activity_1 prende la CPU
1354.104259     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 581.662 ms)
1354.104293     | [DISPATCH] Task Activity_1 prende la CPU
1354.104605     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 581.974 ms)
1354.104642     | [DISPATCH] Task Activity_1 prende la CPU
1354.110492     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 587.824 ms)
1354.110523     | [DISPATCH] Task Activity_1 prende la CPU
1354.110845     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 588.146 ms)
1354.110882     | [DISPATCH] Task Activity_1 prende la CPU
1354.117830     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 595.094 ms)
1354.117876     | [DISPATCH] Task Activity_1 prende la CPU
1354.134807     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 612.025 ms)
1354.134866     | [DISPATCH] Task Activity_1 prende la CPU
1354.237396     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 714.555 ms)
1354.237450     | [DISPATCH] Task Activity_1 prende la CPU
1354.304298     | [DISPATCH] Task Activity_2 prende la CPU
1354.304315     | [SLEEP]    Task Activity_2 ha TERMINATO l'esecuzione! Costo: 0.017 ms
1354.339627     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 816.732 ms)
1354.339700     | [DISPATCH] Task Activity_1 prende la CPU
1354.354805     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 831.837 ms)
1354.354883     | [DISPATCH] Task Activity_1 prende la CPU
1354.354907     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 831.861 ms)
1354.354940     | [DISPATCH] Task Activity_1 prende la CPU
1354.355174     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 832.095 ms)
1354.355211     | [DISPATCH] Task Activity_1 prende la CPU
1354.361609     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 838.493 ms)
1354.361647     | [DISPATCH] Task Activity_1 prende la CPU
1354.361715     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 838.561 ms)
1354.361796     | [DISPATCH] Task Activity_1 prende la CPU
1354.387109     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 863.874 ms)
1354.387156     | [DISPATCH] Task Activity_1 prende la CPU
1354.430222     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 906.940 ms)
1354.430235     | [DISPATCH] Task Activity_1 prende la CPU
1354.440072     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 916.777 ms)
1354.440111     | [DISPATCH] Task Activity_1 prende la CPU
1354.442031     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 918.697 ms)
1354.442091     | [DISPATCH] Task Activity_1 prende la CPU
1354.447726     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 924.332 ms)
1354.447767     | [DISPATCH] Task Activity_1 prende la CPU
1354.455278     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 931.843 ms)
1354.455326     | [DISPATCH] Task Activity_1 prende la CPU
1354.456180     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 932.697 ms)
1354.456251     | [DISPATCH] Task Activity_1 prende la CPU
1354.456709     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 933.155 ms)
1354.456738     | [DISPATCH] Task Activity_1 prende la CPU
1354.457027     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 933.444 ms)
1354.457064     | [DISPATCH] Task Activity_1 prende la CPU
1354.464616     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 940.996 ms)
1354.464692     | [DISPATCH] Task Activity_1 prende la CPU
1354.464748     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 941.052 ms)
1354.464776     | [DISPATCH] Task Activity_1 prende la CPU
1354.465091     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 941.367 ms)
1354.465128     | [DISPATCH] Task Activity_1 prende la CPU
1354.465204     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 941.443 ms)
1354.465238     | [DISPATCH] Task Activity_1 prende la CPU
1354.465635     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 941.840 ms)
1354.465672     | [DISPATCH] Task Activity_1 prende la CPU
1354.475086     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 951.254 ms)
1354.475122     | [DISPATCH] Task Activity_1 prende la CPU
1354.475188     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 951.320 ms)
1354.475263     | [DISPATCH] Task Activity_1 prende la CPU
1354.484669     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 960.726 ms)
1354.484705     | [DISPATCH] Task Activity_1 prende la CPU
1354.484850     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 960.871 ms)
1354.484907     | [DISPATCH] Task Activity_1 prende la CPU
1354.484932     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 960.896 ms)
1354.484980     | [DISPATCH] Task Activity_1 prende la CPU
1354.485018     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 960.934 ms)
1354.485044     | [DISPATCH] Task Activity_1 prende la CPU
1354.485048     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 960.938 ms)
1354.485083     | [DISPATCH] Task Activity_1 prende la CPU
1354.486254     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 962.109 ms)
1354.486321     | [DISPATCH] Task Activity_1 prende la CPU
1354.486338     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 962.126 ms)
1354.486368     | [DISPATCH] Task Activity_1 prende la CPU
1354.487084     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 962.842 ms)
1354.487116     | [DISPATCH] Task Activity_1 prende la CPU
1354.487150     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 962.876 ms)
1354.487177     | [DISPATCH] Task Activity_1 prende la CPU
1354.487258     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 962.957 ms)
1354.487293     | [DISPATCH] Task Activity_1 prende la CPU
1354.491904     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 967.568 ms)
1354.491964     | [DISPATCH] Task Activity_1 prende la CPU
1354.492129     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 967.733 ms)
1354.492158     | [DISPATCH] Task Activity_1 prende la CPU
1354.495327     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 970.902 ms)
1354.495430     | [DISPATCH] Task Activity_1 prende la CPU
1354.495470     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 970.942 ms)
1354.495506     | [DISPATCH] Task Activity_1 prende la CPU
1354.508429     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 983.865 ms)
1354.508465     | [DISPATCH] Task Activity_1 prende la CPU
1354.515382     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 990.782 ms)
1354.515418     | [DISPATCH] Task Activity_1 prende la CPU
1354.521749     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 997.113 ms)
1354.521830     | [DISPATCH] Task Activity_1 prende la CPU
1354.522234     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 997.517 ms)
1354.522270     | [DISPATCH] Task Activity_1 prende la CPU
1354.522479     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 997.726 ms)
1354.522517     | [DISPATCH] Task Activity_1 prende la CPU
1354.522771     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 997.980 ms)
1354.522808     | [DISPATCH] Task Activity_1 prende la CPU
1354.522881     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 998.053 ms)
1354.522943     | [DISPATCH] Task Activity_1 prende la CPU
1354.523163     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 998.273 ms)
1354.523202     | [DISPATCH] Task Activity_1 prende la CPU
1354.523425     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 998.496 ms)
1354.523480     | [DISPATCH] Task Activity_1 prende la CPU
1354.523606     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 998.622 ms)
1354.523643     | [DISPATCH] Task Activity_1 prende la CPU
1354.530340     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1005.319 ms)
1354.530388     | [DISPATCH] Task Activity_1 prende la CPU
1354.544414     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1019.345 ms)
1354.544469     | [DISPATCH] Task Activity_1 prende la CPU
1354.564304     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1039.180 ms)
1354.564340     | [DISPATCH] Task Activity_1 prende la CPU
1354.575288     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1050.128 ms)
1354.575359     | [DISPATCH] Task Activity_1 prende la CPU
1354.623010     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1097.779 ms)
1354.623062     | [DISPATCH] Task Activity_1 prende la CPU
1354.635287     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1110.004 ms)
1354.635343     | [DISPATCH] Task Activity_1 prende la CPU
1354.644329     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1118.990 ms)
1354.644426     | [DISPATCH] Task Activity_1 prende la CPU
1354.646813     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1121.377 ms)
1354.646879     | [DISPATCH] Task Activity_1 prende la CPU
1354.655298     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1129.796 ms)
1354.655393     | [DISPATCH] Task Activity_1 prende la CPU
1354.655475     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1129.878 ms)
1354.655511     | [DISPATCH] Task Activity_1 prende la CPU
1354.655532     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1129.899 ms)
1354.655559     | [DISPATCH] Task Activity_1 prende la CPU
1354.655632     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1129.972 ms)
1354.655659     | [DISPATCH] Task Activity_1 prende la CPU
1354.655679     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1129.992 ms)
1354.655705     | [DISPATCH] Task Activity_1 prende la CPU
1354.655843     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1130.130 ms)
1354.655880     | [DISPATCH] Task Activity_1 prende la CPU
1354.662590     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1136.840 ms)
1354.662649     | [DISPATCH] Task Activity_1 prende la CPU
1354.662877     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1137.068 ms)
1354.662923     | [DISPATCH] Task Activity_1 prende la CPU
1354.663334     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1137.479 ms)
1354.663422     | [DISPATCH] Task Activity_1 prende la CPU
1354.663437     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1137.494 ms)
1354.663476     | [DISPATCH] Task Activity_1 prende la CPU
1354.663785     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1137.803 ms)
1354.663831     | [DISPATCH] Task Activity_1 prende la CPU
1354.749220     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1223.192 ms)
1354.749296     | [DISPATCH] Task Activity_1 prende la CPU
1354.814082     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1287.978 ms)
1354.814099     | [DISPATCH] Task Activity_1 prende la CPU
1354.851647     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1325.526 ms)
1354.851705     | [DISPATCH] Task Activity_1 prende la CPU
1354.878057     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1351.878 ms)
1354.878072     | [DISPATCH] Task Activity_1 prende la CPU
1354.946173     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1419.979 ms)
1354.946253     | [DISPATCH] Task Activity_1 prende la CPU
1354.954029     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1427.755 ms)
1354.954094     | [DISPATCH] Task Activity_1 prende la CPU
1355.036678     | [WAKEUP]   Task Activity_2 Rilasciato (Inizio Percorso 2)
1355.036683     | [DISPATCH] Task Activity_2 prende la CPU
