Activity_1-6709           | [005] | 1353.437076  | sched_switch    | app09b:6709 [120] R ==> migration/5:47 [0] 
Activity_1-6709           | [000] | 1353.437115  | sched_switch    | app09b:6709 [98] S ==> swapper/0:0 [120] 
Activity_2-6710           | [001] | 1353.442575  | sched_wakeup    | kworker/1:2:104 [120] CPU:001 
Activity_1-6709           | [000] | 1353.521136  | sched_wakeup    | irq/171-rtw88_p:603 [49] CPU:000 
Activity_1-6709           | [000] | 1353.521140  | sched_switch    | Activity_1:6709 [98] R ==> irq/171-rtw88_p:603 [49] 
irq/171-rtw88_p-603       | [000] | 1353.521225  | sched_switch    | irq/171-rtw88_p:603 [49] S ==> Activity_1:6709 [98] 
Activity_1-6709           | [000] | 1353.598523  | sched_wakeup    | kworker/0:3:1038 [120] CPU:000 
Activity_1-6709           | [000] | 1353.622811  | sched_wakeup    | irq/171-rtw88_p:603 [49] CPU:000 
Activity_1-6709           | [000] | 1353.622815  | sched_switch    | Activity_1:6709 [98] R ==> irq/171-rtw88_p:603 [49] 
irq/171-rtw88_p-603       | [000] | 1353.622892  | sched_switch    | irq/171-rtw88_p:603 [49] S ==> Activity_1:6709 [98] 
Activity_1-6709           | [000] | 1353.725195  | sched_wakeup    | irq/171-rtw88_p:603 [49] CPU:000 
Activity_1-6709           | [000] | 1353.725199  | sched_switch    | Activity_1:6709 [98] R ==> irq/171-rtw88_p:603 [49] 
irq/171-rtw88_p-603       | [000] | 1353.725277  | sched_switch    | irq/171-rtw88_p:603 [49] S ==> Activity_1:6709 [98] 
Activity_1-6709           | [000] | 1353.827621  | sched_wakeup    | irq/171-rtw88_p:603 [49] CPU:000 
Activity_1-6709           | [000] | 1353.827625  | sched_switch    | Activity_1:6709 [98] R ==> irq/171-rtw88_p:603 [49] 
irq/171-rtw88_p-603       | [000] | 1353.827688  | sched_switch    | irq/171-rtw88_p:603 [49] S ==> Activity_1:6709 [98] 
Activity_1-6709           | [000] | 1353.916781  | sched_wakeup    | irq/9-acpi:82 [49] CPU:000 
Activity_1-6709           | [000] | 1353.916784  | sched_switch    | Activity_1:6709 [98] R ==> irq/9-acpi:82 [49] 
irq/9-acpi-82             | [000] | 1353.916900  | sched_switch    | irq/9-acpi:82 [49] S ==> Activity_1:6709 [98] 
Activity_1-6709           | [000] | 1353.916941  | sched_wakeup    | irq/9-acpi:82 [49] CPU:000 
Activity_1-6709           | [000] | 1353.916942  | sched_switch    | Activity_1:6709 [98] R ==> irq/9-acpi:82 [49] 
irq/9-acpi-82             | [000] | 1353.917061  | sched_switch    | irq/9-acpi:82 [49] S ==> Activity_1:6709 [98] 
Activity_1-6709           | [000] | 1353.918760  | sched_wakeup    | irq/9-acpi:82 [49] CPU:000 
Activity_1-6709           | [000] | 1353.918762  | sched_switch    | Activity_1:6709 [98] R ==> irq/9-acpi:82 [49] 
irq/9-acpi-82             | [000] | 1353.918865  | sched_switch    | irq/9-acpi:82 [49] S ==> Activity_1:6709 [98] 
Activity_1-6709           | [000] | 1353.930018  | sched_wakeup    | irq/171-rtw88_p:603 [49] CPU:000 
Activity_1-6709           | [000] | 1353.930020  | sched_switch    | Activity_1:6709 [98] R ==> irq/171-rtw88_p:603 [49] 
irq/171-rtw88_p-603       | [000] | 1353.930072  | sched_switch    | irq/171-rtw88_p:603 [49] S ==> Activity_1:6709 [98] 
Activity_1-6709           | [000] | 1353.934398  | sched_wakeup    | irq/171-rtw88_p:603 [49] CPU:000 
Activity_1-6709           | [000] | 1353.934404  | sched_switch    | Activity_1:6709 [98] R ==> irq/171-rtw88_p:603 [49] 
irq/171-rtw88_p-603       | [000] | 1353.934454  | sched_switch    | irq/171-rtw88_p:603 [49] S ==> Activity_1:6709 [98] 
Activity_1-6709           | [000] | 1353.934790  | sched_wakeup    | irq/171-rtw88_p:603 [49] CPU:000 
Activity_1-6709           | [000] | 1353.934791  | sched_switch    | Activity_1:6709 [98] R ==> irq/171-rtw88_p:603 [49] 
irq/171-rtw88_p-603       | [000] | 1353.934824  | sched_switch    | irq/171-rtw88_p:603 [49] S ==> Activity_1:6709 [98] 
Activity_1-6709           | [000] | 1353.942961  | sched_wakeup    | irq/171-rtw88_p:603 [49] CPU:000 
Activity_1-6709           | [000] | 1353.942962  | sched_switch    | Activity_1:6709 [98] R ==> irq/171-rtw88_p:603 [49] 
irq/171-rtw88_p-603       | [000] | 1353.943028  | sched_switch    | irq/171-rtw88_p:603 [49] S ==> Activity_1:6709 [98] 
Activity_1-6709           | [000] | 1353.943558  | sched_wakeup    | irq/171-rtw88_p:603 [49] CPU:000 
Activity_1-6709           | [000] | 1353.943559  | sched_switch    | Activity_1:6709 [98] R ==> irq/171-rtw88_p:603 [49] 
irq/171-rtw88_p-603       | [000] | 1353.943607  | sched_switch    | irq/171-rtw88_p:603 [49] S ==> Activity_1:6709 [98] 
Activity_1-6709           | [000] | 1353.950255  | sched_wakeup    | irq/171-rtw88_p:603 [49] CPU:000 
Activity_1-6709           | [000] | 1353.950257  | sched_switch    | Activity_1:6709 [98] R ==> irq/171-rtw88_p:603 [49] 
irq/171-rtw88_p-603       | [000] | 1353.950304  | sched_switch    | irq/171-rtw88_p:603 [49] S ==> Activity_1:6709 [98] 
