
================== SCHEDULATORE CRONOLOGICO ==================
TEMPO (s)       | EVENTO
---------------------------------------------------------------------------
3183.588572     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.

..............................................................
3183.588673     | [NUOVO PERIODO] Task Activity_1 Inizia [Period=1800 ms, Deadline=1800]
3183.588700     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.

..............................................................
3183.588812     | [NUOVO PERIODO] Task Activity_2 Inizia [Period=800 ms, Deadline=800]
3183.589142     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3183.589143     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
3183.589148     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
3183.590141     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
3183.592140     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3183.610909     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3183.659443     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3183.659545     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
3183.659606     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3183.659608     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
3183.659681     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
3183.659909     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3183.659910     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
3183.660143     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
3183.668150     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3183.668152     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
3183.668397     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
3183.668745     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3183.668746     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
3183.669289     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
3183.669464     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3183.669465     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
3183.670280     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
3183.677172     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3183.677174     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
3183.677412     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
3183.685659     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3183.685660     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
3183.685897     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
3183.689710     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3183.689711     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
3183.689938     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
3183.771827     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3183.772691     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3183.773248     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3183.788063     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3183.788065     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
3183.788376     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
3183.890465     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3183.890466     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
3183.890763     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
3183.891284     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3183.891285     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
3183.891517     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
3183.891690     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3183.891691     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
3183.891959     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
3183.892404     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3183.892405     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
3183.894357     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
3183.903373     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3183.903375     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
3183.903927     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
3183.927598     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3183.927600     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
3183.927603     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
3183.931597     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
3183.931603     | [CPU DISPATCH]  Task Activity_2 entra in esecuzione fisica.
3183.933263     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3183.933265     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
3183.933517     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
3183.992878     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3183.992880     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
3183.993181     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
3184.051555     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3184.051557     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
3184.051635     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
3184.051952     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3184.051953     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
3184.052188     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
3184.052494     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3184.052495     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
3184.052725     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
3184.053121     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3184.053122     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
3184.053380     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
3184.053568     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
