
[!] Lettura batch da file: trace_results_app09c_20260318_214345/trace_colonne.txt

================== SCHEDULATORE CRONOLOGICO ==================
TEMPO (s)       | EVENTO
--------------------------------------------------------------
2374.875910     | [WAKEUP]   Task Activity_1 Rilasciato (Inizio Percorso 1)
2374.876215     | [DISPATCH] Task Activity_1 prende la CPU
2374.978311     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 102.096000 ms)
2374.978615     | [DISPATCH] Task Activity_1 prende la CPU
2375.080934     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 204.415000 ms)
2375.081241     | [DISPATCH] Task Activity_1 prende la CPU
2375.081738     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 204.912000 ms)
2375.081973     | [DISPATCH] Task Activity_1 prende la CPU
2375.082295     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 205.234000 ms)
2375.082526     | [DISPATCH] Task Activity_1 prende la CPU
2375.083758     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 206.466000 ms)
2375.084061     | [DISPATCH] Task Activity_1 prende la CPU
2375.092977     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 215.382000 ms)
2375.093473     | [DISPATCH] Task Activity_1 prende la CPU
2375.093522     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 215.431000 ms)
2375.093592     | [DISPATCH] Task Activity_1 prende la CPU
2375.093924     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 215.763000 ms)
2375.094172     | [DISPATCH] Task Activity_1 prende la CPU
2375.101410     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 223.001000 ms)
2375.101639     | [DISPATCH] Task Activity_1 prende la CPU
2375.183124     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 304.486000 ms)
2375.183368     | [DISPATCH] Task Activity_1 prende la CPU
2375.183957     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 305.075000 ms)
2375.184186     | [DISPATCH] Task Activity_1 prende la CPU
2375.184353     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 305.242000 ms)
2375.184626     | [DISPATCH] Task Activity_1 prende la CPU
2375.186348     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 306.964000 ms)
2375.186591     | [DISPATCH] Task Activity_1 prende la CPU
2375.222544     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 342.917000 ms)
2375.222708     | [DISPATCH] Task Activity_1 prende la CPU
2375.222754     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 342.963000 ms)
2375.222893     | [DISPATCH] Task Activity_1 prende la CPU
2375.223257     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 343.327000 ms)
2375.223487     | [DISPATCH] Task Activity_1 prende la CPU
2375.224516     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 344.356000 ms)
2375.224629     | [DISPATCH] Task Activity_1 prende la CPU
2375.285537     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 405.264000 ms)
2375.285777     | [DISPATCH] Task Activity_1 prende la CPU
2375.387918     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 507.405000 ms)
2375.388207     | [DISPATCH] Task Activity_1 prende la CPU
2375.490331     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 609.529000 ms)
2375.490636     | [DISPATCH] Task Activity_1 prende la CPU
2375.592786     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 711.679000 ms)
2375.593071     | [DISPATCH] Task Activity_1 prende la CPU
2375.656030     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 774.638000 ms)
2375.656111     | [DISPATCH] Task Activity_1 prende la CPU
2375.656462     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 774.989000 ms)
2375.656691     | [DISPATCH] Task Activity_1 prende la CPU
2375.656977     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 775.275000 ms)
2375.657215     | [DISPATCH] Task Activity_1 prende la CPU
2375.664321     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 782.381000 ms)
2375.664568     | [DISPATCH] Task Activity_1 prende la CPU
2375.682469     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 800.282000 ms)
2375.682628     | [DISPATCH] Task Activity_1 prende la CPU
2375.684064     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 801.718000 ms)
2375.684227     | [DISPATCH] Task Activity_1 prende la CPU
2375.684346     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 801.837000 ms)
2375.684481     | [DISPATCH] Task Activity_1 prende la CPU
2375.684527     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 801.883000 ms)
2375.684667     | [DISPATCH] Task Activity_1 prende la CPU
2375.684783     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 801.999000 ms)
2375.684942     | [DISPATCH] Task Activity_1 prende la CPU
2375.684990     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 802.047000 ms)
2375.685159     | [DISPATCH] Task Activity_1 prende la CPU
2375.685205     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 802.093000 ms)
2375.685346     | [DISPATCH] Task Activity_1 prende la CPU
2375.685413     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 802.160000 ms)
2375.685549     | [DISPATCH] Task Activity_1 prende la CPU
2375.685595     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 802.206000 ms)
2375.685752     | [DISPATCH] Task Activity_1 prende la CPU
2375.685817     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 802.271000 ms)
2375.685947     | [DISPATCH] Task Activity_1 prende la CPU
2375.686216     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 802.540000 ms)
2375.686350     | [DISPATCH] Task Activity_1 prende la CPU
2375.686397     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 802.587000 ms)
2375.686567     | [DISPATCH] Task Activity_1 prende la CPU
2375.686676     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 802.696000 ms)
2375.686811     | [DISPATCH] Task Activity_1 prende la CPU
2375.686857     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 802.742000 ms)
2375.687040     | [DISPATCH] Task Activity_1 prende la CPU
2375.687087     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 802.789000 ms)
2375.687221     | [DISPATCH] Task Activity_1 prende la CPU
2375.687267     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 802.835000 ms)
2375.687402     | [DISPATCH] Task Activity_1 prende la CPU
2375.687672     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 803.105000 ms)
2375.687807     | [DISPATCH] Task Activity_1 prende la CPU
2375.687853     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 803.151000 ms)
2375.688008     | [DISPATCH] Task Activity_1 prende la CPU
2375.688078     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 803.221000 ms)
2375.688222     | [DISPATCH] Task Activity_1 prende la CPU
2375.688268     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 803.267000 ms)
2375.688379     | [DISPATCH] Task Activity_1 prende la CPU
2375.688535     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 803.423000 ms)
2375.688675     | [DISPATCH] Task Activity_1 prende la CPU
2375.688853     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 803.601000 ms)
2375.689003     | [DISPATCH] Task Activity_1 prende la CPU
2375.689050     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 803.648000 ms)
2375.689195     | [DISPATCH] Task Activity_1 prende la CPU
2375.689372     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 803.825000 ms)
2375.689507     | [DISPATCH] Task Activity_1 prende la CPU
2375.689553     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 803.871000 ms)
2375.689693     | [DISPATCH] Task Activity_1 prende la CPU
2375.689802     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 803.980000 ms)
2375.689948     | [DISPATCH] Task Activity_1 prende la CPU
2375.689995     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 804.027000 ms)
2375.690133     | [DISPATCH] Task Activity_1 prende la CPU
2375.690285     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 804.179000 ms)
2375.690419     | [DISPATCH] Task Activity_1 prende la CPU
2375.690465     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 804.225000 ms)
2375.690614     | [DISPATCH] Task Activity_1 prende la CPU
2375.690683     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 804.294000 ms)
2375.690817     | [DISPATCH] Task Activity_1 prende la CPU
2375.690866     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 804.343000 ms)
2375.690974     | [DISPATCH] Task Activity_1 prende la CPU
2375.691972     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 805.341000 ms)
2375.692114     | [DISPATCH] Task Activity_1 prende la CPU
2375.692335     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 805.562000 ms)
2375.692469     | [DISPATCH] Task Activity_1 prende la CPU
2375.692516     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 805.609000 ms)
2375.692670     | [DISPATCH] Task Activity_1 prende la CPU
2375.692814     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 805.753000 ms)
2375.692972     | [DISPATCH] Task Activity_1 prende la CPU
2375.693040     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 805.821000 ms)
2375.693186     | [DISPATCH] Task Activity_1 prende la CPU
2375.693232     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 805.867000 ms)
2375.693374     | [DISPATCH] Task Activity_1 prende la CPU
2375.693441     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 805.934000 ms)
2375.693575     | [DISPATCH] Task Activity_1 prende la CPU
2375.693621     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 805.980000 ms)
2375.693779     | [DISPATCH] Task Activity_1 prende la CPU
2375.693844     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 806.045000 ms)
2375.694011     | [DISPATCH] Task Activity_1 prende la CPU
