Activity_1-7775           | [007] | 2374.859261  | sched_switch    | app09c:7775 [120] S ==> migration/7:59 [0] 
Activity_1-7775           | [000] | 2374.859345  | print           | tracing_mark_write: === PERIOD_START: Activity_1 (Period=1800 ms, Deadline=2376196) === 
Activity_2-7776           | [007] | 2374.859413  | sched_switch    | app09c:7776 [120] S ==> migration/7:59 [0] 
Activity_1-7775           | [000] | 2374.875910  | sched_wakeup    | irq/171-rtw88_p:603 [49] CPU:000 
Activity_1-7775           | [000] | 2374.875913  | sched_switch    | Activity_1:7775 [98] R ==> irq/171-rtw88_p:603 [49] 
irq/171-rtw88_p-603       | [000] | 2374.876215  | sched_switch    | irq/171-rtw88_p:603 [49] S ==> Activity_1:7775 [98] 
Activity_1-7775           | [000] | 2374.978306  | sched_wakeup    | irq/171-rtw88_p:603 [49] CPU:000 
Activity_1-7775           | [000] | 2374.978311  | sched_switch    | Activity_1:7775 [98] R ==> irq/171-rtw88_p:603 [49] 
irq/171-rtw88_p-603       | [000] | 2374.978615  | sched_switch    | irq/171-rtw88_p:603 [49] S ==> Activity_1:7775 [98] 
Activity_1-7775           | [000] | 2375.080930  | sched_wakeup    | irq/171-rtw88_p:603 [49] CPU:000 
Activity_1-7775           | [000] | 2375.080934  | sched_switch    | Activity_1:7775 [98] R ==> irq/171-rtw88_p:603 [49] 
irq/171-rtw88_p-603       | [000] | 2375.081241  | sched_switch    | irq/171-rtw88_p:603 [49] S ==> Activity_1:7775 [98] 
Activity_1-7775           | [000] | 2375.081737  | sched_wakeup    | irq/171-rtw88_p:603 [49] CPU:000 
Activity_1-7775           | [000] | 2375.081738  | sched_switch    | Activity_1:7775 [98] R ==> irq/171-rtw88_p:603 [49] 
irq/171-rtw88_p-603       | [000] | 2375.081973  | sched_switch    | irq/171-rtw88_p:603 [49] S ==> Activity_1:7775 [98] 
Activity_1-7775           | [000] | 2375.082294  | sched_wakeup    | irq/171-rtw88_p:603 [49] CPU:000 
Activity_1-7775           | [000] | 2375.082295  | sched_switch    | Activity_1:7775 [98] R ==> irq/171-rtw88_p:603 [49] 
irq/171-rtw88_p-603       | [000] | 2375.082526  | sched_switch    | irq/171-rtw88_p:603 [49] S ==> Activity_1:7775 [98] 
Activity_1-7775           | [000] | 2375.083757  | sched_wakeup    | irq/171-rtw88_p:603 [49] CPU:000 
Activity_1-7775           | [000] | 2375.083758  | sched_switch    | Activity_1:7775 [98] R ==> irq/171-rtw88_p:603 [49] 
irq/171-rtw88_p-603       | [000] | 2375.084061  | sched_switch    | irq/171-rtw88_p:603 [49] S ==> Activity_1:7775 [98] 
Activity_1-7775           | [000] | 2375.092975  | sched_wakeup    | irq/171-rtw88_p:603 [49] CPU:000 
Activity_1-7775           | [000] | 2375.092977  | sched_switch    | Activity_1:7775 [98] R ==> irq/171-rtw88_p:603 [49] 
irq/171-rtw88_p-603       | [000] | 2375.093473  | sched_switch    | irq/171-rtw88_p:603 [49] S ==> Activity_1:7775 [98] 
Activity_1-7775           | [000] | 2375.093521  | sched_wakeup    | irq/171-rtw88_p:603 [49] CPU:000 
Activity_1-7775           | [000] | 2375.093522  | sched_switch    | Activity_1:7775 [98] R ==> irq/171-rtw88_p:603 [49] 
irq/171-rtw88_p-603       | [000] | 2375.093592  | sched_switch    | irq/171-rtw88_p:603 [49] S ==> Activity_1:7775 [98] 
Activity_1-7775           | [000] | 2375.093923  | sched_wakeup    | irq/171-rtw88_p:603 [49] CPU:000 
Activity_1-7775           | [000] | 2375.093924  | sched_switch    | Activity_1:7775 [98] R ==> irq/171-rtw88_p:603 [49] 
irq/171-rtw88_p-603       | [000] | 2375.094172  | sched_switch    | irq/171-rtw88_p:603 [49] S ==> Activity_1:7775 [98] 
Activity_1-7775           | [000] | 2375.101409  | sched_wakeup    | irq/171-rtw88_p:603 [49] CPU:000 
Activity_1-7775           | [000] | 2375.101410  | sched_switch    | Activity_1:7775 [98] R ==> irq/171-rtw88_p:603 [49] 
irq/171-rtw88_p-603       | [000] | 2375.101639  | sched_switch    | irq/171-rtw88_p:603 [49] S ==> Activity_1:7775 [98] 
Activity_1-7775           | [000] | 2375.144124  | sched_wakeup    | kworker/0:3:1038 [120] CPU:000 
Activity_1-7775           | [000] | 2375.183123  | sched_wakeup    | irq/171-rtw88_p:603 [49] CPU:000 
Activity_1-7775           | [000] | 2375.183124  | sched_switch    | Activity_1:7775 [98] R ==> irq/171-rtw88_p:603 [49] 
irq/171-rtw88_p-603       | [000] | 2375.183368  | sched_switch    | irq/171-rtw88_p:603 [49] S ==> Activity_1:7775 [98] 
Activity_1-7775           | [000] | 2375.183956  | sched_wakeup    | irq/171-rtw88_p:603 [49] CPU:000 
Activity_1-7775           | [000] | 2375.183957  | sched_switch    | Activity_1:7775 [98] R ==> irq/171-rtw88_p:603 [49] 
irq/171-rtw88_p-603       | [000] | 2375.184186  | sched_switch    | irq/171-rtw88_p:603 [49] S ==> Activity_1:7775 [98] 
Activity_1-7775           | [000] | 2375.184352  | sched_wakeup    | irq/171-rtw88_p:603 [49] CPU:000 
Activity_1-7775           | [000] | 2375.184353  | sched_switch    | Activity_1:7775 [98] R ==> irq/171-rtw88_p:603 [49] 
irq/171-rtw88_p-603       | [000] | 2375.184626  | sched_switch    | irq/171-rtw88_p:603 [49] S ==> Activity_1:7775 [98] 
Activity_1-7775           | [000] | 2375.186347  | sched_wakeup    | irq/171-rtw88_p:603 [49] CPU:000 
Activity_1-7775           | [000] | 2375.186348  | sched_switch    | Activity_1:7775 [98] R ==> irq/171-rtw88_p:603 [49] 
irq/171-rtw88_p-603       | [000] | 2375.186591  | sched_switch    | irq/171-rtw88_p:603 [49] S ==> Activity_1:7775 [98] 
Activity_1-7775           | [000] | 2375.222542  | sched_wakeup    | irq/9-acpi:82 [49] CPU:000 
Activity_1-7775           | [000] | 2375.222544  | sched_switch    | Activity_1:7775 [98] R ==> irq/9-acpi:82 [49] 
irq/9-acpi-82             | [000] | 2375.222708  | sched_switch    | irq/9-acpi:82 [49] S ==> Activity_1:7775 [98] 
Activity_1-7775           | [000] | 2375.222753  | sched_wakeup    | irq/9-acpi:82 [49] CPU:000 
Activity_1-7775           | [000] | 2375.222754  | sched_switch    | Activity_1:7775 [98] R ==> irq/9-acpi:82 [49] 
irq/9-acpi-82             | [000] | 2375.222893  | sched_switch    | irq/9-acpi:82 [49] S ==> Activity_1:7775 [98] 
Activity_1-7775           | [000] | 2375.223256  | sched_wakeup    | irq/171-rtw88_p:603 [49] CPU:000 
Activity_1-7775           | [000] | 2375.223257  | sched_switch    | Activity_1:7775 [98] R ==> irq/171-rtw88_p:603 [49] 
irq/171-rtw88_p-603       | [000] | 2375.223487  | sched_switch    | irq/171-rtw88_p:603 [49] S ==> Activity_1:7775 [98] 
Activity_1-7775           | [000] | 2375.224515  | sched_wakeup    | irq/9-acpi:82 [49] CPU:000 
Activity_1-7775           | [000] | 2375.224516  | sched_switch    | Activity_1:7775 [98] R ==> irq/9-acpi:82 [49] 
irq/9-acpi-82             | [000] | 2375.224629  | sched_switch    | irq/9-acpi:82 [49] S ==> Activity_1:7775 [98] 
Activity_1-7775           | [000] | 2375.285535  | sched_wakeup    | irq/171-rtw88_p:603 [49] CPU:000 
Activity_1-7775           | [000] | 2375.285537  | sched_switch    | Activity_1:7775 [98] R ==> irq/171-rtw88_p:603 [49] 
irq/171-rtw88_p-603       | [000] | 2375.285777  | sched_switch    | irq/171-rtw88_p:603 [49] S ==> Activity_1:7775 [98] 
Activity_1-7775           | [000] | 2375.387915  | sched_wakeup    | irq/171-rtw88_p:603 [49] CPU:000 
Activity_1-7775           | [000] | 2375.387918  | sched_switch    | Activity_1:7775 [98] R ==> irq/171-rtw88_p:603 [49] 
irq/171-rtw88_p-603       | [000] | 2375.388207  | sched_switch    | irq/171-rtw88_p:603 [49] S ==> Activity_1:7775 [98] 
Activity_1-7775           | [000] | 2375.490327  | sched_wakeup    | irq/171-rtw88_p:603 [49] CPU:000 
Activity_1-7775           | [000] | 2375.490331  | sched_switch    | Activity_1:7775 [98] R ==> irq/171-rtw88_p:603 [49] 
irq/171-rtw88_p-603       | [000] | 2375.490636  | sched_switch    | irq/171-rtw88_p:603 [49] S ==> Activity_1:7775 [98] 
Activity_1-7775           | [000] | 2375.592783  | sched_wakeup    | irq/171-rtw88_p:603 [49] CPU:000 
Activity_1-7775           | [000] | 2375.592786  | sched_switch    | Activity_1:7775 [98] R ==> irq/171-rtw88_p:603 [49] 
irq/171-rtw88_p-603       | [000] | 2375.593071  | sched_switch    | irq/171-rtw88_p:603 [49] S ==> Activity_1:7775 [98] 
Activity_1-7775           | [000] | 2375.656027  | sched_wakeup    | irq/171-rtw88_p:603 [49] CPU:000 
Activity_1-7775           | [000] | 2375.656030  | sched_switch    | Activity_1:7775 [98] R ==> irq/171-rtw88_p:603 [49] 
irq/171-rtw88_p-603       | [000] | 2375.656111  | sched_switch    | irq/171-rtw88_p:603 [49] S ==> Activity_1:7775 [98] 
Activity_1-7775           | [000] | 2375.656460  | sched_wakeup    | irq/171-rtw88_p:603 [49] CPU:000 
Activity_1-7775           | [000] | 2375.656462  | sched_switch    | Activity_1:7775 [98] R ==> irq/171-rtw88_p:603 [49] 
irq/171-rtw88_p-603       | [000] | 2375.656691  | sched_switch    | irq/171-rtw88_p:603 [49] S ==> Activity_1:7775 [98] 
Activity_1-7775           | [000] | 2375.656976  | sched_wakeup    | irq/171-rtw88_p:603 [49] CPU:000 
Activity_1-7775           | [000] | 2375.656977  | sched_switch    | Activity_1:7775 [98] R ==> irq/171-rtw88_p:603 [49] 
irq/171-rtw88_p-603       | [000] | 2375.657215  | sched_switch    | irq/171-rtw88_p:603 [49] S ==> Activity_1:7775 [98] 
Activity_1-7775           | [000] | 2375.664319  | sched_wakeup    | irq/171-rtw88_p:603 [49] CPU:000 
Activity_1-7775           | [000] | 2375.664321  | sched_switch    | Activity_1:7775 [98] R ==> irq/171-rtw88_p:603 [49] 
irq/171-rtw88_p-603       | [000] | 2375.664568  | sched_switch    | irq/171-rtw88_p:603 [49] S ==> Activity_1:7775 [98] 
Activity_1-7775           | [000] | 2375.682466  | sched_wakeup    | irq/9-acpi:82 [49] CPU:000 
Activity_1-7775           | [000] | 2375.682469  | sched_switch    | Activity_1:7775 [98] R ==> irq/9-acpi:82 [49] 
irq/9-acpi-82             | [000] | 2375.682628  | sched_switch    | irq/9-acpi:82 [49] S ==> Activity_1:7775 [98] 
Activity_1-7775           | [000] | 2375.684063  | sched_wakeup    | irq/9-acpi:82 [49] CPU:000 
Activity_1-7775           | [000] | 2375.684064  | sched_switch    | Activity_1:7775 [98] R ==> irq/9-acpi:82 [49] 
irq/9-acpi-82             | [000] | 2375.684227  | sched_switch    | irq/9-acpi:82 [49] S ==> Activity_1:7775 [98] 
Activity_1-7775           | [000] | 2375.684345  | sched_wakeup    | irq/9-acpi:82 [49] CPU:000 
Activity_1-7775           | [000] | 2375.684346  | sched_switch    | Activity_1:7775 [98] R ==> irq/9-acpi:82 [49] 
irq/9-acpi-82             | [000] | 2375.684481  | sched_switch    | irq/9-acpi:82 [49] S ==> Activity_1:7775 [98] 
Activity_1-7775           | [000] | 2375.684526  | sched_wakeup    | irq/9-acpi:82 [49] CPU:000 
Activity_1-7775           | [000] | 2375.684527  | sched_switch    | Activity_1:7775 [98] R ==> irq/9-acpi:82 [49] 
irq/9-acpi-82             | [000] | 2375.684667  | sched_switch    | irq/9-acpi:82 [49] S ==> Activity_1:7775 [98] 
Activity_1-7775           | [000] | 2375.684781  | sched_wakeup    | irq/9-acpi:82 [49] CPU:000 
Activity_1-7775           | [000] | 2375.684783  | sched_switch    | Activity_1:7775 [98] R ==> irq/9-acpi:82 [49] 
irq/9-acpi-82             | [000] | 2375.684942  | sched_switch    | irq/9-acpi:82 [49] S ==> Activity_1:7775 [98] 
Activity_1-7775           | [000] | 2375.684989  | sched_wakeup    | irq/9-acpi:82 [49] CPU:000 
Activity_1-7775           | [000] | 2375.684990  | sched_switch    | Activity_1:7775 [98] R ==> irq/9-acpi:82 [49] 
irq/9-acpi-82             | [000] | 2375.685159  | sched_switch    | irq/9-acpi:82 [49] S ==> Activity_1:7775 [98] 
Activity_1-7775           | [000] | 2375.685204  | sched_wakeup    | irq/9-acpi:82 [49] CPU:000 
Activity_1-7775           | [000] | 2375.685205  | sched_switch    | Activity_1:7775 [98] R ==> irq/9-acpi:82 [49] 
irq/9-acpi-82             | [000] | 2375.685346  | sched_switch    | irq/9-acpi:82 [49] S ==> Activity_1:7775 [98] 
Activity_1-7775           | [000] | 2375.685412  | sched_wakeup    | irq/9-acpi:82 [49] CPU:000 
Activity_1-7775           | [000] | 2375.685413  | sched_switch    | Activity_1:7775 [98] R ==> irq/9-acpi:82 [49] 
irq/9-acpi-82             | [000] | 2375.685549  | sched_switch    | irq/9-acpi:82 [49] S ==> Activity_1:7775 [98] 
Activity_1-7775           | [000] | 2375.685594  | sched_wakeup    | irq/9-acpi:82 [49] CPU:000 
Activity_1-7775           | [000] | 2375.685595  | sched_switch    | Activity_1:7775 [98] R ==> irq/9-acpi:82 [49] 
irq/9-acpi-82             | [000] | 2375.685752  | sched_switch    | irq/9-acpi:82 [49] S ==> Activity_1:7775 [98] 
Activity_1-7775           | [000] | 2375.685815  | sched_wakeup    | irq/9-acpi:82 [49] CPU:000 
Activity_1-7775           | [000] | 2375.685817  | sched_switch    | Activity_1:7775 [98] R ==> irq/9-acpi:82 [49] 
irq/9-acpi-82             | [000] | 2375.685947  | sched_switch    | irq/9-acpi:82 [49] S ==> Activity_1:7775 [98] 
Activity_1-7775           | [000] | 2375.686215  | sched_wakeup    | irq/9-acpi:82 [49] CPU:000 
Activity_1-7775           | [000] | 2375.686216  | sched_switch    | Activity_1:7775 [98] R ==> irq/9-acpi:82 [49] 
irq/9-acpi-82             | [000] | 2375.686350  | sched_switch    | irq/9-acpi:82 [49] S ==> Activity_1:7775 [98] 
Activity_1-7775           | [000] | 2375.686396  | sched_wakeup    | irq/9-acpi:82 [49] CPU:000 
Activity_1-7775           | [000] | 2375.686397  | sched_switch    | Activity_1:7775 [98] R ==> irq/9-acpi:82 [49] 
irq/9-acpi-82             | [000] | 2375.686567  | sched_switch    | irq/9-acpi:82 [49] S ==> Activity_1:7775 [98] 
Activity_1-7775           | [000] | 2375.686675  | sched_wakeup    | irq/9-acpi:82 [49] CPU:000 
Activity_1-7775           | [000] | 2375.686676  | sched_switch    | Activity_1:7775 [98] R ==> irq/9-acpi:82 [49] 
irq/9-acpi-82             | [000] | 2375.686811  | sched_switch    | irq/9-acpi:82 [49] S ==> Activity_1:7775 [98] 
Activity_1-7775           | [000] | 2375.686856  | sched_wakeup    | irq/9-acpi:82 [49] CPU:000 
Activity_1-7775           | [000] | 2375.686857  | sched_switch    | Activity_1:7775 [98] R ==> irq/9-acpi:82 [49] 
irq/9-acpi-82             | [000] | 2375.687040  | sched_switch    | irq/9-acpi:82 [49] S ==> Activity_1:7775 [98] 
Activity_1-7775           | [000] | 2375.687085  | sched_wakeup    | irq/9-acpi:82 [49] CPU:000 
Activity_1-7775           | [000] | 2375.687087  | sched_switch    | Activity_1:7775 [98] R ==> irq/9-acpi:82 [49] 
irq/9-acpi-82             | [000] | 2375.687221  | sched_switch    | irq/9-acpi:82 [49] S ==> Activity_1:7775 [98] 
Activity_1-7775           | [000] | 2375.687266  | sched_wakeup    | irq/9-acpi:82 [49] CPU:000 
Activity_1-7775           | [000] | 2375.687267  | sched_switch    | Activity_1:7775 [98] R ==> irq/9-acpi:82 [49] 
irq/9-acpi-82             | [000] | 2375.687402  | sched_switch    | irq/9-acpi:82 [49] S ==> Activity_1:7775 [98] 
Activity_1-7775           | [000] | 2375.687671  | sched_wakeup    | irq/9-acpi:82 [49] CPU:000 
Activity_1-7775           | [000] | 2375.687672  | sched_switch    | Activity_1:7775 [98] R ==> irq/9-acpi:82 [49] 
irq/9-acpi-82             | [000] | 2375.687807  | sched_switch    | irq/9-acpi:82 [49] S ==> Activity_1:7775 [98] 
Activity_1-7775           | [000] | 2375.687852  | sched_wakeup    | irq/9-acpi:82 [49] CPU:000 
Activity_1-7775           | [000] | 2375.687853  | sched_switch    | Activity_1:7775 [98] R ==> irq/9-acpi:82 [49] 
irq/9-acpi-82             | [000] | 2375.688008  | sched_switch    | irq/9-acpi:82 [49] S ==> Activity_1:7775 [98] 
Activity_1-7775           | [000] | 2375.688077  | sched_wakeup    | irq/9-acpi:82 [49] CPU:000 
Activity_1-7775           | [000] | 2375.688078  | sched_switch    | Activity_1:7775 [98] R ==> irq/9-acpi:82 [49] 
irq/9-acpi-82             | [000] | 2375.688222  | sched_switch    | irq/9-acpi:82 [49] S ==> Activity_1:7775 [98] 
Activity_1-7775           | [000] | 2375.688267  | sched_wakeup    | irq/9-acpi:82 [49] CPU:000 
Activity_1-7775           | [000] | 2375.688268  | sched_switch    | Activity_1:7775 [98] R ==> irq/9-acpi:82 [49] 
irq/9-acpi-82             | [000] | 2375.688379  | sched_switch    | irq/9-acpi:82 [49] S ==> Activity_1:7775 [98] 
Activity_1-7775           | [000] | 2375.688534  | sched_wakeup    | irq/9-acpi:82 [49] CPU:000 
Activity_1-7775           | [000] | 2375.688535  | sched_switch    | Activity_1:7775 [98] R ==> irq/9-acpi:82 [49] 
irq/9-acpi-82             | [000] | 2375.688675  | sched_switch    | irq/9-acpi:82 [49] S ==> Activity_1:7775 [98] 
Activity_1-7775           | [000] | 2375.688852  | sched_wakeup    | irq/9-acpi:82 [49] CPU:000 
Activity_1-7775           | [000] | 2375.688853  | sched_switch    | Activity_1:7775 [98] R ==> irq/9-acpi:82 [49] 
irq/9-acpi-82             | [000] | 2375.689003  | sched_switch    | irq/9-acpi:82 [49] S ==> Activity_1:7775 [98] 
Activity_1-7775           | [000] | 2375.689049  | sched_wakeup    | irq/9-acpi:82 [49] CPU:000 
Activity_1-7775           | [000] | 2375.689050  | sched_switch    | Activity_1:7775 [98] R ==> irq/9-acpi:82 [49] 
irq/9-acpi-82             | [000] | 2375.689195  | sched_switch    | irq/9-acpi:82 [49] S ==> Activity_1:7775 [98] 
Activity_1-7775           | [000] | 2375.689371  | sched_wakeup    | irq/9-acpi:82 [49] CPU:000 
Activity_1-7775           | [000] | 2375.689372  | sched_switch    | Activity_1:7775 [98] R ==> irq/9-acpi:82 [49] 
irq/9-acpi-82             | [000] | 2375.689507  | sched_switch    | irq/9-acpi:82 [49] S ==> Activity_1:7775 [98] 
Activity_1-7775           | [000] | 2375.689552  | sched_wakeup    | irq/9-acpi:82 [49] CPU:000 
Activity_1-7775           | [000] | 2375.689553  | sched_switch    | Activity_1:7775 [98] R ==> irq/9-acpi:82 [49] 
irq/9-acpi-82             | [000] | 2375.689693  | sched_switch    | irq/9-acpi:82 [49] S ==> Activity_1:7775 [98] 
Activity_1-7775           | [000] | 2375.689801  | sched_wakeup    | irq/9-acpi:82 [49] CPU:000 
Activity_1-7775           | [000] | 2375.689802  | sched_switch    | Activity_1:7775 [98] R ==> irq/9-acpi:82 [49] 
irq/9-acpi-82             | [000] | 2375.689948  | sched_switch    | irq/9-acpi:82 [49] S ==> Activity_1:7775 [98] 
Activity_1-7775           | [000] | 2375.689994  | sched_wakeup    | irq/9-acpi:82 [49] CPU:000 
Activity_1-7775           | [000] | 2375.689995  | sched_switch    | Activity_1:7775 [98] R ==> irq/9-acpi:82 [49] 
irq/9-acpi-82             | [000] | 2375.690133  | sched_switch    | irq/9-acpi:82 [49] S ==> Activity_1:7775 [98] 
Activity_1-7775           | [000] | 2375.690284  | sched_wakeup    | irq/9-acpi:82 [49] CPU:000 
Activity_1-7775           | [000] | 2375.690285  | sched_switch    | Activity_1:7775 [98] R ==> irq/9-acpi:82 [49] 
irq/9-acpi-82             | [000] | 2375.690419  | sched_switch    | irq/9-acpi:82 [49] S ==> Activity_1:7775 [98] 
Activity_1-7775           | [000] | 2375.690464  | sched_wakeup    | irq/9-acpi:82 [49] CPU:000 
Activity_1-7775           | [000] | 2375.690465  | sched_switch    | Activity_1:7775 [98] R ==> irq/9-acpi:82 [49] 
irq/9-acpi-82             | [000] | 2375.690614  | sched_switch    | irq/9-acpi:82 [49] S ==> Activity_1:7775 [98] 
Activity_1-7775           | [000] | 2375.690682  | sched_wakeup    | irq/9-acpi:82 [49] CPU:000 
Activity_1-7775           | [000] | 2375.690683  | sched_switch    | Activity_1:7775 [98] R ==> irq/9-acpi:82 [49] 
irq/9-acpi-82             | [000] | 2375.690817  | sched_switch    | irq/9-acpi:82 [49] S ==> Activity_1:7775 [98] 
Activity_1-7775           | [000] | 2375.690862  | sched_wakeup    | irq/9-acpi:82 [49] CPU:000 
Activity_1-7775           | [000] | 2375.690866  | sched_switch    | Activity_1:7775 [98] R ==> irq/9-acpi:82 [49] 
irq/9-acpi-82             | [000] | 2375.690974  | sched_switch    | irq/9-acpi:82 [49] S ==> Activity_1:7775 [98] 
Activity_1-7775           | [000] | 2375.691971  | sched_wakeup    | irq/9-acpi:82 [49] CPU:000 
Activity_1-7775           | [000] | 2375.691972  | sched_switch    | Activity_1:7775 [98] R ==> irq/9-acpi:82 [49] 
irq/9-acpi-82             | [000] | 2375.692114  | sched_switch    | irq/9-acpi:82 [49] S ==> Activity_1:7775 [98] 
Activity_1-7775           | [000] | 2375.692334  | sched_wakeup    | irq/9-acpi:82 [49] CPU:000 
Activity_1-7775           | [000] | 2375.692335  | sched_switch    | Activity_1:7775 [98] R ==> irq/9-acpi:82 [49] 
irq/9-acpi-82             | [000] | 2375.692469  | sched_switch    | irq/9-acpi:82 [49] S ==> Activity_1:7775 [98] 
Activity_1-7775           | [000] | 2375.692515  | sched_wakeup    | irq/9-acpi:82 [49] CPU:000 
Activity_1-7775           | [000] | 2375.692516  | sched_switch    | Activity_1:7775 [98] R ==> irq/9-acpi:82 [49] 
irq/9-acpi-82             | [000] | 2375.692670  | sched_switch    | irq/9-acpi:82 [49] S ==> Activity_1:7775 [98] 
Activity_1-7775           | [000] | 2375.692813  | sched_wakeup    | irq/9-acpi:82 [49] CPU:000 
Activity_1-7775           | [000] | 2375.692814  | sched_switch    | Activity_1:7775 [98] R ==> irq/9-acpi:82 [49] 
irq/9-acpi-82             | [000] | 2375.692972  | sched_switch    | irq/9-acpi:82 [49] S ==> Activity_1:7775 [98] 
Activity_1-7775           | [000] | 2375.693038  | sched_wakeup    | irq/9-acpi:82 [49] CPU:000 
Activity_1-7775           | [000] | 2375.693040  | sched_switch    | Activity_1:7775 [98] R ==> irq/9-acpi:82 [49] 
irq/9-acpi-82             | [000] | 2375.693186  | sched_switch    | irq/9-acpi:82 [49] S ==> Activity_1:7775 [98] 
Activity_1-7775           | [000] | 2375.693231  | sched_wakeup    | irq/9-acpi:82 [49] CPU:000 
