
[!] In attesa dello stream /sys/kernel/debug/tracing/trace_pipe...

================== SCHEDULATORE CRONOLOGICO ==================
TEMPO (s)       | EVENTO
--------------------------------------------------------------
2231.411010     | [WAKEUP]   Task Activity_1 Rilasciato (Inizio Percorso 1)
2231.411350     | [DISPATCH] Task Activity_1 prende la CPU
2231.506191     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 94.841000 ms)
2231.506519     | [DISPATCH] Task Activity_1 prende la CPU
2231.513396     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 101.718000 ms)
2231.513706     | [DISPATCH] Task Activity_1 prende la CPU
2231.514239     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 102.251000 ms)
2231.514519     | [DISPATCH] Task Activity_1 prende la CPU
2231.523395     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 111.127000 ms)
2231.523706     | [DISPATCH] Task Activity_1 prende la CPU
2231.524006     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 111.427000 ms)
2231.525760     | [DISPATCH] Task Activity_1 prende la CPU
2231.526102     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 111.769000 ms)
2231.526407     | [DISPATCH] Task Activity_1 prende la CPU
2231.526456     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 111.818000 ms)
2231.526530     | [DISPATCH] Task Activity_1 prende la CPU
2231.526838     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 112.126000 ms)
2231.527132     | [DISPATCH] Task Activity_1 prende la CPU
2231.527300     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 112.294000 ms)
2231.527584     | [DISPATCH] Task Activity_1 prende la CPU
2231.533060     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 117.770000 ms)
2231.533388     | [DISPATCH] Task Activity_1 prende la CPU
2231.533543     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 117.925000 ms)
2231.533846     | [DISPATCH] Task Activity_1 prende la CPU
2231.567062     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 151.141000 ms)
2231.567368     | [DISPATCH] Task Activity_1 prende la CPU
2231.615829     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 199.602000 ms)
2231.616081     | [DISPATCH] Task Activity_1 prende la CPU
2231.718248     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 301.769000 ms)
2231.718592     | [DISPATCH] Task Activity_1 prende la CPU
2231.763475     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 346.652000 ms)
2231.763578     | [DISPATCH] Task Activity_1 prende la CPU
2231.763875     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 346.949000 ms)
2231.764182     | [DISPATCH] Task Activity_1 prende la CPU
2231.764310     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 347.077000 ms)
2231.764619     | [DISPATCH] Task Activity_1 prende la CPU
2231.769765     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 352.223000 ms)
2231.770082     | [DISPATCH] Task Activity_1 prende la CPU
2231.771814     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 353.955000 ms)
2231.772054     | [DISPATCH] Task Activity_1 prende la CPU
2231.773535     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 355.436000 ms)
2231.773776     | [DISPATCH] Task Activity_1 prende la CPU
2231.803869     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 385.529000 ms)
2231.804158     | [DISPATCH] Task Activity_1 prende la CPU
2231.820629     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 402.000000 ms)
2231.820922     | [DISPATCH] Task Activity_1 prende la CPU
2231.923050     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 504.128000 ms)
2231.923356     | [DISPATCH] Task Activity_1 prende la CPU
2232.019319     | [WAKEUP]   Task Activity_2 Rilasciato (Inizio Percorso 1)
2232.025451     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 606.223000 ms)
2232.025772     | [DISPATCH] Task Activity_1 prende la CPU
2232.127835     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 708.286000 ms)
2232.128133     | [DISPATCH] Task Activity_1 prende la CPU
2232.212580     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 792.733000 ms)
2232.212684     | [DISPATCH] Task Activity_1 prende la CPU
2232.213052     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 793.101000 ms)
2232.213384     | [DISPATCH] Task Activity_1 prende la CPU
2232.214287     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 794.004000 ms)
2232.214488     | [DISPATCH] Task Activity_1 prende la CPU
2232.214862     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 794.378000 ms)
2232.215008     | [DISPATCH] Task Activity_1 prende la CPU
2232.230351     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 809.721000 ms)
2232.230667     | [DISPATCH] Task Activity_1 prende la CPU
2232.354424     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 933.478000 ms)
2232.354446     | [DISPATCH] Task Activity_1 prende la CPU
2232.355306     | [DISPATCH] Task Activity_2 prende la CPU
2232.377004     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 956.036000 ms)
2232.377171     | [DISPATCH] Task Activity_1 prende la CPU
2232.378472     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 957.337000 ms)
2232.378615     | [DISPATCH] Task Activity_1 prende la CPU
2232.378806     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 957.528000 ms)
2232.378965     | [DISPATCH] Task Activity_1 prende la CPU
2232.379012     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 957.575000 ms)
2232.379162     | [DISPATCH] Task Activity_1 prende la CPU
2232.379266     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 957.679000 ms)
2232.379436     | [DISPATCH] Task Activity_1 prende la CPU
2232.379485     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 957.728000 ms)
2232.379642     | [DISPATCH] Task Activity_1 prende la CPU
2232.379690     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 957.776000 ms)
2232.379853     | [DISPATCH] Task Activity_1 prende la CPU
2232.379935     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 957.858000 ms)
2232.380092     | [DISPATCH] Task Activity_1 prende la CPU
2232.380140     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 957.906000 ms)
2232.380295     | [DISPATCH] Task Activity_1 prende la CPU
2232.380364     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 957.975000 ms)
2232.380497     | [DISPATCH] Task Activity_1 prende la CPU
2232.380773     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 958.251000 ms)
2232.380915     | [DISPATCH] Task Activity_1 prende la CPU
2232.380963     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 958.299000 ms)
2232.381127     | [DISPATCH] Task Activity_1 prende la CPU
