
[!] Stream Eventi Live in esecuzione...

================== SCHEDULATORE CRONOLOGICO ==================
TEMPO (s)       | EVENTO
---------------------------------------------------------------------------

..............................................................
1002.244299     | [NUOVO PERIODO] Task Activity_1 Inizia [Period=1800 ms, Deadline=1800]

..............................................................
1002.244362     | [NUOVO PERIODO] Task Activity_2 Inizia [Period=800 ms, Deadline=800]
1002.244393     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
1002.244396     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
1002.249394     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1002.262470     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
1002.262982     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
1002.306408     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
1002.364884     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
1002.364886     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
1002.365385     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
1002.370402     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1002.467271     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
1002.467272     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
1002.467767     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
1002.546441     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1002.546608     | [CPU DISPATCH]  Task Activity_2 entra in esecuzione fisica.
1002.548528     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1002.548529     | [PREEMPT]       Task Activity_2 interrotto temporaneamente.
1002.548678     | [CPU DISPATCH]  Task Activity_2 entra in esecuzione fisica.
1002.548991     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1002.548993     | [PREEMPT]       Task Activity_2 interrotto temporaneamente.
1002.549127     | [CPU DISPATCH]  Task Activity_2 entra in esecuzione fisica.
1002.549171     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1002.549173     | [PREEMPT]       Task Activity_2 interrotto temporaneamente.
1002.549330     | [CPU DISPATCH]  Task Activity_2 entra in esecuzione fisica.
1002.549403     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1002.549404     | [PREEMPT]       Task Activity_2 interrotto temporaneamente.
1002.549551     | [CPU DISPATCH]  Task Activity_2 entra in esecuzione fisica.
1002.549596     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1002.549597     | [PREEMPT]       Task Activity_2 interrotto temporaneamente.
1002.549732     | [CPU DISPATCH]  Task Activity_2 entra in esecuzione fisica.
1002.549777     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1002.549778     | [PREEMPT]       Task Activity_2 interrotto temporaneamente.
1002.549921     | [CPU DISPATCH]  Task Activity_2 entra in esecuzione fisica.
1002.549969     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1002.549971     | [PREEMPT]       Task Activity_2 interrotto temporaneamente.
1002.550104     | [CPU DISPATCH]  Task Activity_2 entra in esecuzione fisica.
