task,type,start,end,duration_ms
ImageSender,WAIT,4004.750486,4004.950486,0
ImageSender,WAIT,4004.950486,4005.150486,0
ImageSender,WAIT,4005.150486,4005.350486,0
ImageSender,WAIT,4005.350486,4005.550486,0
ImageSender,WAIT,4005.550486,4005.750486,0
ImageSender,WAIT,4005.750486,4005.950486,0
ImageSender,WAIT,4005.950486,4006.150486,0
ImageSender,WAIT,4006.150486,4006.350486,0
ImageSender,WAIT,4006.350486,4006.550486,0
ImageSender,WAIT,4006.550486,4006.750486,0
ImageSender,WAIT,4006.750486,4006.950486,0
ImageSender,WAIT,4006.950486,4007.150486,0
ImageSender,WAIT,4007.150486,4007.350486,0
ImageSender,WAIT,4007.350486,4007.550486,0
ImageSender,WAIT,4007.550486,4007.750486,0
ImageSender,WAIT,4007.750486,4007.950486,0
ImageSender,WAIT,4007.950486,4008.150486,0
ImageSender,WAIT,4008.150486,4008.350486,0
ImageSender,WAIT,4008.350486,4008.550486,0
ImageSender,WAIT,4008.550486,4008.750486,0
ImageSender,WAIT,4008.750486,4008.950486,0
ImageSender,WAIT,4008.950486,4009.150486,0
ImageSender,WAIT,4009.150486,4009.350486,0
ImageSender,WAIT,4009.350486,4009.550486,0
ImageSender,WAIT,4009.550486,4009.750486,0
ImageSender,WAIT,4009.750486,4009.950486,0
ImageSender,WAIT,4009.950486,4010.150486,0
ImageSender,WAIT,4010.150486,4010.350486,0
ImageSender,WAIT,4010.350486,4010.550486,0
ImageSender,WAIT,4010.550486,4010.750486,0
ImageSender,WAIT,4010.750486,4010.950486,0
ImageSender,WAIT,4010.950486,4011.150486,0
ImageSender,WAIT,4011.150486,4011.350486,0
ImageSender,WAIT,4011.350486,4011.550486,0
ImageSender,WAIT,4011.550486,4011.750486,0
ImageSender,WAIT,4011.750486,4011.950486,0
ImageSender,WAIT,4011.950486,4012.150486,0
ImageSender,WAIT,4012.150486,4012.350486,0
ImageSender,WAIT,4012.350486,4012.550486,0
ImageSender,WAIT,4012.550486,4012.750486,0
ImageSender,WAIT,4012.750486,4012.950486,0
ImageSender,WAIT,4012.950486,4013.150486,0
ImageSender,WAIT,4013.150486,4013.350486,0
ImageSender,WAIT,4013.350486,4013.550486,0
ImageSender,WAIT,4013.550486,4013.750486,0
ImageSender,WAIT,4013.750486,4013.950486,0
ImageSender,WAIT,4013.950486,4014.150486,0
ImageSender,WAIT,4014.150486,4014.350486,0
ImageSender,WAIT,4014.350486,4014.550486,0
ImageSender,WAIT,4014.550486,4014.750486,0
ImageSender,WAIT,4014.750486,4014.950486,0
ImageSender,WAIT,4014.950486,4015.150486,0
ImageSender,WAIT,4015.150486,4015.350486,0
ImageSender,WAIT,4015.350486,4015.550486,0
ImageSender,WAIT,4015.550486,4015.750486,0
ImageSender,WAIT,4015.750486,4015.950486,0
ImageSender,WAIT,4015.950486,4016.150486,0
ImageSender,WAIT,4016.150486,4016.350486,0
ImageSender,WAIT,4016.350486,4016.550486,0
ImageSender,WAIT,4016.550486,4016.750486,0
ImageSender,WAIT,4016.750486,4016.950486,0
ImageSender,WAIT,4016.950486,4017.150486,0
ImageSender,WAIT,4017.150486,4017.350486,0
ImageSender,WAIT,4017.350486,4017.550486,0
ImageSender,WAIT,4017.550486,4017.750486,0
ImageSender,WAIT,4017.750486,4017.950486,0
ImageSender,WAIT,4017.950486,4018.150486,0
ImageSender,WAIT,4018.150486,4018.350486,0
ImageSender,WAIT,4018.350486,4018.550486,0
ImageSender,RUN,4004.750486,4004.755791,5.305000
ImageSender,RUN,4004.755806,4004.755982,0.176000
ImageSender,RUN,4004.755999,4004.768721,12.722000
ImageSender,RUN,4004.768798,4004.771717,2.919000
ImageSender,RUN,4004.771739,4004.775593,3.854000
ImageSender,RUN,4004.775612,4004.776532,0.920000
ImageSender,RUN,4004.776725,4004.780717,3.992000
ImageSender,RUN,4004.780725,4004.781520,0.795000
ImageSender,RUN,4004.782426,4004.783720,1.294000
ImageSender,RUN,4004.783743,4004.793703,9.960000
ImageSender,RUN,4004.793720,4004.793892,0.172000
ImageSender,RUN,4004.793912,4004.802713,8.801000
ImageSender,RUN,4004.802800,4004.810588,7.788000
ImageSender,RUN,4004.810608,4004.810719,0.111000
ImageSender,RUN,4004.810738,4004.844904,34.166000
ImageSender,RUN,4004.844938,4004.845370,0.432000
ImageSender,RUN,4004.845477,4004.846692,1.215000
ImageSender,RUN,4004.846711,4004.846909,0.198000
ImageSender,RUN,4004.847166,4004.847320,0.154000
ImageSender,RUN,4004.847339,4004.848972,1.633000
ImageSender,RUN,4004.849224,4004.849289,0.065000
ImageSender,RUN,4018.709799,4018.709845,0.046000
ImageSender,PREEMPT,4004.755791,4004.755806,0.015000
ImageSender,PREEMPT,4004.755982,4004.755999,0.017000
ImageSender,PREEMPT,4004.768721,4004.768798,0.077000
ImageSender,PREEMPT,4004.771717,4004.771739,0.022000
ImageSender,PREEMPT,4004.775593,4004.775612,0.019000
ImageSender,PREEMPT,4004.776532,4004.776725,0.193000
ImageSender,PREEMPT,4004.780717,4004.780725,0.008000
ImageSender,PREEMPT,4004.781520,4004.782426,0.906000
ImageSender,PREEMPT,4004.783720,4004.783743,0.023000
ImageSender,PREEMPT,4004.793703,4004.793720,0.017000
ImageSender,PREEMPT,4004.793892,4004.793912,0.020000
ImageSender,PREEMPT,4004.802713,4004.802800,0.087000
ImageSender,PREEMPT,4004.810588,4004.810608,0.020000
ImageSender,PREEMPT,4004.810719,4004.810738,0.019000
ImageSender,PREEMPT,4004.844904,4004.844938,0.034000
ImageSender,PREEMPT,4004.845370,4004.845477,0.107000
ImageSender,PREEMPT,4004.846692,4004.846711,0.019000
ImageSender,PREEMPT,4004.846909,4004.847166,0.257000
ImageSender,PREEMPT,4004.847320,4004.847339,0.019000
ImageSender,PREEMPT,4004.848972,4004.849224,0.252000
ImageSender,SLEEP,4004.849289,4018.709799,13860.510000
ImageSender,STAT_PERIOD,0,0,200.000000
ImageSender,STAT_MEASURED,0,0,-1.000000
ImageSender,STAT_DEADLINE,0,0,200.000000
ImageSender,STAT_WCET,0,0,34.166000
ImageSender,STAT_ACET,0,0,4.396273
ImageSender,STAT_JITTER,0,0,-1.000000
ImageSender,STAT_UTIL,0,0,0.006925
ImageSender,STAT_NRUN,0,0,22
ImageSender,STAT_NPRE,0,0,20
ImageSender,STAT_NSLP,0,0,1
ImageSender,STAT_NMISS,0,0,0
ImageSender,STAT_WSLACK,0,0,-999999.000000
ImageSender,STAT_HGAPS,0,0,1.000000
ImageSender,STAT_NGAPS,0,0,21
ImageSender,STAT_MAXGAP,0,0,13860.510000
ImageSender,STAT_RUNTOT,0,0,96.718000
ImageSender,STAT_PRETOT,0,0,2.131000
ImageSender,STAT_SLPTOT,0,0,13860.510000
ImageSender,WAIT,4004.839020,4005.039020,0
ImageSender,WAIT,4005.039020,4005.239020,0
ImageSender,WAIT,4005.239020,4005.439020,0
ImageSender,WAIT,4005.439020,4005.639020,0
ImageSender,WAIT,4005.639020,4005.839020,0
ImageSender,WAIT,4005.839020,4006.039020,0
ImageSender,WAIT,4006.039020,4006.239020,0
ImageSender,WAIT,4006.239020,4006.439020,0
ImageSender,WAIT,4006.439020,4006.639020,0
ImageSender,WAIT,4006.639020,4006.839020,0
ImageSender,WAIT,4006.839020,4007.039020,0
ImageSender,WAIT,4007.039020,4007.239020,0
ImageSender,WAIT,4007.239020,4007.439020,0
ImageSender,WAIT,4007.439020,4007.639020,0
ImageSender,WAIT,4007.639020,4007.839020,0
ImageSender,WAIT,4007.839020,4008.039020,0
ImageSender,WAIT,4008.039020,4008.239020,0
ImageSender,WAIT,4008.239020,4008.439020,0
ImageSender,WAIT,4008.439020,4008.639020,0
ImageSender,WAIT,4008.639020,4008.839020,0
ImageSender,WAIT,4008.839020,4009.039020,0
ImageSender,WAIT,4009.039020,4009.239020,0
ImageSender,WAIT,4009.239020,4009.439020,0
ImageSender,WAIT,4009.439020,4009.639020,0
ImageSender,WAIT,4009.639020,4009.839020,0
ImageSender,WAIT,4009.839020,4010.039020,0
ImageSender,WAIT,4010.039020,4010.239020,0
ImageSender,WAIT,4010.239020,4010.439020,0
ImageSender,WAIT,4010.439020,4010.639020,0
ImageSender,WAIT,4010.639020,4010.839020,0
ImageSender,WAIT,4010.839020,4011.039020,0
ImageSender,WAIT,4011.039020,4011.239020,0
ImageSender,WAIT,4011.239020,4011.439020,0
ImageSender,WAIT,4011.439020,4011.639020,0
ImageSender,WAIT,4011.639020,4011.839020,0
ImageSender,WAIT,4011.839020,4012.039020,0
ImageSender,WAIT,4012.039020,4012.239020,0
ImageSender,WAIT,4012.239020,4012.439020,0
ImageSender,WAIT,4012.439020,4012.639020,0
ImageSender,WAIT,4012.639020,4012.839020,0
ImageSender,WAIT,4012.839020,4013.039020,0
ImageSender,WAIT,4013.039020,4013.239020,0
ImageSender,WAIT,4013.239020,4013.439020,0
ImageSender,WAIT,4013.439020,4013.639020,0
ImageSender,WAIT,4013.639020,4013.839020,0
ImageSender,WAIT,4013.839020,4014.039020,0
ImageSender,WAIT,4014.039020,4014.239020,0
ImageSender,WAIT,4014.239020,4014.439020,0
ImageSender,WAIT,4014.439020,4014.639020,0
ImageSender,WAIT,4014.639020,4014.839020,0
ImageSender,WAIT,4014.839020,4015.039020,0
ImageSender,WAIT,4015.039020,4015.239020,0
ImageSender,WAIT,4015.239020,4015.439020,0
ImageSender,WAIT,4015.439020,4015.639020,0
ImageSender,WAIT,4015.639020,4015.839020,0
ImageSender,WAIT,4015.839020,4016.039020,0
ImageSender,WAIT,4016.039020,4016.239020,0
ImageSender,WAIT,4016.239020,4016.439020,0
ImageSender,WAIT,4016.439020,4016.639020,0
ImageSender,WAIT,4016.639020,4016.839020,0
ImageSender,WAIT,4016.839020,4017.039020,0
ImageSender,WAIT,4017.039020,4017.239020,0
ImageSender,WAIT,4017.239020,4017.439020,0
ImageSender,WAIT,4017.439020,4017.639020,0
ImageSender,WAIT,4017.639020,4017.839020,0
ImageSender,WAIT,4017.839020,4018.039020,0
ImageSender,WAIT,4018.039020,4018.239020,0
ImageSender,WAIT,4018.239020,4018.439020,0
ImageSender,WAIT,4018.439020,4018.639020,0
ImageSender,RUN,4004.839020,4004.839247,0.227000
ImageSender,RUN,4004.849096,4004.849234,0.138000
ImageSender,RUN,4004.849430,4004.849635,0.205000
ImageSender,RUN,4004.849822,4004.849932,0.110000
ImageSender,RUN,4004.850146,4004.853655,3.509000
ImageSender,RUN,4004.853936,4004.854036,0.100000
ImageSender,RUN,4004.854193,4004.854251,0.058000
ImageSender,RUN,4004.854362,4004.854483,0.121000
ImageSender,RUN,4004.854674,4004.854778,0.104000
ImageSender,RUN,4004.854916,4004.854953,0.037000
ImageSender,RUN,4004.855052,4004.855116,0.064000
ImageSender,RUN,4004.855254,4004.855361,0.107000
ImageSender,RUN,4004.855514,4004.855632,0.118000
ImageSender,RUN,4004.855836,4004.856111,0.275000
ImageSender,RUN,4004.856260,4004.856515,0.255000
ImageSender,RUN,4004.856630,4004.856725,0.095000
ImageSender,RUN,4004.856870,4004.856974,0.104000
ImageSender,RUN,4004.857142,4004.857252,0.110000
ImageSender,RUN,4004.857392,4004.857481,0.089000
ImageSender,RUN,4004.857712,4004.857779,0.067000
ImageSender,RUN,4005.039129,4005.039267,0.138000
ImageSender,RUN,4005.239108,4005.239259,0.151000
