task,type,start,end,duration_ms
Activity_1,RUN,15106.527929,15106.582436,54.507000
Activity_1,RUN,15106.582787,15106.684832,102.045000
Activity_1,RUN,15106.685127,15106.687445,2.318000
Activity_1,RUN,15107.529075,15107.606455,77.380000
Activity_1,RUN,15107.606692,15107.652169,45.477000
Activity_1,RUN,15107.652268,15107.652566,0.298000
Activity_1,RUN,15107.652792,15107.653045,0.253000
Activity_1,RUN,15107.653274,15107.654870,1.596000
Activity_1,RUN,15108.528502,15108.529153,0.651000
Activity_1,RUN,15108.529471,15108.529695,0.224000
Activity_1,RUN,15108.529987,15108.532328,2.341000
Activity_1,RUN,15108.532934,15108.532941,0.007000
Activity_1,RUN,15108.533017,15108.533079,0.062000
Activity_1,RUN,15108.533177,15108.533369,0.192000
Activity_1,RUN,15108.533621,15108.548540,14.919000
Activity_1,RUN,15108.548770,15108.630451,81.681000
Activity_1,RUN,15108.630699,15108.631525,0.826000
Activity_1,RUN,15108.631754,15108.632114,0.360000
Activity_1,RUN,15108.632344,15108.634698,2.354000
Activity_1,RUN,15108.635220,15108.670617,35.397000
Activity_1,RUN,15108.670841,15108.694941,24.100000
Activity_1,RUN,15109.528123,15109.552117,23.994000
Activity_1,RUN,15109.552471,15109.552917,0.446000
Activity_1,RUN,15109.553201,15109.556380,3.179000
Activity_1,RUN,15109.556628,15109.556943,0.315000
Activity_1,RUN,15109.557582,15109.557731,0.149000
Activity_1,RUN,15109.557962,15109.561209,3.247000
Activity_1,RUN,15109.561282,15109.561650,0.368000
Activity_1,RUN,15109.561880,15109.562010,0.130000
Activity_1,RUN,15109.562084,15109.562385,0.301000
Activity_1,RUN,15109.562610,15109.564934,2.324000
Activity_1,RUN,15109.565010,15109.565341,0.331000
Activity_1,RUN,15109.565576,15109.581752,16.176000
Activity_1,RUN,15109.581920,15109.654500,72.580000
Activity_1,RUN,15109.654740,15109.655529,0.789000
Activity_1,RUN,15109.655759,15109.655842,0.083000
Activity_1,RUN,15109.656652,15109.658594,1.942000
Activity_1,RUN,15109.658665,15109.658773,0.108000
Activity_1,RUN,15109.659700,15109.659823,0.123000
Activity_1,RUN,15109.660097,15109.661398,1.301000
Activity_1,RUN,15109.661475,15109.661580,0.105000
Activity_1,RUN,15109.661608,15109.661846,0.238000
Activity_1,RUN,15109.662118,15109.668593,6.475000
Activity_1,RUN,15109.668663,15109.668982,0.319000
Activity_1,RUN,15109.669211,15109.674985,5.774000
Activity_1,RUN,15109.675215,15109.696117,20.902000
Activity_1,RUN,15110.527963,15110.576110,48.147000
Activity_1,RUN,15110.576411,15110.656156,79.745000
Activity_1,PREEMPT,15106.582436,15106.582787,0.351000
Activity_1,PREEMPT,15106.684832,15106.685127,0.295000
Activity_1,SLEEP,15106.687445,15107.529075,841.630000
Activity_1,PREEMPT,15107.606455,15107.606692,0.237000
Activity_1,PREEMPT,15107.652169,15107.652268,0.099000
Activity_1,PREEMPT,15107.652566,15107.652792,0.226000
Activity_1,PREEMPT,15107.653045,15107.653274,0.229000
Activity_1,SLEEP,15107.654870,15108.528502,873.632000
Activity_1,PREEMPT,15108.529153,15108.529471,0.318000
Activity_1,PREEMPT,15108.529695,15108.529987,0.292000
Activity_1,PREEMPT,15108.532328,15108.532934,0.606000
Activity_1,PREEMPT,15108.532941,15108.533017,0.076000
Activity_1,PREEMPT,15108.533079,15108.533177,0.098000
Activity_1,PREEMPT,15108.533369,15108.533621,0.252000
Activity_1,PREEMPT,15108.548540,15108.548770,0.230000
Activity_1,PREEMPT,15108.630451,15108.630699,0.248000
Activity_1,PREEMPT,15108.631525,15108.631754,0.229000
Activity_1,PREEMPT,15108.632114,15108.632344,0.230000
Activity_1,PREEMPT,15108.634698,15108.635220,0.522000
