task,type,start,end,duration_ms
ksoftirqd/1,RUN,5103.796608,5103.796616,0.008000
ksoftirqd/1,RUN,5104.603648,5104.603668,0.020000
ksoftirqd/1,RUN,5104.797625,5104.797628,0.003000
ksoftirqd/1,RUN,5104.799616,5104.799628,0.012000
ksoftirqd/1,RUN,5104.833389,5104.833397,0.008000
ksoftirqd/1,RUN,5105.156592,5105.156603,0.011000
ksoftirqd/1,RUN,5105.180633,5105.180636,0.003000
ksoftirqd/1,RUN,5105.299589,5105.299595,0.006000
ksoftirqd/1,RUN,5105.372585,5105.372587,0.002000
ksoftirqd/1,RUN,5105.796583,5105.796592,0.009000
ksoftirqd/1,RUN,5105.954623,5105.954625,0.002000
ksoftirqd/1,RUN,5106.000639,5106.000644,0.005000
ksoftirqd/1,RUN,5106.224605,5106.224607,0.002000
ksoftirqd/1,RUN,5106.558607,5106.558611,0.004000
ksoftirqd/1,RUN,5106.587585,5106.587592,0.007000
ksoftirqd/1,RUN,5106.777592,5106.777595,0.003000
ksoftirqd/1,RUN,5107.184602,5107.184608,0.006000
ksoftirqd/1,RUN,5107.210600,5107.210602,0.002000
ksoftirqd/1,RUN,5107.240569,5107.240571,0.002000
ksoftirqd/1,RUN,5107.318631,5107.318636,0.005000
ksoftirqd/1,RUN,5107.354636,5107.354640,0.004000
ksoftirqd/1,RUN,5107.399567,5107.399571,0.004000
ksoftirqd/1,RUN,5107.442563,5107.442573,0.010000
ksoftirqd/1,RUN,5107.534609,5107.534614,0.005000
ksoftirqd/1,RUN,5107.595567,5107.595573,0.006000
ksoftirqd/1,RUN,5107.775607,5107.775612,0.005000
ksoftirqd/1,RUN,5107.886604,5107.886610,0.006000
ksoftirqd/1,RUN,5108.062560,5108.062565,0.005000
ksoftirqd/1,RUN,5108.232684,5108.232687,0.003000
ksoftirqd/1,RUN,5108.499617,5108.499620,0.003000
ksoftirqd/1,RUN,5108.700555,5108.700560,0.005000
ksoftirqd/1,RUN,5109.567601,5109.567609,0.008000
ksoftirqd/1,RUN,5109.634544,5109.634553,0.009000
ksoftirqd/1,RUN,5109.656587,5109.656593,0.006000
ksoftirqd/1,RUN,5109.663550,5109.663556,0.006000
ksoftirqd/1,RUN,5109.868593,5109.868598,0.005000
ksoftirqd/1,RUN,5109.875592,5109.875595,0.003000
ksoftirqd/1,RUN,5109.952572,5109.952580,0.008000
ksoftirqd/1,RUN,5110.020600,5110.020604,0.004000
ksoftirqd/1,RUN,5110.024597,5110.024600,0.003000
ksoftirqd/1,RUN,5110.034566,5110.034571,0.005000
ksoftirqd/1,RUN,5110.041586,5110.041590,0.004000
ksoftirqd/1,RUN,5110.071575,5110.071581,0.006000
ksoftirqd/1,RUN,5110.124564,5110.124568,0.004000
ksoftirqd/1,RUN,5110.181577,5110.181580,0.003000
ksoftirqd/1,RUN,5110.362538,5110.362542,0.004000
ksoftirqd/1,RUN,5110.498581,5110.498587,0.006000
