task,type,start,end,duration_ms
DDS_Publish,RUN,7971.588886,7971.588896,0.010000
DDS_Publish,RUN,7971.588915,7971.588988,0.073000
DDS_Publish,RUN,7971.589456,7971.626252,36.796000
DDS_Publish,RUN,7971.626549,7971.634324,7.775000
DDS_Publish,RUN,7972.088916,7972.106840,17.924000
DDS_Publish,RUN,7972.106874,7972.106969,0.095000
DDS_Publish,RUN,7972.107021,7972.107033,0.012000
DDS_Publish,RUN,7972.107071,7972.108192,1.121000
DDS_Publish,RUN,7972.108422,7972.130564,22.142000
DDS_Publish,RUN,7972.588910,7972.630156,41.246000
DDS_Publish,RUN,7973.089030,7973.130062,41.032000
DDS_Publish,RUN,7973.588898,7973.633134,44.236000
DDS_Publish,RUN,7974.088917,7974.090907,1.990000
DDS_Publish,RUN,7974.090968,7974.091093,0.125000
DDS_Publish,RUN,7974.091146,7974.091156,0.010000
DDS_Publish,RUN,7974.091200,7974.092449,1.249000
DDS_Publish,RUN,7974.092697,7974.145144,52.447000
DDS_Publish,RUN,7974.588992,7974.595813,6.821000
DDS_Publish,RUN,7974.596166,7974.645204,49.038000
DDS_Publish,RUN,7975.088883,7975.094410,5.527000
DDS_Publish,RUN,7975.094676,7975.094833,0.157000
DDS_Publish,RUN,7975.095106,7975.095508,0.402000
DDS_Publish,RUN,7975.095801,7975.107848,12.047000
DDS_Publish,RUN,7975.108090,7975.128900,20.810000
DDS_Publish,RUN,7975.129129,7975.145942,16.813000
DDS_Publish,PREEMPT,7971.588896,7971.588915,0.019000
DDS_Publish,PREEMPT,7971.588988,7971.589456,0.468000
DDS_Publish,PREEMPT,7971.626252,7971.626549,0.297000
DDS_Publish,SLEEP,7971.634324,7972.088916,454.592000
DDS_Publish,PREEMPT,7972.106840,7972.106874,0.034000
DDS_Publish,PREEMPT,7972.106969,7972.107021,0.052000
DDS_Publish,PREEMPT,7972.107033,7972.107071,0.038000
DDS_Publish,PREEMPT,7972.108192,7972.108422,0.230000
DDS_Publish,SLEEP,7972.130564,7972.588910,458.346000
DDS_Publish,SLEEP,7972.630156,7973.089030,458.874000
DDS_Publish,SLEEP,7973.130062,7973.588898,458.836000
DDS_Publish,SLEEP,7973.633134,7974.088917,455.783000
DDS_Publish,PREEMPT,7974.090907,7974.090968,0.061000
DDS_Publish,PREEMPT,7974.091093,7974.091146,0.053000
DDS_Publish,PREEMPT,7974.091156,7974.091200,0.044000
DDS_Publish,PREEMPT,7974.092449,7974.092697,0.248000
DDS_Publish,SLEEP,7974.145144,7974.588992,443.848000
DDS_Publish,PREEMPT,7974.595813,7974.596166,0.353000
DDS_Publish,SLEEP,7974.645204,7975.088883,443.679000
DDS_Publish,PREEMPT,7975.094410,7975.094676,0.266000
DDS_Publish,PREEMPT,7975.094833,7975.095106,0.273000
DDS_Publish,PREEMPT,7975.095508,7975.095801,0.293000
DDS_Publish,PREEMPT,7975.107848,7975.108090,0.242000
DDS_Publish,PREEMPT,7975.128900,7975.129129,0.229000
DDS_Publish,MARKER_PERIOD_START_DDS_Publish,7971.588933,7971.588933,0.0
DDS_Publish,MARKER_FUNCTION_START_DDS_Publish,7971.588934,7971.588934,0.0
DDS_Publish,MARKER_DDS_MSG_START_DDS_Publish,7971.634175,7971.634175,0.0
DDS_Publish,MARKER_DDS_WRITE_START,7971.634177,7971.634177,0.0
DDS_Publish,MARKER_DDS_WRITE_END,7971.634292,7971.634292,0.0
DDS_Publish,MARKER_DDS_MSG_END_DDS_Publish,7971.634292,7971.634292,0.0
DDS_Publish,MARKER_FUNCTION_END_DDS_Publish,7971.634312,7971.634312,0.0
DDS_Publish,MARKER_SLEEP_START_DDS_Publish,7971.634318,7971.634318,0.0
DDS_Publish,MARKER_PERIOD_END_DDS_Publish,7972.088922,7972.088922,0.0
DDS_Publish,MARKER_PERIOD_START_DDS_Publish,7972.088923,7972.088923,0.0
DDS_Publish,MARKER_FUNCTION_START_DDS_Publish,7972.088924,7972.088924,0.0
DDS_Publish,MARKER_DDS_MSG_START_DDS_Publish,7972.130508,7972.130508,0.0
DDS_Publish,MARKER_DDS_WRITE_START,7972.130509,7972.130509,0.0
DDS_Publish,MARKER_DDS_WRITE_END,7972.130543,7972.130543,0.0
DDS_Publish,MARKER_DDS_MSG_END_DDS_Publish,7972.130544,7972.130544,0.0
DDS_Publish,MARKER_FUNCTION_END_DDS_Publish,7972.130556,7972.130556,0.0
DDS_Publish,MARKER_SLEEP_START_DDS_Publish,7972.130561,7972.130561,0.0
DDS_Publish,MARKER_PERIOD_END_DDS_Publish,7972.588916,7972.588916,0.0
DDS_Publish,MARKER_PERIOD_START_DDS_Publish,7972.588917,7972.588917,0.0
DDS_Publish,MARKER_FUNCTION_START_DDS_Publish,7972.588917,7972.588917,0.0
DDS_Publish,MARKER_DDS_MSG_START_DDS_Publish,7972.630075,7972.630075,0.0
DDS_Publish,MARKER_DDS_WRITE_START,7972.630076,7972.630076,0.0
DDS_Publish,MARKER_DDS_WRITE_END,7972.630133,7972.630133,0.0
DDS_Publish,MARKER_DDS_MSG_END_DDS_Publish,7972.630134,7972.630134,0.0
DDS_Publish,MARKER_FUNCTION_END_DDS_Publish,7972.630147,7972.630147,0.0
DDS_Publish,MARKER_SLEEP_START_DDS_Publish,7972.630153,7972.630153,0.0
DDS_Publish,MARKER_PERIOD_END_DDS_Publish,7973.089038,7973.089038,0.0
DDS_Publish,MARKER_PERIOD_START_DDS_Publish,7973.089039,7973.089039,0.0
DDS_Publish,MARKER_FUNCTION_START_DDS_Publish,7973.089040,7973.089040,0.0
