cpus=8
          app10f-25503 [002]  7767.712323: sched_switch:         trace-cmd:25503 [120] D ==> swapper/2:0 [120]
          <idle>-0     [002]  7767.712541: sched_wakeup:         trace-cmd:25503 [120] CPU:002
          <idle>-0     [002]  7767.712541: sched_switch:         swapper/2:0 [120] R ==> trace-cmd:25503 [120]
          <idle>-0     [000]  7767.712938: sched_switch:         swapper/0:0 [120] R ==> app10f:25504 [98]
      Activity_1-25504 [000]  7767.712972: print:                tracing_mark_write: PERIOD_START_Activity_1
      Activity_1-25504 [000]  7767.712973: print:                tracing_mark_write: FUNCTION_START_Activity_1
          <idle>-0     [001]  7767.712975: sched_switch:         swapper/1:0 [120] R ==> Activity_2:25505 [25]
          app10f-25503 [002]  7767.712977: sched_switch:         app10f:25503 [120] S ==> swapper/2:0 [120]
      Activity_2-25505 [001]  7767.712991: print:                tracing_mark_write: PERIOD_START_Activity_2
      Activity_2-25505 [001]  7767.712992: print:                tracing_mark_write: FUNCTION_START_Activity_2
          <idle>-0     [006]  7767.715358: sched_wakeup:         rcu_preempt:15 [120] CPU:006
          <idle>-0     [006]  7767.715376: sched_switch:         swapper/6:0 [120] R ==> rcu_preempt:15 [120]
     rcu_preempt-15    [006]  7767.715379: sched_switch:         rcu_preempt:15 [120] I ==> swapper/6:0 [120]
          <idle>-0     [005]  7767.715666: sched_wakeup:         VizCompositorTh:6642 [120] CPU:005
          <idle>-0     [005]  7767.715668: sched_switch:         swapper/5:0 [120] R ==> VizCompositorTh:6642 [120]
 VizCompositorTh-6642  [005]  7767.715705: sched_switch:         VizCompositorTh:6642 [120] S ==> swapper/5:0 [120]
          <idle>-0     [002]  7767.716975: sched_wakeup:         libuv-worker:6670 [120] CPU:002
          <idle>-0     [002]  7767.716979: sched_switch:         swapper/2:0 [120] R ==> libuv-worker:6670 [120]
    libuv-worker-6670  [002]  7767.716991: sched_switch:         libuv-worker:6670 [120] S ==> swapper/2:0 [120]
          <idle>-0     [003]  7767.717347: sched_wakeup:         rcu_tasks_trace:67 [120] CPU:003
          <idle>-0     [003]  7767.717357: sched_switch:         swapper/3:0 [120] R ==> rcu_tasks_trace:67 [120]
 rcu_tasks_trace-67    [003]  7767.717370: sched_switch:         rcu_tasks_trace:67 [120] D ==> swapper/3:0 [120]
          <idle>-0     [006]  7767.719350: sched_wakeup:         rcu_preempt:15 [120] CPU:006
          <idle>-0     [006]  7767.719354: sched_switch:         swapper/6:0 [120] R ==> rcu_preempt:15 [120]
     rcu_preempt-15    [006]  7767.719364: sched_switch:         rcu_preempt:15 [120] I ==> swapper/6:0 [120]
          <idle>-0     [006]  7767.723351: sched_wakeup:         rcu_preempt:15 [120] CPU:006
          <idle>-0     [006]  7767.723356: sched_switch:         swapper/6:0 [120] R ==> rcu_preempt:15 [120]
     rcu_preempt-15    [006]  7767.723373: sched_switch:         rcu_preempt:15 [120] I ==> swapper/6:0 [120]
          <idle>-0     [003]  7767.724362: sched_wakeup:         kworker/3:0:17171 [120] CPU:003
          <idle>-0     [003]  7767.724372: sched_wakeup:         ksoftirqd/3:36 [120] CPU:003
          <idle>-0     [003]  7767.724373: sched_switch:         swapper/3:0 [120] R ==> ksoftirqd/3:36 [120]
     ksoftirqd/3-36    [003]  7767.724376: sched_switch:         ksoftirqd/3:36 [120] S ==> kworker/3:0:17171 [120]
     kworker/3:0-17171 [003]  7767.724404: sched_switch:         kworker/3:0:17171 [120] I ==> swapper/3:0 [120]
          <idle>-0     [003]  7767.725438: sched_wakeup:         libuv-worker:6843 [120] CPU:003
          <idle>-0     [003]  7767.725438: sched_switch:         swapper/3:0 [120] R ==> libuv-worker:6843 [120]
          <idle>-0     [007]  7767.725487: sched_wakeup:         gitkraken:6678 [120] CPU:007
    libuv-worker-6843  [003]  7767.725488: sched_switch:         libuv-worker:6843 [120] S ==> swapper/3:0 [120]
          <idle>-0     [007]  7767.725488: sched_switch:         swapper/7:0 [120] R ==> gitkraken:6678 [120]
       gitkraken-6678  [007]  7767.725506: sched_switch:         gitkraken:6678 [120] S ==> swapper/7:0 [120]
          <idle>-0     [004]  7767.725509: sched_wakeup:         gitkraken:6668 [120] CPU:004
          <idle>-0     [004]  7767.725511: sched_switch:         swapper/4:0 [120] R ==> gitkraken:6668 [120]
       gitkraken-6668  [004]  7767.725930: sched_wakeup:         kworker/4:1:19716 [120] CPU:004
          <idle>-0     [005]  7767.725938: sched_wakeup:         gnome-shell:2928 [120] CPU:005
          <idle>-0     [005]  7767.725940: sched_switch:         swapper/5:0 [120] R ==> gnome-shell:2928 [120]
     gnome-shell-2928  [005]  7767.725982: sched_switch:         gnome-shell:2928 [120] S ==> swapper/5:0 [120]
          <idle>-0     [003]  7767.726053: sched_wakeup:         gnome-shell:2882 [120] CPU:003
          <idle>-0     [003]  7767.726055: sched_switch:         swapper/3:0 [120] R ==> gnome-shell:2882 [120]
          <idle>-0     [002]  7767.726271: sched_wakeup:         gdbus:2900 [120] CPU:002
          <idle>-0     [002]  7767.726276: sched_switch:         swapper/2:0 [120] R ==> gdbus:2900 [120]
     gnome-shell-2882  [003]  7767.726282: sched_wakeup:         migration/4:41 [0] CPU:004
     gnome-shell-2882  [003]  7767.726284: sched_switch:         gnome-shell:2882 [120] S ==> swapper/3:0 [120]
       gitkraken-6668  [004]  7767.726285: sched_switch:         gitkraken:6668 [120] R ==> migration/4:41 [0]
     migration/4-41    [004]  7767.726293: sched_switch:         migration/4:41 [0] S ==> kworker/4:1:19716 [120]
          <idle>-0     [003]  7767.726293: sched_switch:         swapper/3:0 [120] R ==> gitkraken:6668 [120]
     kworker/4:1-19716 [004]  7767.726302: sched_switch:         kworker/4:1:19716 [120] I ==> swapper/4:0 [120]
          <idle>-0     [007]  7767.726321: sched_wakeup:         gdbus:3200 [120] CPU:007
          <idle>-0     [007]  7767.726322: sched_switch:         swapper/7:0 [120] R ==> gdbus:3200 [120]
           gdbus-2900  [002]  7767.726331: sched_switch:         gdbus:2900 [120] S ==> swapper/2:0 [120]
          <idle>-0     [006]  7767.726443: sched_wakeup:         ibus-daemon:3038 [120] CPU:006
          <idle>-0     [006]  7767.726444: sched_switch:         swapper/6:0 [120] R ==> ibus-daemon:3038 [120]
           gdbus-3200  [007]  7767.726456: sched_switch:         gdbus:3200 [120] S ==> swapper/7:0 [120]
          <idle>-0     [007]  7767.726459: sched_wakeup:         gdbus:3200 [120] CPU:007
          <idle>-0     [007]  7767.726460: sched_switch:         swapper/7:0 [120] R ==> gdbus:3200 [120]
           gdbus-3200  [007]  7767.726481: sched_switch:         gdbus:3200 [120] S ==> swapper/7:0 [120]
          <idle>-0     [007]  7767.726512: sched_wakeup:         gdbus:3200 [120] CPU:007
          <idle>-0     [007]  7767.726512: sched_switch:         swapper/7:0 [120] R ==> gdbus:3200 [120]
     ibus-daemon-3038  [006]  7767.726514: sched_switch:         ibus-daemon:3038 [120] S ==> swapper/6:0 [120]
          <idle>-0     [006]  7767.726525: sched_wakeup:         ibus-daemon:3038 [120] CPU:006
          <idle>-0     [006]  7767.726525: sched_switch:         swapper/6:0 [120] R ==> ibus-daemon:3038 [120]
     ibus-daemon-3038  [006]  7767.726529: sched_switch:         ibus-daemon:3038 [120] S ==> swapper/6:0 [120]
          <idle>-0     [002]  7767.726555: sched_wakeup:         gdbus:3373 [120] CPU:002
          <idle>-0     [002]  7767.726556: sched_switch:         swapper/2:0 [120] R ==> gdbus:3373 [120]
           gdbus-3200  [007]  7767.726566: sched_switch:         gdbus:3200 [120] S ==> swapper/7:0 [120]
          <idle>-0     [006]  7767.726623: sched_wakeup:         ibus-engine-sim:3355 [120] CPU:006
          <idle>-0     [006]  7767.726624: sched_switch:         swapper/6:0 [120] R ==> ibus-engine-sim:3355 [120]
           gdbus-3373  [002]  7767.726633: sched_switch:         gdbus:3373 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002]  7767.726660: sched_wakeup:         gdbus:3373 [120] CPU:002
          <idle>-0     [002]  7767.726661: sched_switch:         swapper/2:0 [120] R ==> gdbus:3373 [120]
 ibus-engine-sim-3355  [006]  7767.726665: sched_switch:         ibus-engine-sim:3355 [120] S ==> swapper/6:0 [120]
          <idle>-0     [007]  7767.726672: sched_wakeup:         gdbus:3200 [120] CPU:007
          <idle>-0     [007]  7767.726673: sched_switch:         swapper/7:0 [120] R ==> gdbus:3200 [120]
           gdbus-3373  [002]  7767.726673: sched_switch:         gdbus:3373 [120] S ==> swapper/2:0 [120]
          <idle>-0     [006]  7767.726724: sched_wakeup:         ibus-daemon:3038 [120] CPU:006
          <idle>-0     [006]  7767.726724: sched_switch:         swapper/6:0 [120] R ==> ibus-daemon:3038 [120]
           gdbus-3200  [007]  7767.726743: sched_switch:         gdbus:3200 [120] S ==> swapper/7:0 [120]
          <idle>-0     [007]  7767.726746: sched_wakeup:         gdbus:3200 [120] CPU:007
          <idle>-0     [007]  7767.726747: sched_switch:         swapper/7:0 [120] R ==> gdbus:3200 [120]
     ibus-daemon-3038  [006]  7767.726754: sched_switch:         ibus-daemon:3038 [120] S ==> swapper/6:0 [120]
          <idle>-0     [006]  7767.726756: sched_wakeup:         ibus-daemon:3038 [120] CPU:006
          <idle>-0     [006]  7767.726757: sched_switch:         swapper/6:0 [120] R ==> ibus-daemon:3038 [120]
     ibus-daemon-3038  [006]  7767.726760: sched_switch:         ibus-daemon:3038 [120] S ==> swapper/6:0 [120]
          <idle>-0     [002]  7767.726776: sched_wakeup:         gdbus:2900 [120] CPU:002
          <idle>-0     [002]  7767.726777: sched_switch:         swapper/2:0 [120] R ==> gdbus:2900 [120]
           gdbus-3200  [007]  7767.726787: sched_switch:         gdbus:3200 [120] S ==> swapper/7:0 [120]
          <idle>-0     [005]  7767.726828: sched_wakeup:         gnome-shell:2882 [120] CPU:005
