task,type,start,end,duration_ms
Activity_1,RUN,5269.070981,5269.070988,0.007000
Activity_1,RUN,5269.070990,5269.070997,0.007000
Activity_1,RUN,5269.071001,5269.071005,0.004000
Activity_1,RUN,5269.071008,5269.132115,61.107000
Activity_1,RUN,5269.132406,5269.132934,0.528000
Activity_1,RUN,5269.133166,5269.137481,4.315000
Activity_1,RUN,5269.137713,5269.138148,0.435000
Activity_1,RUN,5269.138408,5269.138500,0.092000
Activity_1,RUN,5269.138576,5269.138897,0.321000
Activity_1,RUN,5269.139134,5269.152591,13.457000
Activity_1,RUN,5269.152821,5269.210246,57.425000
Activity_1,RUN,5271.071162,5271.072627,1.465000
Activity_1,RUN,5271.072704,5271.073037,0.333000
Activity_1,RUN,5271.073261,5271.073626,0.365000
Activity_1,RUN,5271.073861,5271.074241,0.380000
Activity_1,RUN,5271.074847,5271.074858,0.011000
Activity_1,RUN,5271.074929,5271.075266,0.337000
Activity_1,RUN,5271.075498,5271.075961,0.463000
Activity_1,RUN,5271.076029,5271.077737,1.708000
Activity_1,RUN,5271.078244,5271.093276,15.032000
Activity_1,RUN,5271.093509,5271.119255,25.746000
Activity_1,RUN,5271.119325,5271.119657,0.332000
Activity_1,RUN,5271.119885,5271.151006,31.121000
Activity_1,RUN,5271.151249,5271.151680,0.431000
Activity_1,RUN,5271.152184,5271.152397,0.213000
Activity_1,RUN,5271.152418,5271.152468,0.050000
Activity_1,RUN,5271.152496,5271.152829,0.333000
Activity_1,RUN,5271.153102,5271.172959,19.857000
Activity_1,RUN,5271.173196,5271.180136,6.940000
Activity_1,RUN,5271.180418,5271.213420,33.002000
Activity_1,RUN,5271.239763,5271.239773,0.010000
Activity_1,RUN,5271.239775,5271.239812,0.037000
Activity_1,PREEMPT,5269.070988,5269.070990,0.002000
Activity_1,PREEMPT,5269.070997,5269.071001,0.004000
Activity_1,SLEEP,5269.071005,5269.071008,0.003000
Activity_1,PREEMPT,5269.132115,5269.132406,0.291000
Activity_1,PREEMPT,5269.132934,5269.133166,0.232000
Activity_1,PREEMPT,5269.137481,5269.137713,0.232000
Activity_1,PREEMPT,5269.138148,5269.138408,0.260000
Activity_1,PREEMPT,5269.138500,5269.138576,0.076000
Activity_1,PREEMPT,5269.138897,5269.139134,0.237000
Activity_1,PREEMPT,5269.152591,5269.152821,0.230000
Activity_1,SLEEP,5269.210246,5271.071162,1860.916000
Activity_1,PREEMPT,5271.072627,5271.072704,0.077000
Activity_1,PREEMPT,5271.073037,5271.073261,0.224000
Activity_1,PREEMPT,5271.073626,5271.073861,0.235000
Activity_1,PREEMPT,5271.074241,5271.074847,0.606000
Activity_1,PREEMPT,5271.074858,5271.074929,0.071000
Activity_1,PREEMPT,5271.075266,5271.075498,0.232000
Activity_1,PREEMPT,5271.075961,5271.076029,0.068000
Activity_1,PREEMPT,5271.077737,5271.078244,0.507000
Activity_1,PREEMPT,5271.093276,5271.093509,0.233000
Activity_1,PREEMPT,5271.119255,5271.119325,0.070000
Activity_1,PREEMPT,5271.119657,5271.119885,0.228000
Activity_1,PREEMPT,5271.151006,5271.151249,0.243000
Activity_1,PREEMPT,5271.151680,5271.152184,0.504000
Activity_1,PREEMPT,5271.152397,5271.152418,0.021000
Activity_1,PREEMPT,5271.152468,5271.152496,0.028000
Activity_1,PREEMPT,5271.152829,5271.153102,0.273000
Activity_1,PREEMPT,5271.172959,5271.173196,0.237000
Activity_1,PREEMPT,5271.180136,5271.180418,0.282000
Activity_1,SLEEP,5271.213420,5271.239763,26.343000
Activity_1,SLEEP,5271.239773,5271.239775,0.002000
Activity_1,MARKER_PERIOD_START_Activity_1,5269.071029,5269.071029,0.0
Activity_1,MARKER_FUNCTION_START_Activity_1,5269.071030,5269.071030,0.0
Activity_1,MARKER_FUNCTION_END_Activity_1,5269.210222,5269.210222,0.0
Activity_1,MARKER_SLEEP_START_Activity_1,5269.210243,5269.210243,0.0
Activity_1,MARKER_PERIOD_END_Activity_1,5271.071172,5271.071172,0.0
Activity_1,MARKER_PERIOD_START_Activity_1,5271.071174,5271.071174,0.0
Activity_1,MARKER_FUNCTION_START_Activity_1,5271.071174,5271.071174,0.0
