task,type,start,end,duration_ms
Activity_1,RUN,5593.711504,5593.711509,0.005000
Activity_1,RUN,5593.711523,5593.711587,0.064000
Activity_1,RUN,5593.818590,5593.847948,29.358000
Activity_1,RUN,5593.848180,5593.898279,50.099000
Activity_1,RUN,5594.411734,5594.461614,49.880000
Activity_1,RUN,5594.567825,5594.572479,4.654000
Activity_1,RUN,5594.572514,5594.572542,0.028000
Activity_1,RUN,5594.572579,5594.572741,0.162000
Activity_1,RUN,5594.572789,5594.572799,0.010000
Activity_1,RUN,5594.572828,5594.572858,0.030000
Activity_1,RUN,5594.572889,5594.572979,0.090000
Activity_1,RUN,5594.573018,5594.573564,0.546000
Activity_1,RUN,5594.573652,5594.612619,38.967000
Activity_1,RUN,5595.111756,5595.128232,16.476000
Activity_1,RUN,5595.128279,5595.153776,25.497000
Activity_1,RUN,5595.153815,5595.179131,25.316000
Activity_1,RUN,5595.179191,5595.184000,4.809000
Activity_1,RUN,5595.184039,5595.197403,13.364000
Activity_1,RUN,5595.682478,5595.682487,0.009000
Activity_1,RUN,5595.682558,5595.682594,0.036000
Activity_1,PREEMPT,5593.711509,5593.711523,0.014000
Activity_1,PREEMPT,5593.711587,5593.818590,107.003000
Activity_1,PREEMPT,5593.847948,5593.848180,0.232000
Activity_1,SLEEP,5593.898279,5594.411734,513.455000
Activity_1,PREEMPT,5594.461614,5594.567825,106.211000
Activity_1,PREEMPT,5594.572479,5594.572514,0.035000
Activity_1,PREEMPT,5594.572542,5594.572579,0.037000
Activity_1,PREEMPT,5594.572741,5594.572789,0.048000
Activity_1,PREEMPT,5594.572799,5594.572828,0.029000
Activity_1,PREEMPT,5594.572858,5594.572889,0.031000
Activity_1,PREEMPT,5594.572979,5594.573018,0.039000
Activity_1,PREEMPT,5594.573564,5594.573652,0.088000
Activity_1,SLEEP,5594.612619,5595.111756,499.137000
Activity_1,PREEMPT,5595.128232,5595.128279,0.047000
Activity_1,PREEMPT,5595.153776,5595.153815,0.039000
Activity_1,PREEMPT,5595.179131,5595.179191,0.060000
Activity_1,PREEMPT,5595.184000,5595.184039,0.039000
Activity_1,SLEEP,5595.197403,5595.682478,485.075000
Activity_1,PREEMPT,5595.682487,5595.682558,0.071000
Activity_1,MARKER_PERIOD_START_Activity_1,5593.711576,5593.711576,0.0
Activity_1,MARKER_FUNCTION_START_Activity_1,5593.711576,5593.711576,0.0
Activity_1,MARKER_FUNCTION_END_Activity_1,5593.898277,5593.898277,0.0
Activity_1,MARKER_SLEEP_START_Activity_1,5593.898278,5593.898278,0.0
Activity_1,MARKER_PERIOD_END_Activity_1,5594.411759,5594.411759,0.0
Activity_1,MARKER_PERIOD_START_Activity_1,5594.411764,5594.411764,0.0
Activity_1,MARKER_FUNCTION_START_Activity_1,5594.411765,5594.411765,0.0
Activity_1,MARKER_FUNCTION_END_Activity_1,5594.612617,5594.612617,0.0
Activity_1,MARKER_SLEEP_START_Activity_1,5594.612618,5594.612618,0.0
Activity_1,MARKER_PERIOD_END_Activity_1,5595.111778,5595.111778,0.0
Activity_1,MARKER_PERIOD_START_Activity_1,5595.111782,5595.111782,0.0
Activity_1,MARKER_FUNCTION_START_Activity_1,5595.111783,5595.111783,0.0
Activity_1,MARKER_FUNCTION_END_Activity_1,5595.197401,5595.197401,0.0
Activity_1,MARKER_SLEEP_START_Activity_1,5595.197401,5595.197401,0.0
Activity_1,STAT_PERIOD,0,0,700.000000
Activity_1,STAT_MEASURED,0,0,700.188000
Activity_1,STAT_DEADLINE,0,0,700.000000
Activity_1,STAT_WCET,0,0,94.359000
Activity_1,STAT_ACET,0,0,86.926000
Activity_1,STAT_JITTER,0,0,0.085000
Activity_1,STAT_UTIL,0,0,0.185286
Activity_1,STAT_NRUN,0,0,20
Activity_1,STAT_NPRE,0,0,16
Activity_1,STAT_NSLP,0,0,3
Activity_1,STAT_NMISS,0,0,0
Activity_1,STAT_WSLACK,0,0,499.147000
Activity_1,STAT_HGAPS,0,0,1.000000
Activity_1,STAT_NGAPS,0,0,19
Activity_1,STAT_MAXGAP,0,0,513.455000
Activity_1,STAT_RUNTOT,0,0,259.400000
Activity_1,STAT_PRETOT,0,0,214.023000
Activity_1,STAT_SLPTOT,0,0,1497.667000
Activity_2,RUN,5593.711576,5593.711579,0.003000
Activity_2,RUN,5593.711587,5593.818297,106.710000
Activity_2,RUN,5593.961750,5594.081583,119.833000
Activity_2,RUN,5594.211618,5594.332840,121.222000
Activity_2,RUN,5594.461614,5594.567533,105.919000
Activity_2,RUN,5594.711627,5594.819456,107.829000
Activity_2,RUN,5594.961779,5595.082931,121.152000
Activity_2,RUN,5595.211808,5595.318009,106.201000
Activity_2,RUN,5595.461799,5595.584244,122.445000
Activity_2,RUN,5595.682487,5595.682558,0.071000
Activity_2,PREEMPT,5593.711579,5593.711587,0.008000
Activity_2,SLEEP,5593.818297,5593.961750,143.453000
Activity_2,SLEEP,5594.081583,5594.211618,130.035000
Activity_2,SLEEP,5594.332840,5594.461614,128.774000
Activity_2,SLEEP,5594.567533,5594.711627,144.094000
Activity_2,SLEEP,5594.819456,5594.961779,142.323000
Activity_2,SLEEP,5595.082931,5595.211808,128.877000
Activity_2,SLEEP,5595.318009,5595.461799,143.790000
Activity_2,SLEEP,5595.584244,5595.682487,98.243000
Activity_2,MARKER_PERIOD_START_Activity_2,5593.711591,5593.711591,0.0
Activity_2,MARKER_FUNCTION_START_Activity_2,5593.711591,5593.711591,0.0
Activity_2,MARKER_FUNCTION_END_Activity_2,5593.818294,5593.818294,0.0
Activity_2,MARKER_SLEEP_START_Activity_2,5593.818295,5593.818295,0.0
Activity_2,MARKER_PERIOD_END_Activity_2,5593.961777,5593.961777,0.0
Activity_2,MARKER_PERIOD_START_Activity_2,5593.961782,5593.961782,0.0
Activity_2,MARKER_FUNCTION_START_Activity_2,5593.961783,5593.961783,0.0
Activity_2,MARKER_FUNCTION_END_Activity_2,5594.081580,5594.081580,0.0
Activity_2,MARKER_SLEEP_START_Activity_2,5594.081580,5594.081580,0.0
Activity_2,MARKER_PERIOD_END_Activity_2,5594.211637,5594.211637,0.0
Activity_2,MARKER_PERIOD_START_Activity_2,5594.211642,5594.211642,0.0
Activity_2,MARKER_FUNCTION_START_Activity_2,5594.211643,5594.211643,0.0
Activity_2,MARKER_FUNCTION_END_Activity_2,5594.332837,5594.332837,0.0
Activity_2,MARKER_SLEEP_START_Activity_2,5594.332837,5594.332837,0.0
Activity_2,MARKER_PERIOD_END_Activity_2,5594.461616,5594.461616,0.0
Activity_2,MARKER_PERIOD_START_Activity_2,5594.461617,5594.461617,0.0
Activity_2,MARKER_FUNCTION_START_Activity_2,5594.461617,5594.461617,0.0
Activity_2,MARKER_FUNCTION_END_Activity_2,5594.567530,5594.567530,0.0
Activity_2,MARKER_SLEEP_START_Activity_2,5594.567531,5594.567531,0.0
Activity_2,MARKER_PERIOD_END_Activity_2,5594.711637,5594.711637,0.0
Activity_2,MARKER_PERIOD_START_Activity_2,5594.711638,5594.711638,0.0
Activity_2,MARKER_FUNCTION_START_Activity_2,5594.711639,5594.711639,0.0
Activity_2,MARKER_FUNCTION_END_Activity_2,5594.819452,5594.819452,0.0
Activity_2,MARKER_SLEEP_START_Activity_2,5594.819453,5594.819453,0.0
Activity_2,MARKER_PERIOD_END_Activity_2,5594.961803,5594.961803,0.0
Activity_2,MARKER_PERIOD_START_Activity_2,5594.961808,5594.961808,0.0
Activity_2,MARKER_FUNCTION_START_Activity_2,5594.961809,5594.961809,0.0
Activity_2,MARKER_FUNCTION_END_Activity_2,5595.082928,5595.082928,0.0
Activity_2,MARKER_SLEEP_START_Activity_2,5595.082928,5595.082928,0.0
Activity_2,MARKER_PERIOD_END_Activity_2,5595.211840,5595.211840,0.0
Activity_2,MARKER_PERIOD_START_Activity_2,5595.211842,5595.211842,0.0
Activity_2,MARKER_FUNCTION_START_Activity_2,5595.211843,5595.211843,0.0
Activity_2,MARKER_FUNCTION_END_Activity_2,5595.318006,5595.318006,0.0
Activity_2,MARKER_SLEEP_START_Activity_2,5595.318006,5595.318006,0.0
Activity_2,MARKER_PERIOD_END_Activity_2,5595.461824,5595.461824,0.0
Activity_2,MARKER_PERIOD_START_Activity_2,5595.461829,5595.461829,0.0
Activity_2,MARKER_FUNCTION_START_Activity_2,5595.461831,5595.461831,0.0
Activity_2,MARKER_FUNCTION_END_Activity_2,5595.584241,5595.584241,0.0
Activity_2,MARKER_SLEEP_START_Activity_2,5595.584241,5595.584241,0.0
Activity_2,STAT_PERIOD,0,0,250.000000
Activity_2,STAT_MEASURED,0,0,250.021000
Activity_2,STAT_DEADLINE,0,0,250.000000
Activity_2,STAT_WCET,0,0,121.200000
Activity_2,STAT_ACET,0,0,112.695429
Activity_2,STAT_JITTER,0,0,0.106422
Activity_2,STAT_UTIL,0,0,0.520791
Activity_2,STAT_NRUN,0,0,10
Activity_2,STAT_NPRE,0,0,1
Activity_2,STAT_NSLP,0,0,8
Activity_2,STAT_NMISS,0,0,0
Activity_2,STAT_WSLACK,0,0,127.588000
Activity_2,STAT_HGAPS,0,0,1.000000
Activity_2,STAT_NGAPS,0,0,9
Activity_2,STAT_MAXGAP,0,0,144.094000
Activity_2,STAT_RUNTOT,0,0,911.385000
Activity_2,STAT_PRETOT,0,0,0.008000
Activity_2,STAT_SLPTOT,0,0,1059.589000
