task,type,start,end,duration_ms
Activity_1,RUN,5068.554915,5068.554952,0.037000
Activity_1,RUN,5068.554959,5068.554968,0.009000
Activity_1,RUN,5068.554974,5068.588951,33.977000
Activity_1,RUN,5068.589115,5068.589163,0.048000
Activity_1,RUN,5068.589317,5068.590914,1.597000
Activity_1,RUN,5068.591023,5068.645405,54.382000
Activity_1,RUN,5068.645731,5068.723528,77.797000
Activity_1,RUN,5069.555131,5069.566867,11.736000
Activity_1,RUN,5069.567195,5069.669263,102.068000
Activity_1,RUN,5069.669552,5069.671162,1.610000
Activity_1,RUN,5069.671436,5069.713635,42.199000
Activity_1,RUN,5070.554965,5070.590908,35.943000
Activity_1,RUN,5070.591202,5070.693306,102.104000
Activity_1,RUN,5070.693618,5070.716368,22.750000
Activity_1,RUN,5071.554968,5071.614926,59.958000
Activity_1,RUN,5071.615223,5071.713659,98.436000
Activity_1,RUN,5072.554952,5072.593030,38.078000
Activity_1,RUN,5072.593193,5072.593238,0.045000
Activity_1,RUN,5072.593374,5072.594996,1.622000
Activity_1,RUN,5072.595106,5072.701173,106.067000
Activity_1,SLEEP,5068.554952,5068.554959,0.007000
Activity_1,SLEEP,5068.554968,5068.554974,0.006000
Activity_1,PREEMPT,5068.588951,5068.589115,0.164000
Activity_1,PREEMPT,5068.589163,5068.589317,0.154000
Activity_1,PREEMPT,5068.590914,5068.591023,0.109000
Activity_1,PREEMPT,5068.645405,5068.645731,0.326000
Activity_1,SLEEP,5068.723528,5069.555131,831.603000
Activity_1,PREEMPT,5069.566867,5069.567195,0.328000
Activity_1,PREEMPT,5069.669263,5069.669552,0.289000
Activity_1,PREEMPT,5069.671162,5069.671436,0.274000
Activity_1,SLEEP,5069.713635,5070.554965,841.330000
Activity_1,PREEMPT,5070.590908,5070.591202,0.294000
Activity_1,PREEMPT,5070.693306,5070.693618,0.312000
Activity_1,SLEEP,5070.716368,5071.554968,838.600000
Activity_1,PREEMPT,5071.614926,5071.615223,0.297000
Activity_1,SLEEP,5071.713659,5072.554952,841.293000
Activity_1,PREEMPT,5072.593030,5072.593193,0.163000
Activity_1,PREEMPT,5072.593238,5072.593374,0.136000
Activity_1,PREEMPT,5072.594996,5072.595106,0.110000
Activity_1,MARKER_PERIOD_START_Activity_1,5068.555005,5068.555005,0.0
Activity_1,MARKER_FUNCTION_START_Activity_1,5068.555008,5068.555008,0.0
Activity_1,MARKER_FUNCTION_END_Activity_1,5068.723503,5068.723503,0.0
Activity_1,MARKER_SLEEP_START_Activity_1,5068.723521,5068.723521,0.0
Activity_1,MARKER_PERIOD_END_Activity_1,5069.555152,5069.555152,0.0
Activity_1,MARKER_PERIOD_START_Activity_1,5069.555154,5069.555154,0.0
Activity_1,MARKER_FUNCTION_START_Activity_1,5069.555155,5069.555155,0.0
Activity_1,MARKER_FUNCTION_END_Activity_1,5069.713588,5069.713588,0.0
Activity_1,MARKER_SLEEP_START_Activity_1,5069.713632,5069.713632,0.0
Activity_1,MARKER_PERIOD_END_Activity_1,5070.554981,5070.554981,0.0
Activity_1,MARKER_PERIOD_START_Activity_1,5070.554983,5070.554983,0.0
Activity_1,MARKER_FUNCTION_START_Activity_1,5070.554985,5070.554985,0.0
Activity_1,MARKER_FUNCTION_END_Activity_1,5070.716344,5070.716344,0.0
Activity_1,MARKER_SLEEP_START_Activity_1,5070.716362,5070.716362,0.0
Activity_1,MARKER_PERIOD_END_Activity_1,5071.554987,5071.554987,0.0
Activity_1,MARKER_PERIOD_START_Activity_1,5071.554990,5071.554990,0.0
Activity_1,MARKER_FUNCTION_START_Activity_1,5071.554991,5071.554991,0.0
