task,type,start,end,duration_ms
ksoftirqd/1,RUN,2186.128199,2186.128223,0.024000
ksoftirqd/1,STAT_PERIOD,0,0,0.000000
ksoftirqd/1,STAT_MEASURED,0,0,-1.000000
ksoftirqd/1,STAT_DEADLINE,0,0,0.000000
ksoftirqd/1,STAT_WCET,0,0,0.024000
ksoftirqd/1,STAT_ACET,0,0,0.024000
ksoftirqd/1,STAT_JITTER,0,0,-1.000000
ksoftirqd/1,STAT_UTIL,0,0,0.000018
ksoftirqd/1,STAT_NRUN,0,0,1
ksoftirqd/1,STAT_NPRE,0,0,0
ksoftirqd/1,STAT_NSLP,0,0,0
ksoftirqd/1,STAT_NMISS,0,0,0
ksoftirqd/1,STAT_WSLACK,0,0,-999999.000000
ksoftirqd/1,STAT_HGAPS,0,0,0.000000
ksoftirqd/1,STAT_NGAPS,0,0,0
ksoftirqd/1,STAT_MAXGAP,0,0,0.000000
ksoftirqd/1,STAT_RUNTOT,0,0,0.024000
ksoftirqd/1,STAT_PRETOT,0,0,0.000000
ksoftirqd/1,STAT_SLPTOT,0,0,0.000000
kworker/1:1H,RUN,2186.239943,2186.239957,0.014000
kworker/1:1H,RUN,2186.356581,2186.356598,0.017000
kworker/1:1H,RUN,2186.456418,2186.456435,0.017000
kworker/1:1H,RUN,2186.656400,2186.656423,0.023000
kworker/1:1H,RUN,2186.706415,2186.706434,0.019000
kworker/1:1H,RUN,2186.856386,2186.856417,0.031000
kworker/1:1H,RUN,2186.873051,2186.873067,0.016000
kworker/1:1H,RUN,2186.956452,2186.956479,0.027000
kworker/1:1H,STAT_PERIOD,0,0,0.000000
kworker/1:1H,STAT_MEASURED,0,0,-1.000000
kworker/1:1H,STAT_DEADLINE,0,0,0.000000
kworker/1:1H,STAT_WCET,0,0,0.031000
kworker/1:1H,STAT_ACET,0,0,0.020500
kworker/1:1H,STAT_JITTER,0,0,-1.000000
kworker/1:1H,STAT_UTIL,0,0,0.000123
kworker/1:1H,STAT_NRUN,0,0,8
kworker/1:1H,STAT_NPRE,0,0,0
kworker/1:1H,STAT_NSLP,0,0,0
kworker/1:1H,STAT_NMISS,0,0,0
kworker/1:1H,STAT_WSLACK,0,0,-999999.000000
kworker/1:1H,STAT_HGAPS,0,0,1.000000
kworker/1:1H,STAT_NGAPS,0,0,7
kworker/1:1H,STAT_MAXGAP,0,0,199.965000
kworker/1:1H,STAT_RUNTOT,0,0,0.164000
kworker/1:1H,STAT_PRETOT,0,0,0.000000
kworker/1:1H,STAT_SLPTOT,0,0,0.000000
kworker/1:4,RUN,2186.128185,2186.128199,0.014000
kworker/1:4,RUN,2186.128223,2186.128428,0.205000
kworker/1:4,RUN,2186.338200,2186.338207,0.007000
kworker/1:4,RUN,2186.594255,2186.594259,0.004000
kworker/1:4,RUN,2186.850176,2186.850180,0.004000
kworker/1:4,RUN,2186.850841,2186.850847,0.006000
kworker/1:4,RUN,2187.106251,2187.106273,0.022000
kworker/1:4,RUN,2187.259186,2187.259196,0.010000
kworker/1:4,RUN,2187.268162,2187.268167,0.005000
kworker/1:4,RUN,2187.272183,2187.272193,0.010000
kworker/1:4,STAT_PERIOD,0,0,0.000000
kworker/1:4,STAT_MEASURED,0,0,-1.000000
kworker/1:4,STAT_DEADLINE,0,0,0.000000
kworker/1:4,STAT_WCET,0,0,0.205000
kworker/1:4,STAT_ACET,0,0,0.028700
kworker/1:4,STAT_JITTER,0,0,-1.000000
kworker/1:4,STAT_UTIL,0,0,0.000216
kworker/1:4,STAT_NRUN,0,0,10
kworker/1:4,STAT_NPRE,0,0,0
kworker/1:4,STAT_NSLP,0,0,0
kworker/1:4,STAT_NMISS,0,0,0
kworker/1:4,STAT_WSLACK,0,0,-999999.000000
kworker/1:4,STAT_HGAPS,0,0,1.000000
kworker/1:4,STAT_NGAPS,0,0,9
kworker/1:4,STAT_MAXGAP,0,0,256.048000
kworker/1:4,STAT_RUNTOT,0,0,0.287000
kworker/1:4,STAT_PRETOT,0,0,0.000000
kworker/1:4,STAT_SLPTOT,0,0,0.000000
Ciao,RUN,2186.105078,2186.105101,0.023000
Ciao,RUN,2186.105117,2186.105127,0.010000
Ciao,RUN,2186.105141,2186.105327,0.186000
Ciao,RUN,2186.105334,2186.105352,0.018000
Ciao,RUN,2186.346230,2186.355355,9.125000
Ciao,RUN,2186.439534,2186.450366,10.832000
Ciao,RUN,2186.450438,2186.450765,0.327000
Ciao,RUN,2186.450993,2186.451270,0.277000
Ciao,RUN,2186.451496,2186.469034,17.538000
Ciao,RUN,2186.469315,2186.471116,1.801000
Ciao,RUN,2186.471346,2186.571446,100.100000
Ciao,RUN,2186.571738,2186.572329,0.591000
Ciao,RUN,2186.572560,2186.584268,11.708000
Ciao,RUN,2186.584547,2186.584980,0.433000
Ciao,RUN,2186.585224,2186.594464,9.240000
Ciao,RUN,2186.594497,2186.605350,10.853000
Ciao,RUN,2186.689773,2186.690454,0.681000
Ciao,RUN,2186.690523,2186.691351,0.828000
Ciao,RUN,2186.691576,2186.711120,19.544000
Ciao,RUN,2186.711348,2186.721240,9.892000
Ciao,RUN,2186.845975,2186.850746,4.771000
