task,type,start,end,duration_ms
DDS_Publish,RUN,1131.914596,1131.914601,0.005000
DDS_Publish,RUN,1131.997656,1132.013012,15.356000
DDS_Publish,RUN,1132.013138,1132.013586,0.448000
DDS_Publish,RUN,1132.013981,1132.014248,0.267000
DDS_Publish,RUN,1132.014645,1132.015508,0.863000
DDS_Publish,RUN,1132.016036,1132.053484,37.448000
DDS_Publish,RUN,1132.053877,1132.090140,36.263000
DDS_Publish,RUN,1132.090550,1132.113129,22.579000
DDS_Publish,RUN,1132.113255,1132.113690,0.435000
DDS_Publish,RUN,1132.114178,1132.114185,0.007000
DDS_Publish,RUN,1132.114581,1132.114937,0.356000
DDS_Publish,RUN,1132.115445,1132.128046,12.601000
DDS_Publish,RUN,1132.128048,1132.153712,25.664000
DDS_Publish,RUN,1132.154106,1132.165367,11.261000
DDS_Publish,RUN,1132.249401,1132.253509,4.108000
DDS_Publish,RUN,1132.253906,1132.290610,36.704000
DDS_Publish,RUN,1132.797934,1132.806973,9.039000
DDS_Publish,RUN,1132.807384,1132.830081,22.697000
DDS_Publish,RUN,1132.830118,1132.830144,0.026000
DDS_Publish,RUN,1132.830180,1132.830648,0.468000
DDS_Publish,RUN,1132.830950,1132.858982,28.032000
DDS_Publish,RUN,1132.859467,1132.860016,0.549000
DDS_Publish,RUN,1132.860410,1132.909347,48.937000
DDS_Publish,RUN,1132.909744,1132.915619,5.875000
DDS_Publish,RUN,1132.997644,1133.011765,14.121000
DDS_Publish,RUN,1133.012164,1133.088053,75.889000
DDS_Publish,RUN,1133.598214,1133.626151,27.937000
DDS_Publish,RUN,1133.626557,1133.665871,39.314000
DDS_Publish,RUN,1133.747194,1133.749158,1.964000
DDS_Publish,RUN,1133.749287,1133.749514,0.227000
DDS_Publish,RUN,1133.749637,1133.749682,0.045000
DDS_Publish,RUN,1133.749806,1133.749942,0.136000
DDS_Publish,RUN,1133.750075,1133.750123,0.048000
DDS_Publish,RUN,1133.750246,1133.750291,0.045000
DDS_Publish,RUN,1133.750432,1133.750608,0.176000
DDS_Publish,RUN,1133.750731,1133.750776,0.045000
DDS_Publish,RUN,1133.750909,1133.750997,0.088000
DDS_Publish,RUN,1133.751100,1133.751390,0.290000
DDS_Publish,RUN,1133.751514,1133.751560,0.046000
DDS_Publish,RUN,1133.751683,1133.751874,0.191000
DDS_Publish,RUN,1133.751998,1133.752043,0.045000
DDS_Publish,RUN,1133.752168,1133.752335,0.167000
DDS_Publish,RUN,1133.752458,1133.752504,0.046000
DDS_Publish,RUN,1133.752628,1133.752851,0.223000
DDS_Publish,RUN,1133.752991,1133.753036,0.045000
DDS_Publish,RUN,1133.753186,1133.753254,0.068000
DDS_Publish,RUN,1133.753383,1133.753427,0.044000
DDS_Publish,RUN,1133.753526,1133.753714,0.188000
DDS_Publish,RUN,1133.753841,1133.754021,0.180000
DDS_Publish,RUN,1133.754146,1133.754191,0.045000
DDS_Publish,RUN,1133.754317,1133.754458,0.141000
DDS_Publish,RUN,1133.754582,1133.754627,0.045000
DDS_Publish,RUN,1133.754768,1133.754899,0.131000
DDS_Publish,RUN,1133.755023,1133.755069,0.046000
DDS_Publish,RUN,1133.755191,1133.755443,0.252000
DDS_Publish,RUN,1133.755566,1133.755612,0.046000
DDS_Publish,RUN,1133.755752,1133.755925,0.173000
DDS_Publish,RUN,1133.756049,1133.756840,0.791000
DDS_Publish,RUN,1133.757021,1133.757386,0.365000
DDS_Publish,RUN,1133.757509,1133.757554,0.045000
DDS_Publish,RUN,1133.757678,1133.757956,0.278000
DDS_Publish,RUN,1133.758080,1133.758126,0.046000
DDS_Publish,RUN,1133.758249,1133.758548,0.299000
DDS_Publish,RUN,1133.758688,1133.758793,0.105000
DDS_Publish,RUN,1133.758916,1133.758961,0.045000
DDS_Publish,RUN,1133.759105,1133.759281,0.176000
DDS_Publish,RUN,1133.759404,1133.760442,1.038000
DDS_Publish,RUN,1133.760583,1133.760873,0.290000
DDS_Publish,RUN,1133.761013,1133.761060,0.047000
DDS_Publish,RUN,1133.761217,1133.761322,0.105000
DDS_Publish,RUN,1133.761445,1133.761490,0.045000
DDS_Publish,RUN,1133.761629,1133.761818,0.189000
DDS_Publish,RUN,1133.761941,1133.761986,0.045000
DDS_Publish,RUN,1133.762128,1133.762302,0.174000
DDS_Publish,RUN,1133.762425,1133.762470,0.045000
