task,type,start,end,duration_ms
ksoftirqd/1,RUN,18464.281548,18464.281552,0.004000
ksoftirqd/1,RUN,18464.346469,18464.346473,0.004000
ksoftirqd/1,RUN,18464.765636,18464.765643,0.007000
ksoftirqd/1,SLEEP,18464.281552,18464.346469,64.917000
ksoftirqd/1,SLEEP,18464.346473,18464.765636,419.163000
kworker/1:1H,RUN,18465.527778,18465.527805,0.027000
kworker/1:0,RUN,18464.264439,18464.264486,0.047000
kworker/1:0,RUN,18464.264570,18464.264576,0.006000
kworker/1:0,RUN,18464.475796,18464.475803,0.007000
kworker/1:0,RUN,18464.765617,18464.765636,0.019000
kworker/1:0,RUN,18465.011892,18465.011901,0.009000
kworker/1:0,RUN,18465.262631,18465.262645,0.014000
kworker/1:0,RUN,18465.350973,18465.350996,0.023000
kworker/1:0,RUN,18465.510171,18465.510177,0.006000
Activity_1,RUN,18464.143170,18464.143193,0.023000
Activity_1,RUN,18464.143209,18464.143222,0.013000
Activity_1,RUN,18464.143347,18464.395023,251.676000
Activity_1,RUN,18465.567131,18465.567199,0.068000
Activity_1,PREEMPT,18464.143193,18464.143209,0.016000
Activity_1,SLEEP,18464.143222,18464.143347,0.125000
Activity_1,SLEEP,18464.395023,18465.567131,1172.108000
Activity_1,MARKER_PERIOD_START_Activity_1,18464.143409,18464.143409,0.0
Activity_1,MARKER_FUNCTION_START_Activity_1,18464.143411,18464.143411,0.0
Activity_1,MARKER_FUNCTION_END_Activity_1,18464.394999,18464.394999,0.0
Activity_1,MARKER_SLEEP_START_Activity_1,18464.395018,18464.395018,0.0
Activity_2,RUN,18464.143495,18464.143521,0.026000
Activity_2,RUN,18464.143527,18464.264439,120.912000
Activity_2,RUN,18464.393169,18464.475796,82.627000
Activity_2,RUN,18464.643004,18464.765617,122.613000
Activity_2,RUN,18464.892521,18465.011892,119.371000
Activity_2,RUN,18465.142190,18465.262631,120.441000
Activity_2,RUN,18465.391757,18465.510171,118.414000
Activity_2,RUN,18465.567179,18465.567608,0.429000
Activity_2,SLEEP,18464.143521,18464.143527,0.006000
Activity_2,SLEEP,18464.264439,18464.393169,128.730000
Activity_2,SLEEP,18464.475796,18464.643004,167.208000
Activity_2,SLEEP,18464.765617,18464.892521,126.904000
Activity_2,SLEEP,18465.011892,18465.142190,130.298000
Activity_2,SLEEP,18465.262631,18465.391757,129.126000
Activity_2,SLEEP,18465.510171,18465.567179,57.008000
Activity_2,MARKER_PERIOD_START_Activity_2,18464.143538,18464.143538,0.0
Activity_2,MARKER_FUNCTION_START_Activity_2,18464.143541,18464.143541,0.0
Activity_2,MARKER_FUNCTION_END_Activity_2,18464.264362,18464.264362,0.0
Activity_2,MARKER_SLEEP_START_Activity_2,18464.264432,18464.264432,0.0
Activity_2,MARKER_PERIOD_END_Activity_2,18464.393182,18464.393182,0.0
Activity_2,MARKER_PERIOD_START_Activity_2,18464.393183,18464.393183,0.0
Activity_2,MARKER_FUNCTION_START_Activity_2,18464.393184,18464.393184,0.0
Activity_2,MARKER_FUNCTION_END_Activity_2,18464.475775,18464.475775,0.0
Activity_2,MARKER_SLEEP_START_Activity_2,18464.475792,18464.475792,0.0
Activity_2,MARKER_PERIOD_END_Activity_2,18464.643033,18464.643033,0.0
Activity_2,MARKER_PERIOD_START_Activity_2,18464.643036,18464.643036,0.0
Activity_2,MARKER_FUNCTION_START_Activity_2,18464.643038,18464.643038,0.0
Activity_2,MARKER_FUNCTION_END_Activity_2,18464.765590,18464.765590,0.0
Activity_2,MARKER_SLEEP_START_Activity_2,18464.765613,18464.765613,0.0
Activity_2,MARKER_PERIOD_END_Activity_2,18464.892550,18464.892550,0.0
Activity_2,MARKER_PERIOD_START_Activity_2,18464.892553,18464.892553,0.0
Activity_2,MARKER_FUNCTION_START_Activity_2,18464.892555,18464.892555,0.0
Activity_2,MARKER_FUNCTION_END_Activity_2,18465.011867,18465.011867,0.0
Activity_2,MARKER_SLEEP_START_Activity_2,18465.011888,18465.011888,0.0
Activity_2,MARKER_PERIOD_END_Activity_2,18465.142219,18465.142219,0.0
Activity_2,MARKER_PERIOD_START_Activity_2,18465.142221,18465.142221,0.0
Activity_2,MARKER_FUNCTION_START_Activity_2,18465.142223,18465.142223,0.0
Activity_2,MARKER_FUNCTION_END_Activity_2,18465.262612,18465.262612,0.0
Activity_2,MARKER_SLEEP_START_Activity_2,18465.262628,18465.262628,0.0
Activity_2,MARKER_PERIOD_END_Activity_2,18465.391813,18465.391813,0.0
Activity_2,MARKER_PERIOD_START_Activity_2,18465.391819,18465.391819,0.0
Activity_2,MARKER_FUNCTION_START_Activity_2,18465.391821,18465.391821,0.0
Activity_2,MARKER_FUNCTION_END_Activity_2,18465.510147,18465.510147,0.0
Activity_2,MARKER_SLEEP_START_Activity_2,18465.510167,18465.510167,0.0
