task,type,start,end,duration_ms
ksoftirqd/1,RUN,9301.390584,9301.390587,0.003000
ksoftirqd/1,RUN,9301.406581,9301.406583,0.002000
ksoftirqd/1,RUN,9301.418582,9301.418585,0.003000
ksoftirqd/1,RUN,9302.018574,9302.018578,0.004000
ksoftirqd/1,RUN,9302.026536,9302.026546,0.010000
ksoftirqd/1,RUN,9302.583963,9302.583966,0.003000
ksoftirqd/1,RUN,9302.785493,9302.785496,0.003000
ksoftirqd/1,RUN,9303.247484,9303.247493,0.009000
ksoftirqd/1,RUN,9303.369489,9303.369497,0.008000
ksoftirqd/1,RUN,9303.472478,9303.472481,0.003000
ksoftirqd/1,RUN,9303.567432,9303.567439,0.007000
ksoftirqd/1,RUN,9304.354410,9304.354413,0.003000
ksoftirqd/1,RUN,9304.804376,9304.804387,0.011000
ksoftirqd/1,RUN,9305.000341,9305.000344,0.003000
ksoftirqd/1,RUN,9305.217347,9305.217350,0.003000
ksoftirqd/1,SLEEP,9301.390587,9301.406581,15.994000
ksoftirqd/1,SLEEP,9301.406583,9301.418582,11.999000
ksoftirqd/1,SLEEP,9301.418585,9302.018574,599.989000
ksoftirqd/1,SLEEP,9302.018578,9302.026536,7.958000
ksoftirqd/1,SLEEP,9302.026546,9302.583963,557.417000
ksoftirqd/1,SLEEP,9302.583966,9302.785493,201.527000
ksoftirqd/1,SLEEP,9302.785496,9303.247484,461.988000
ksoftirqd/1,SLEEP,9303.247493,9303.369489,121.996000
ksoftirqd/1,SLEEP,9303.369497,9303.472478,102.981000
ksoftirqd/1,SLEEP,9303.472481,9303.567432,94.951000
ksoftirqd/1,SLEEP,9303.567439,9304.354410,786.971000
ksoftirqd/1,SLEEP,9304.354413,9304.804376,449.963000
ksoftirqd/1,SLEEP,9304.804387,9305.000341,195.954000
ksoftirqd/1,SLEEP,9305.000344,9305.217347,217.003000
kworker/1:1H,RUN,9301.201311,9301.201322,0.011000
kworker/1:1H,RUN,9303.247493,9303.247497,0.004000
kworker/1:1H,RUN,9303.458574,9303.458578,0.004000
kworker/1:1H,RUN,9304.633430,9304.633467,0.037000
kworker/1:1H,RUN,9304.783387,9304.783406,0.019000
kworker/1:2,RUN,9301.455595,9301.455609,0.014000
kworker/1:2,RUN,9301.583593,9301.583598,0.005000
kworker/1:2,RUN,9301.647582,9301.647588,0.006000
kworker/1:2,RUN,9301.968579,9301.968586,0.007000
kworker/1:2,RUN,9302.145533,9302.145536,0.003000
kworker/1:2,RUN,9302.147557,9302.147559,0.002000
kworker/1:2,RUN,9302.159558,9302.159572,0.014000
kworker/1:2,RUN,9302.287551,9302.287562,0.011000
kworker/1:2,RUN,9302.351523,9302.351534,0.011000
kworker/1:2,RUN,9302.479543,9302.479549,0.006000
kworker/1:2,RUN,9302.863508,9302.863516,0.008000
kworker/1:2,RUN,9303.375483,9303.375488,0.005000
kworker/1:2,RUN,9303.415487,9303.415490,0.003000
kworker/1:2,RUN,9303.417442,9303.417444,0.002000
kworker/1:2,RUN,9303.503466,9303.503475,0.009000
kworker/1:2,RUN,9303.631478,9303.631482,0.004000
kworker/1:2,RUN,9303.633427,9303.633429,0.002000
kworker/1:2,RUN,9303.635488,9303.635490,0.002000
kworker/1:2,RUN,9303.759446,9303.759453,0.007000
kworker/1:2,RUN,9304.015431,9304.015446,0.015000
kworker/1:2,RUN,9304.207385,9304.207392,0.007000
kworker/1:2,RUN,9304.335376,9304.335384,0.008000
kworker/1:2,RUN,9304.399407,9304.399430,0.023000
kworker/1:2,RUN,9304.463395,9304.463400,0.005000
kworker/1:2,RUN,9305.487322,9305.487331,0.009000
Activity_2,RUN,9301.200195,9301.200199,0.004000
Activity_2,RUN,9301.200208,9301.370638,170.430000
Activity_2,RUN,9301.450194,9301.626870,176.676000
Activity_2,RUN,9301.700176,9301.878716,178.540000
Activity_2,RUN,9301.950160,9302.128719,178.559000
Activity_2,RUN,9302.200141,9302.223544,23.403000
Activity_2,RUN,9302.223552,9302.287520,63.968000
Activity_2,RUN,9302.287527,9302.373517,85.990000
Activity_2,RUN,9302.373531,9302.379911,6.380000
Activity_2,RUN,9302.450124,9302.479512,29.388000
Activity_2,RUN,9302.479520,9302.495504,15.984000
Activity_2,RUN,9302.495506,9302.543501,47.995000
Activity_2,RUN,9302.543505,9302.628968,85.463000
Activity_2,RUN,9302.700106,9302.735491,35.385000
Activity_2,RUN,9302.735498,9302.799485,63.987000
Activity_2,RUN,9302.799497,9302.863478,63.981000
Activity_2,RUN,9302.863482,9302.879438,15.956000
Activity_2,RUN,9302.950088,9302.972473,22.385000
Activity_2,RUN,9302.972488,9303.128667,156.179000
Activity_2,RUN,9303.200070,9303.311449,111.379000
Activity_2,RUN,9303.311456,9303.375443,63.987000
Activity_2,RUN,9303.375448,9303.379150,3.702000
Activity_2,RUN,9303.450081,9303.503437,53.356000
Activity_2,RUN,9303.503447,9303.626223,122.776000
Activity_2,RUN,9303.700067,9303.875727,175.660000
Activity_2,RUN,9303.950109,9304.123690,173.581000
Activity_2,RUN,9304.200042,9304.372815,172.773000
Activity_2,RUN,9304.450022,9304.622825,172.803000
Activity_2,RUN,9304.699990,9304.754993,55.003000
Activity_2,RUN,9304.754995,9304.873843,118.848000
Activity_2,RUN,9304.949988,9305.122798,172.810000
Activity_2,RUN,9305.199945,9305.372628,172.683000
Activity_2,RUN,9305.449912,9305.500813,50.901000
Activity_2,PREEMPT,9301.200199,9301.200208,0.009000
Activity_2,SLEEP,9301.370638,9301.450194,79.556000
Activity_2,SLEEP,9301.626870,9301.700176,73.306000
Activity_2,SLEEP,9301.878716,9301.950160,71.444000
Activity_2,SLEEP,9302.128719,9302.200141,71.422000
Activity_2,PREEMPT,9302.223544,9302.223552,0.008000
Activity_2,PREEMPT,9302.287520,9302.287527,0.007000
Activity_2,PREEMPT,9302.373517,9302.373531,0.014000
Activity_2,SLEEP,9302.379911,9302.450124,70.213000
Activity_2,PREEMPT,9302.479512,9302.479520,0.008000
Activity_2,PREEMPT,9302.495504,9302.495506,0.002000
Activity_2,PREEMPT,9302.543501,9302.543505,0.004000
Activity_2,SLEEP,9302.628968,9302.700106,71.138000
Activity_2,PREEMPT,9302.735491,9302.735498,0.007000
Activity_2,PREEMPT,9302.799485,9302.799497,0.012000
Activity_2,PREEMPT,9302.863478,9302.863482,0.004000
Activity_2,SLEEP,9302.879438,9302.950088,70.650000
Activity_2,PREEMPT,9302.972473,9302.972488,0.015000
Activity_2,SLEEP,9303.128667,9303.200070,71.403000
Activity_2,PREEMPT,9303.311449,9303.311456,0.007000
Activity_2,PREEMPT,9303.375443,9303.375448,0.005000
Activity_2,SLEEP,9303.379150,9303.450081,70.931000
Activity_2,PREEMPT,9303.503437,9303.503447,0.010000
Activity_2,SLEEP,9303.626223,9303.700067,73.844000
Activity_2,SLEEP,9303.875727,9303.950109,74.382000
Activity_2,SLEEP,9304.123690,9304.200042,76.352000
Activity_2,SLEEP,9304.372815,9304.450022,77.207000
Activity_2,SLEEP,9304.622825,9304.699990,77.165000
Activity_2,PREEMPT,9304.754993,9304.754995,0.002000
Activity_2,SLEEP,9304.873843,9304.949988,76.145000
Activity_2,SLEEP,9305.122798,9305.199945,77.147000
Activity_2,SLEEP,9305.372628,9305.449912,77.284000
Activity_2,MARKER_PERIOD_START_Activity_2,9301.200210,9301.200210,0.0
Activity_2,MARKER_FUNCTION_START_Activity_2,9301.200210,9301.200210,0.0
Activity_2,MARKER_FUNCTION_END_Activity_2,9301.370584,9301.370584,0.0
Activity_2,MARKER_SLEEP_START_Activity_2,9301.370634,9301.370634,0.0
Activity_2,MARKER_PERIOD_END_Activity_2,9301.450197,9301.450197,0.0
Activity_2,MARKER_PERIOD_START_Activity_2,9301.450198,9301.450198,0.0
Activity_2,MARKER_FUNCTION_START_Activity_2,9301.450198,9301.450198,0.0
Activity_2,MARKER_FUNCTION_END_Activity_2,9301.626857,9301.626857,0.0
Activity_2,MARKER_SLEEP_START_Activity_2,9301.626868,9301.626868,0.0
Activity_2,MARKER_PERIOD_END_Activity_2,9301.700178,9301.700178,0.0
Activity_2,MARKER_PERIOD_START_Activity_2,9301.700179,9301.700179,0.0
Activity_2,MARKER_FUNCTION_START_Activity_2,9301.700179,9301.700179,0.0
Activity_2,MARKER_FUNCTION_END_Activity_2,9301.878699,9301.878699,0.0
Activity_2,MARKER_SLEEP_START_Activity_2,9301.878712,9301.878712,0.0
Activity_2,MARKER_PERIOD_END_Activity_2,9301.950165,9301.950165,0.0
Activity_2,MARKER_PERIOD_START_Activity_2,9301.950165,9301.950165,0.0
Activity_2,MARKER_FUNCTION_START_Activity_2,9301.950166,9301.950166,0.0
Activity_2,MARKER_FUNCTION_END_Activity_2,9302.128704,9302.128704,0.0
Activity_2,MARKER_SLEEP_START_Activity_2,9302.128716,9302.128716,0.0
Activity_2,MARKER_PERIOD_END_Activity_2,9302.200147,9302.200147,0.0
Activity_2,MARKER_PERIOD_START_Activity_2,9302.200147,9302.200147,0.0
Activity_2,MARKER_FUNCTION_START_Activity_2,9302.200148,9302.200148,0.0
Activity_2,MARKER_FUNCTION_END_Activity_2,9302.379887,9302.379887,0.0
Activity_2,MARKER_SLEEP_START_Activity_2,9302.379908,9302.379908,0.0
Activity_2,MARKER_PERIOD_END_Activity_2,9302.450128,9302.450128,0.0
Activity_2,MARKER_PERIOD_START_Activity_2,9302.450129,9302.450129,0.0
Activity_2,MARKER_FUNCTION_START_Activity_2,9302.450130,9302.450130,0.0
Activity_2,MARKER_FUNCTION_END_Activity_2,9302.628955,9302.628955,0.0
Activity_2,MARKER_SLEEP_START_Activity_2,9302.628965,9302.628965,0.0
Activity_2,MARKER_PERIOD_END_Activity_2,9302.700111,9302.700111,0.0
Activity_2,MARKER_PERIOD_START_Activity_2,9302.700112,9302.700112,0.0
Activity_2,MARKER_FUNCTION_START_Activity_2,9302.700113,9302.700113,0.0
Activity_2,MARKER_FUNCTION_END_Activity_2,9302.879424,9302.879424,0.0
Activity_2,MARKER_SLEEP_START_Activity_2,9302.879435,9302.879435,0.0
Activity_2,MARKER_PERIOD_END_Activity_2,9302.950093,9302.950093,0.0
Activity_2,MARKER_PERIOD_START_Activity_2,9302.950094,9302.950094,0.0
Activity_2,MARKER_FUNCTION_START_Activity_2,9302.950094,9302.950094,0.0
Activity_2,MARKER_FUNCTION_END_Activity_2,9303.128654,9303.128654,0.0
Activity_2,MARKER_SLEEP_START_Activity_2,9303.128664,9303.128664,0.0
Activity_2,MARKER_PERIOD_END_Activity_2,9303.200073,9303.200073,0.0
