task,type,start,end,duration_ms
DDS_Publish,RUN,3535.128733,3535.296534,167.801000
DDS_Publish,RUN,3535.296537,3535.352735,56.198000
DDS_Publish,RUN,3535.728704,3535.948571,219.867000
DDS_Publish,RUN,3536.328612,3536.549464,220.852000
DDS_Publish,RUN,3536.928511,3537.151489,222.978000
DDS_Publish,RUN,3537.528265,3537.723382,195.117000
DDS_Publish,RUN,3538.128332,3538.354915,226.583000
DDS_Publish,RUN,3538.728238,3538.953960,225.722000
DDS_Publish,RUN,3539.328126,3539.550716,222.590000
DDS_Publish,RUN,3539.927904,3540.148394,220.490000
DDS_Publish,RUN,3540.527813,3540.723558,195.745000
DDS_Publish,RUN,3541.127725,3541.351117,223.392000
DDS_Publish,RUN,3541.727810,3541.951077,223.267000
DDS_Publish,PREEMPT,3535.296534,3535.296537,0.003000
DDS_Publish,SLEEP,3535.352735,3535.728704,375.969000
DDS_Publish,SLEEP,3535.948571,3536.328612,380.041000
DDS_Publish,SLEEP,3536.549464,3536.928511,379.047000
DDS_Publish,SLEEP,3537.151489,3537.528265,376.776000
DDS_Publish,SLEEP,3537.723382,3538.128332,404.950000
DDS_Publish,SLEEP,3538.354915,3538.728238,373.323000
DDS_Publish,SLEEP,3538.953960,3539.328126,374.166000
DDS_Publish,SLEEP,3539.550716,3539.927904,377.188000
DDS_Publish,SLEEP,3540.148394,3540.527813,379.419000
DDS_Publish,SLEEP,3540.723558,3541.127725,404.167000
DDS_Publish,SLEEP,3541.351117,3541.727810,376.693000
DDS_Publish,MARKER_PERIOD_END_DDS_Publish,3535.128765,3535.128765,0.0
DDS_Publish,MARKER_PERIOD_START_DDS_Publish,3535.128768,3535.128768,0.0
DDS_Publish,MARKER_FUNCTION_START_DDS_Publish,3535.128770,3535.128770,0.0
DDS_Publish,MARKER_DDS_MSG_START_DDS_Publish,3535.352646,3535.352646,0.0
DDS_Publish,MARKER_DDS_WRITE_START,3535.352647,3535.352647,0.0
DDS_Publish,MARKER_DDS_WRITE_END,3535.352711,3535.352711,0.0
DDS_Publish,MARKER_DDS_MSG_END_DDS_Publish,3535.352712,3535.352712,0.0
DDS_Publish,MARKER_FUNCTION_END_DDS_Publish,3535.352726,3535.352726,0.0
DDS_Publish,MARKER_SLEEP_START_DDS_Publish,3535.352733,3535.352733,0.0
DDS_Publish,MARKER_PERIOD_END_DDS_Publish,3535.728733,3535.728733,0.0
DDS_Publish,MARKER_PERIOD_START_DDS_Publish,3535.728736,3535.728736,0.0
DDS_Publish,MARKER_FUNCTION_START_DDS_Publish,3535.728737,3535.728737,0.0
DDS_Publish,MARKER_DDS_MSG_START_DDS_Publish,3535.948476,3535.948476,0.0
DDS_Publish,MARKER_DDS_WRITE_START,3535.948477,3535.948477,0.0
DDS_Publish,MARKER_DDS_WRITE_END,3535.948544,3535.948544,0.0
DDS_Publish,MARKER_DDS_MSG_END_DDS_Publish,3535.948545,3535.948545,0.0
DDS_Publish,MARKER_FUNCTION_END_DDS_Publish,3535.948559,3535.948559,0.0
DDS_Publish,MARKER_SLEEP_START_DDS_Publish,3535.948567,3535.948567,0.0
DDS_Publish,MARKER_PERIOD_END_DDS_Publish,3536.328641,3536.328641,0.0
DDS_Publish,MARKER_PERIOD_START_DDS_Publish,3536.328644,3536.328644,0.0
DDS_Publish,MARKER_FUNCTION_START_DDS_Publish,3536.328645,3536.328645,0.0
DDS_Publish,MARKER_DDS_MSG_START_DDS_Publish,3536.549365,3536.549365,0.0
DDS_Publish,MARKER_DDS_WRITE_START,3536.549366,3536.549366,0.0
DDS_Publish,MARKER_DDS_WRITE_END,3536.549440,3536.549440,0.0
DDS_Publish,MARKER_DDS_MSG_END_DDS_Publish,3536.549440,3536.549440,0.0
DDS_Publish,MARKER_FUNCTION_END_DDS_Publish,3536.549454,3536.549454,0.0
DDS_Publish,MARKER_SLEEP_START_DDS_Publish,3536.549461,3536.549461,0.0
DDS_Publish,MARKER_PERIOD_END_DDS_Publish,3536.928542,3536.928542,0.0
DDS_Publish,MARKER_PERIOD_START_DDS_Publish,3536.928545,3536.928545,0.0
DDS_Publish,MARKER_FUNCTION_START_DDS_Publish,3536.928546,3536.928546,0.0
DDS_Publish,MARKER_DDS_MSG_START_DDS_Publish,3537.151388,3537.151388,0.0
DDS_Publish,MARKER_DDS_WRITE_START,3537.151390,3537.151390,0.0
DDS_Publish,MARKER_DDS_WRITE_END,3537.151455,3537.151455,0.0
DDS_Publish,MARKER_DDS_MSG_END_DDS_Publish,3537.151455,3537.151455,0.0
DDS_Publish,MARKER_FUNCTION_END_DDS_Publish,3537.151471,3537.151471,0.0
DDS_Publish,MARKER_SLEEP_START_DDS_Publish,3537.151485,3537.151485,0.0
DDS_Publish,MARKER_PERIOD_END_DDS_Publish,3537.528306,3537.528306,0.0
DDS_Publish,MARKER_PERIOD_START_DDS_Publish,3537.528308,3537.528308,0.0
DDS_Publish,MARKER_FUNCTION_START_DDS_Publish,3537.528309,3537.528309,0.0
DDS_Publish,MARKER_DDS_MSG_START_DDS_Publish,3537.723238,3537.723238,0.0
DDS_Publish,MARKER_DDS_WRITE_START,3537.723240,3537.723240,0.0
DDS_Publish,MARKER_DDS_WRITE_END,3537.723347,3537.723347,0.0
DDS_Publish,MARKER_DDS_MSG_END_DDS_Publish,3537.723347,3537.723347,0.0
DDS_Publish,MARKER_FUNCTION_END_DDS_Publish,3537.723364,3537.723364,0.0
DDS_Publish,MARKER_SLEEP_START_DDS_Publish,3537.723377,3537.723377,0.0
DDS_Publish,MARKER_PERIOD_END_DDS_Publish,3538.128364,3538.128364,0.0
DDS_Publish,MARKER_PERIOD_START_DDS_Publish,3538.128367,3538.128367,0.0
DDS_Publish,MARKER_FUNCTION_START_DDS_Publish,3538.128369,3538.128369,0.0
DDS_Publish,MARKER_DDS_MSG_START_DDS_Publish,3538.354821,3538.354821,0.0
DDS_Publish,MARKER_DDS_WRITE_START,3538.354823,3538.354823,0.0
DDS_Publish,MARKER_DDS_WRITE_END,3538.354888,3538.354888,0.0
DDS_Publish,MARKER_DDS_MSG_END_DDS_Publish,3538.354889,3538.354889,0.0
DDS_Publish,MARKER_FUNCTION_END_DDS_Publish,3538.354904,3538.354904,0.0
DDS_Publish,MARKER_SLEEP_START_DDS_Publish,3538.354911,3538.354911,0.0
DDS_Publish,MARKER_PERIOD_END_DDS_Publish,3538.728270,3538.728270,0.0
DDS_Publish,MARKER_PERIOD_START_DDS_Publish,3538.728273,3538.728273,0.0
DDS_Publish,MARKER_FUNCTION_START_DDS_Publish,3538.728275,3538.728275,0.0
DDS_Publish,MARKER_DDS_MSG_START_DDS_Publish,3538.953851,3538.953851,0.0
DDS_Publish,MARKER_DDS_WRITE_START,3538.953852,3538.953852,0.0
DDS_Publish,MARKER_DDS_WRITE_END,3538.953926,3538.953926,0.0
DDS_Publish,MARKER_DDS_MSG_END_DDS_Publish,3538.953926,3538.953926,0.0
DDS_Publish,MARKER_FUNCTION_END_DDS_Publish,3538.953941,3538.953941,0.0
DDS_Publish,MARKER_SLEEP_START_DDS_Publish,3538.953955,3538.953955,0.0
DDS_Publish,MARKER_PERIOD_END_DDS_Publish,3539.328155,3539.328155,0.0
DDS_Publish,MARKER_PERIOD_START_DDS_Publish,3539.328158,3539.328158,0.0
DDS_Publish,MARKER_FUNCTION_START_DDS_Publish,3539.328159,3539.328159,0.0
DDS_Publish,MARKER_DDS_MSG_START_DDS_Publish,3539.550614,3539.550614,0.0
DDS_Publish,MARKER_DDS_WRITE_START,3539.550616,3539.550616,0.0
DDS_Publish,MARKER_DDS_WRITE_END,3539.550689,3539.550689,0.0
DDS_Publish,MARKER_DDS_MSG_END_DDS_Publish,3539.550689,3539.550689,0.0
DDS_Publish,MARKER_FUNCTION_END_DDS_Publish,3539.550703,3539.550703,0.0
DDS_Publish,MARKER_SLEEP_START_DDS_Publish,3539.550711,3539.550711,0.0
DDS_Publish,MARKER_PERIOD_END_DDS_Publish,3539.927920,3539.927920,0.0
DDS_Publish,MARKER_PERIOD_START_DDS_Publish,3539.927923,3539.927923,0.0
DDS_Publish,MARKER_FUNCTION_START_DDS_Publish,3539.927925,3539.927925,0.0
DDS_Publish,MARKER_DDS_MSG_START_DDS_Publish,3540.148295,3540.148295,0.0
DDS_Publish,MARKER_DDS_WRITE_START,3540.148296,3540.148296,0.0
DDS_Publish,MARKER_DDS_WRITE_END,3540.148364,3540.148364,0.0
DDS_Publish,MARKER_DDS_MSG_END_DDS_Publish,3540.148365,3540.148365,0.0
DDS_Publish,MARKER_FUNCTION_END_DDS_Publish,3540.148379,3540.148379,0.0
DDS_Publish,MARKER_SLEEP_START_DDS_Publish,3540.148389,3540.148389,0.0
DDS_Publish,MARKER_PERIOD_END_DDS_Publish,3540.527830,3540.527830,0.0
DDS_Publish,MARKER_PERIOD_START_DDS_Publish,3540.527832,3540.527832,0.0
DDS_Publish,MARKER_FUNCTION_START_DDS_Publish,3540.527833,3540.527833,0.0
DDS_Publish,MARKER_DDS_MSG_START_DDS_Publish,3540.723461,3540.723461,0.0
DDS_Publish,MARKER_DDS_WRITE_START,3540.723463,3540.723463,0.0
DDS_Publish,MARKER_DDS_WRITE_END,3540.723532,3540.723532,0.0
DDS_Publish,MARKER_DDS_MSG_END_DDS_Publish,3540.723532,3540.723532,0.0
DDS_Publish,MARKER_FUNCTION_END_DDS_Publish,3540.723547,3540.723547,0.0
DDS_Publish,MARKER_SLEEP_START_DDS_Publish,3540.723554,3540.723554,0.0
DDS_Publish,MARKER_PERIOD_END_DDS_Publish,3541.127743,3541.127743,0.0
DDS_Publish,MARKER_PERIOD_START_DDS_Publish,3541.127746,3541.127746,0.0
DDS_Publish,MARKER_FUNCTION_START_DDS_Publish,3541.127747,3541.127747,0.0
DDS_Publish,MARKER_DDS_MSG_START_DDS_Publish,3541.351026,3541.351026,0.0
DDS_Publish,MARKER_DDS_WRITE_START,3541.351027,3541.351027,0.0
DDS_Publish,MARKER_DDS_WRITE_END,3541.351094,3541.351094,0.0
DDS_Publish,MARKER_DDS_MSG_END_DDS_Publish,3541.351095,3541.351095,0.0
DDS_Publish,MARKER_FUNCTION_END_DDS_Publish,3541.351108,3541.351108,0.0
DDS_Publish,MARKER_SLEEP_START_DDS_Publish,3541.351114,3541.351114,0.0
