task,type,start,end,duration_ms
Activity_1,RUN,90.368608,90.368627,0.019000
Activity_1,RUN,90.368634,90.368642,0.008000
Activity_1,RUN,90.368723,90.370099,1.376000
Activity_1,RUN,90.370592,90.472496,101.904000
Activity_1,RUN,90.472993,90.522835,49.842000
Activity_1,RUN,91.368910,91.394105,25.195000
Activity_1,RUN,91.394646,91.496501,101.855000
Activity_1,RUN,91.497001,91.529553,32.552000
Activity_1,RUN,92.368869,92.418131,49.262000
Activity_1,RUN,92.418667,92.520523,101.856000
Activity_1,RUN,92.521023,92.528215,7.192000
Activity_1,RUN,93.368837,93.442138,73.301000
Activity_1,RUN,93.442661,93.529205,86.544000
Activity_1,RUN,94.368796,94.466134,97.338000
Activity_1,RUN,94.466657,94.529973,63.316000
Activity_1,RUN,94.530037,94.530055,0.018000
Activity_1,PREEMPT,90.368627,90.368634,0.007000
Activity_1,PREEMPT,90.368642,90.368723,0.081000
Activity_1,PREEMPT,90.370099,90.370592,0.493000
Activity_1,PREEMPT,90.472496,90.472993,0.497000
Activity_1,SLEEP,90.522835,91.368910,846.075000
Activity_1,PREEMPT,91.394105,91.394646,0.541000
Activity_1,PREEMPT,91.496501,91.497001,0.500000
Activity_1,SLEEP,91.529553,92.368869,839.316000
Activity_1,PREEMPT,92.418131,92.418667,0.536000
Activity_1,PREEMPT,92.520523,92.521023,0.500000
Activity_1,SLEEP,92.528215,93.368837,840.622000
Activity_1,PREEMPT,93.442138,93.442661,0.523000
Activity_1,SLEEP,93.529205,94.368796,839.591000
Activity_1,PREEMPT,94.466134,94.466657,0.523000
Activity_1,PREEMPT,94.529973,94.530037,0.064000
Activity_1,MARKER_PERIOD_START_Activity_1,90.368793,90.368793,0.0
Activity_1,MARKER_FUNCTION_START_Activity_1,90.368795,90.368795,0.0
Activity_1,MARKER_FUNCTION_END_Activity_1,90.522811,90.522811,0.0
Activity_1,MARKER_SLEEP_START_Activity_1,90.522829,90.522829,0.0
Activity_1,MARKER_PERIOD_END_Activity_1,91.368934,91.368934,0.0
Activity_1,MARKER_PERIOD_START_Activity_1,91.368939,91.368939,0.0
Activity_1,MARKER_FUNCTION_START_Activity_1,91.368941,91.368941,0.0
