Configuration,Task,Period(ms),JOB,Deadline(ms),Iteration,StartTime(ms),EndTime(ms),Cost(ms),MissedDeadline,Skipped
dds_EDF_MULTI,Activity_1,1700,20,1700,0,21076090,21076659,569,0,0
dds_EDF_MULTI,Activity_1,1700,20,1700,1,21077790,21078359,569,0,0
dds_EDF_MULTI,Activity_1,1700,20,1700,2,21079490,21080105,615,0,0
dds_EDF_MULTI,Activity_1,1700,20,1700,3,21081190,21081772,582,0,0
dds_EDF_MULTI,Activity_1,1700,20,1700,4,21082890,21083458,568,0,0
dds_EDF_MULTI,Activity_1,1700,20,1700,5,21084590,21085162,572,0,0
dds_EDF_MULTI,Activity_1,1700,20,1700,6,21086290,21086863,573,0,0
dds_EDF_MULTI,Activity_1,1700,20,1700,7,21087990,21088572,582,0,0
dds_EDF_MULTI,Activity_1,1700,20,1700,8,21089690,21090311,621,0,0
dds_EDF_MULTI,Activity_1,1700,20,1700,9,21091390,21091986,596,0,0
dds_EDF_MULTI,Activity_1,1700,20,1700,10,21093090,21093683,593,0,0
dds_EDF_MULTI,Activity_2,800,10,800,0,21076090,21076510,420,0,0
dds_EDF_MULTI,Activity_2,800,10,800,1,21076890,21077136,246,0,0
dds_EDF_MULTI,Activity_2,800,10,800,2,21077690,21078246,556,0,0
dds_EDF_MULTI,Activity_2,800,10,800,3,21078490,21079023,533,0,0
dds_EDF_MULTI,Activity_2,800,10,800,4,21079290,21079830,540,0,0
dds_EDF_MULTI,Activity_2,800,10,800,5,21080090,21080660,570,0,0
dds_EDF_MULTI,Activity_2,800,10,800,6,21080890,21081435,545,0,0
dds_EDF_MULTI,Activity_2,800,10,800,7,21081690,21082240,550,0,0
dds_EDF_MULTI,Activity_2,800,10,800,8,21082490,21083024,534,0,0
dds_EDF_MULTI,Activity_2,800,10,800,9,21083290,21083842,552,0,0
dds_EDF_MULTI,Activity_2,800,10,800,10,21084090,21084647,557,0,0
dds_EDF_MULTI,Activity_2,800,10,800,11,21084890,21085433,543,0,0
dds_EDF_MULTI,Activity_2,800,10,800,12,21085690,21086232,542,0,0
dds_EDF_MULTI,Activity_2,800,10,800,13,21086490,21087029,539,0,0
dds_EDF_MULTI,Activity_2,800,10,800,14,21087290,21087832,542,0,0
dds_EDF_MULTI,Activity_2,800,10,800,15,21088090,21088638,548,0,0
dds_EDF_MULTI,Activity_2,800,10,800,16,21088890,21089168,278,0,0
dds_EDF_MULTI,Activity_2,800,10,800,17,21089690,21090274,584,0,0
dds_EDF_MULTI,Activity_2,800,10,800,18,21090490,21090931,441,0,0
dds_EDF_MULTI,Activity_2,800,10,800,19,21091290,21091845,555,0,0
dds_EDF_MULTI,Activity_2,800,10,800,20,21092090,21092665,575,0,0
dds_EDF_MULTI,Activity_2,800,10,800,21,21092890,21093446,556,0,0
dds_EDF_MULTI,Activity_2,800,10,800,22,21093690,21094240,550,0,0
dds_EDF_MULTI,Activity_2,800,10,800,23,21094490,21094759,269,0,0
dds_EDF_MULTI,Activity_2,800,10,800,24,21095290,21095443,153,0,0
