Configuration,Task,Period(ms),JOB,Deadline(ms),Iteration,StartTime(ms),EndTime(ms),Cost(ms),MissedDeadline,Skipped
dds_EDF_SINGLE,Activity_1,1700,20,1700,0,20274688,20275218,530,0,0
dds_EDF_SINGLE,Activity_1,1700,20,1700,1,20276388,20277206,818,0,0
dds_EDF_SINGLE,Activity_1,1700,20,1700,2,20278088,20278911,823,0,0
dds_EDF_SINGLE,Activity_1,1700,20,1700,3,20279893,20280445,552,0,0
dds_EDF_SINGLE,Activity_1,1700,20,1700,4,20281503,20282065,562,0,0
dds_EDF_SINGLE,Activity_1,1700,20,1700,5,20283188,20283744,556,0,0
dds_EDF_SINGLE,Activity_1,1700,20,1700,6,20284888,20285731,843,0,0
dds_EDF_SINGLE,Activity_1,1700,20,1700,7,20286588,20287427,839,0,0
dds_EDF_SINGLE,Activity_1,1700,20,1700,8,20288288,20289127,839,0,0
dds_EDF_SINGLE,Activity_1,1700,20,1700,9,20289988,20290821,833,0,0
dds_EDF_SINGLE,Activity_1,1700,20,1700,10,20291688,20292517,829,0,0
dds_EDF_SINGLE,Activity_2,800,10,800,0,20275754,20276024,270,0,0
dds_EDF_SINGLE,Activity_2,800,10,800,1,20276554,20276819,265,0,0
dds_EDF_SINGLE,Activity_2,800,10,800,2,20277354,20277630,276,0,0
dds_EDF_SINGLE,Activity_2,800,10,800,3,20278154,20278421,267,0,0
dds_EDF_SINGLE,Activity_2,800,10,800,4,20278954,20279228,274,0,0
dds_EDF_SINGLE,Activity_2,800,10,800,5,20279755,20279893,138,0,0
dds_EDF_SINGLE,Activity_2,800,10,800,6,20280554,20280832,278,0,0
dds_EDF_SINGLE,Activity_2,800,10,800,7,20281355,20281503,148,0,0
dds_EDF_SINGLE,Activity_2,800,10,800,8,20282154,20282433,279,0,0
dds_EDF_SINGLE,Activity_2,800,10,800,9,20282955,20283096,141,0,0
dds_EDF_SINGLE,Activity_2,800,10,800,10,20283754,20284028,274,0,0
dds_EDF_SINGLE,Activity_2,800,10,800,11,20284567,20284703,136,0,0
dds_EDF_SINGLE,Activity_2,800,10,800,12,20285354,20285632,278,0,0
dds_EDF_SINGLE,Activity_2,800,10,800,13,20286291,20286570,279,0,0
dds_EDF_SINGLE,Activity_2,800,10,800,14,20286954,20287234,280,0,0
dds_EDF_SINGLE,Activity_2,800,10,800,15,20287755,20287902,147,0,0
dds_EDF_SINGLE,Activity_2,800,10,800,16,20288554,20288834,280,0,0
dds_EDF_SINGLE,Activity_2,800,10,800,17,20289355,20289503,148,0,0
dds_EDF_SINGLE,Activity_2,800,10,800,18,20290154,20290431,277,0,0
dds_EDF_SINGLE,Activity_2,800,10,800,19,20290955,20291102,147,0,0
dds_EDF_SINGLE,Activity_2,800,10,800,20,20291754,20292025,271,0,0
dds_EDF_SINGLE,Activity_2,800,10,800,21,20292555,20292697,142,0,0
dds_EDF_SINGLE,Activity_2,800,10,800,22,20293355,20293491,136,0,0
dds_EDF_SINGLE,Activity_2,800,10,800,23,20294155,20294290,135,0,0
dds_EDF_SINGLE,Activity_2,800,10,800,24,20294955,20295102,147,0,0
