Configuration,Task,Period(ms),JOB,Deadline(ms),Iteration,StartTime(ms),EndTime(ms),Cost(ms),MissedDeadline,Skipped
mem_EDF_SINGLE,Activity_1,1700,20,1700,0,20186369,20186943,574,0,0
mem_EDF_SINGLE,Activity_1,1700,20,1700,1,20188370,20189240,870,0,0
mem_EDF_SINGLE,Activity_1,1700,20,1700,2,20190113,20190999,886,0,0
mem_EDF_SINGLE,Activity_1,1700,20,1700,3,20192206,20192802,596,0,0
mem_EDF_SINGLE,Activity_1,1700,20,1700,4,20194000,20194594,594,0,0
mem_EDF_SINGLE,Activity_1,1700,20,1700,5,20196089,20196694,605,1,0
mem_EDF_SINGLE,Activity_1,1700,20,1700,6,20197920,20197920,0,0,1
mem_EDF_SINGLE,Activity_1,1700,20,1700,7,20198855,20199765,910,0,0
mem_EDF_SINGLE,Activity_1,1700,20,1700,8,20200067,20200990,923,0,0
mem_EDF_SINGLE,Activity_1,1700,20,1700,9,20201669,20202574,905,0,0
mem_EDF_SINGLE,Activity_1,1700,20,1700,10,20203369,20204331,962,0,0
mem_EDF_SINGLE,Activity_2,800,10,800,0,20186943,20187231,288,0,0
mem_EDF_SINGLE,Activity_2,800,10,800,1,20187743,20188028,285,0,0
mem_EDF_SINGLE,Activity_2,800,10,800,2,20188543,20188832,289,0,0
mem_EDF_SINGLE,Activity_2,800,10,800,3,20189343,20189634,291,0,0
mem_EDF_SINGLE,Activity_2,800,10,800,4,20190143,20190433,290,0,0
mem_EDF_SINGLE,Activity_2,800,10,800,5,20190999,20191294,295,0,0
mem_EDF_SINGLE,Activity_2,800,10,800,6,20191743,20192041,298,0,0
mem_EDF_SINGLE,Activity_2,800,10,800,7,20192802,20193106,304,0,0
mem_EDF_SINGLE,Activity_2,800,10,800,8,20193343,20193639,296,0,0
mem_EDF_SINGLE,Activity_2,800,10,800,9,20194594,20194891,297,0,0
mem_EDF_SINGLE,Activity_2,800,10,800,10,20194943,20195242,299,0,0
mem_EDF_SINGLE,Activity_2,800,10,800,11,20195791,20196089,298,0,0
mem_EDF_SINGLE,Activity_2,800,10,800,12,20196694,20197000,306,0,0
mem_EDF_SINGLE,Activity_2,800,10,800,13,20197609,20197920,311,0,0
mem_EDF_SINGLE,Activity_2,800,10,800,14,20198143,20198450,307,0,0
mem_EDF_SINGLE,Activity_2,800,10,800,15,20198943,20199245,302,0,0
mem_EDF_SINGLE,Activity_2,800,10,800,16,20199765,20200067,302,0,0
mem_EDF_SINGLE,Activity_2,800,10,800,17,20200543,20200855,312,0,0
mem_EDF_SINGLE,Activity_2,800,10,800,18,20201344,20201649,305,0,0
mem_EDF_SINGLE,Activity_2,800,10,800,19,20202143,20202448,305,0,0
mem_EDF_SINGLE,Activity_2,800,10,800,20,20202944,20203240,296,0,0
mem_EDF_SINGLE,Activity_2,800,10,800,21,20203743,20204051,308,0,0
mem_EDF_SINGLE,Activity_2,800,10,800,22,20204544,20204848,304,0,0
mem_EDF_SINGLE,Activity_2,800,10,800,23,20205344,20205646,302,0,0
mem_EDF_SINGLE,Activity_2,800,10,800,24,20206144,20206442,298,0,0
